,Price,7,50,200,750g,50200g,7200g,750d,50200d,7200d,total_scanned_messages,bull_bear_msg_ratio,bull_minus_bear
2015-09-16 09:30:00,42.650002,42.61600040000004,44.10728575714284,48.25577621660652,105.0,142.0,112.5,71.5,46.5,54.5,8,0.0,2.18
2015-09-17 09:30:00,43.139998999999996,42.72200050000005,44.03971432857141,48.21939072401436,106.0,143.0,113.5,72.5,47.5,55.5,5,0.0,2.56
2015-09-18 09:30:00,42.09,42.69700040000005,43.94571435714284,48.167178621428604,107.0,144.0,114.5,73.5,48.5,56.5,7,0.0,-2.52
2015-09-19 09:30:00,,,,,,,,,,,3,0.0,0.05
2015-09-20 09:30:00,,,,,,,,,,,7,0.0,2.51
2015-09-21 09:30:00,42.18,42.547000400000044,43.79492762318838,48.04971021014494,108.0,145.0,115.5,74.5,49.5,57.5,7,1.0,-0.19
2015-09-22 09:30:00,41.389998999999996,42.42000030000004,43.70500007142855,47.9821015108696,109.0,146.0,116.5,75.5,50.5,58.5,14,0.75,-0.51
2015-09-23 09:30:00,41.299999,42.14800010000004,43.58114295714283,47.92469320938631,110.0,147.0,117.5,76.5,51.5,59.5,15,3.0,-1.05
2015-09-24 09:30:00,40.009997999999996,41.54999980000004,43.416428628571396,47.869247369175646,111.0,148.0,118.5,77.5,52.5,60.5,10,3.0,-1.01
2015-09-25 09:30:00,40.630001,41.12699990000005,43.25714295714283,47.806785775000016,112.0,149.0,119.5,78.5,53.5,61.5,8,0.5,-0.75
2015-09-26 09:30:00,,,,,,,,,,,4,0.0,1.23
2015-09-27 09:30:00,,,,,,,,,,,4,0.0,2.63
2015-09-28 09:30:00,40.02,40.74299990000005,43.06637688405794,47.704347902173936,113.0,150.0,120.5,79.5,54.5,62.5,17,0.2,-0.38
2015-09-29 09:30:00,39.139998999999996,40.21100000000004,42.914571471428545,47.62344211231888,114.0,151.0,121.5,80.5,55.5,63.5,9,2.0,-0.29
2015-09-30 09:30:00,39.580002,39.82499990000004,42.72528575714284,47.555631851985595,115.0,152.0,122.5,81.5,56.5,64.5,12,0.0,1.66
2015-10-01 09:30:00,40.080002,39.78700020000004,42.57428577142855,47.50146961648749,116.0,153.0,123.5,82.5,57.5,65.5,11,1.0,0.45
2015-10-02 09:30:00,39.689999,39.70499990000003,42.41600004285712,47.438964357142886,117.0,154.0,124.5,83.5,58.5,66.5,17,1.0,0.41
2015-10-03 09:30:00,,,,,,,,,,,8,0.0,-2.89
2015-10-04 09:30:00,,,,,,,,,,,2,0.0,1.27
2015-10-05 09:30:00,41.799999,39.998999800000036,42.253478304347794,47.35163052173916,118.0,155.0,125.5,84.5,59.5,67.5,18,0.75,0.68
2015-10-06 09:30:00,42.700001,40.70399980000004,42.214571457142846,47.304529076086986,119.0,156.0,126.5,85.5,60.5,68.5,34,0.56,0.55
2015-10-07 09:30:00,43.110001000000004,41.446000100000035,42.13214294285713,47.266859306859246,120.0,157.0,127.5,86.5,61.5,69.5,19,9.0,0.47
2015-10-08 09:30:00,43.380001,42.14000030000004,42.072285814285685,47.23964168458785,0.0,158.0,128.5,87.5,62.5,70.5,20,3.0,-0.02
2015-10-09 09:30:00,44.529999,43.004000200000036,42.05428578571426,47.2121072464286,1.0,159.0,129.5,88.5,63.5,71.5,13,0.0,1.64
2015-10-10 09:30:00,,,,,,,,,,,5,0.0,-2.01
2015-10-12 09:30:00,44.240002000000004,43.52700060000004,42.039420463768096,47.152971126811636,2.0,160.0,130.5,89.5,64.5,72.5,9,1.0,0.64
2015-10-13 09:30:00,43.470001,43.73700070000004,42.1045716285714,47.116268221014536,3.0,161.0,131.5,90.5,65.5,73.5,7,0.5,-0.06
2015-10-14 09:30:00,43.610001000000004,43.84800030000004,42.15871444285712,47.085523563176935,4.0,162.0,132.5,91.5,66.5,74.5,6,2.0,-2.32
2015-10-15 09:30:00,43.990002000000004,43.948000400000026,42.239143028571405,47.06319007168464,5.0,163.0,133.5,92.5,67.5,75.5,8,1.0,0.89
2015-10-16 09:30:00,44.279999,43.91300060000003,42.29657155714283,47.035964389285745,6.0,164.0,134.5,93.5,68.5,76.5,6,0.0,0.0
2015-10-18 09:30:00,,,,,,,,,,,2,0.0,0.0
2015-10-19 09:30:00,43.790001000000004,43.86200030000004,42.296376985507216,46.972318949275405,7.0,165.0,135.5,94.5,69.5,77.5,9,0.0,-0.56
2015-10-20 09:30:00,43.73,43.88900010000004,42.32171445714283,46.94187735740077,8.0,166.0,136.5,95.5,70.5,78.5,4,0.0,0.0
2015-10-21 09:30:00,43.849998,43.937999800000036,42.35200008571425,46.919713347670296,9.0,167.0,137.5,96.5,71.5,79.5,1,0.0,-2.2
2015-10-22 09:30:00,43.98,43.88799940000005,42.39271435714284,46.896939583629944,10.0,168.0,138.5,97.5,72.5,80.5,6,1.0,0.25
