date,Price,7,50,200,750g,50200g,7200g,750d,50200d,7200d,total_scanned_messages,bull_bear_msg_ratio,bull_minus_bear,Aroon Oscillator [25],CMF [20],"MACD (12,26,9) - DIVERGENCE","MACD (12,26,9) - MACD","MACD (12,26,9) - SIGNAL",Williams %R [14]
2015-09-16 09:30:00,42.650002,42.61600040000004,44.10728575714284,48.25577621660652,105.0,142.0,112.5,71.5,46.5,54.5,8,0.0,2.18,-20.0,0.0367088734696339,0.17324169491,-0.659077309834,-0.832319004744,-27.27272727272727
2015-09-17 09:30:00,43.139998999999996,42.72200050000005,44.03971432857141,48.21939072401436,106.0,143.0,113.5,72.5,47.5,55.5,5,0.0,2.56,-20.0,0.003418993222821836,0.187454026675,-0.5980014714,-0.785455498076,-37.37373737373718
2015-09-18 09:30:00,42.09,42.69700040000005,43.94571435714284,48.167178621428604,107.0,144.0,114.5,73.5,48.5,56.5,7,0.0,-2.52,-20.000000000000004,0.004983169614297846,0.120944102149,-0.6342753703890001,-0.755219472538,-92.99999999999996
2015-09-19 09:30:00,,,,,,,,,,,3,0.0,0.05,,,,,,
2015-09-20 09:30:00,,,,,,,,,,,7,0.0,2.51,,,,,,
2015-09-21 09:30:00,42.18,42.547000400000044,43.79492762318838,48.04971021014494,108.0,145.0,115.5,74.5,49.5,57.5,7,1.0,-0.19,-20.0,0.062335328691560665,0.08873654498950001,-0.644298791301,-0.7330353362909999,-85.99999999999994
2015-09-22 09:30:00,41.389998999999996,42.42000030000004,43.70500007142855,47.9821015108696,109.0,146.0,116.5,75.5,50.5,58.5,14,0.75,-0.51,-16.0,0.0631124694617073,0.020802921266299998,-0.7070316847079999,-0.727834605974,-87.41258741258743
2015-09-23 09:30:00,41.299999,42.14800010000004,43.58114295714283,47.92469320938631,110.0,147.0,117.5,76.5,51.5,59.5,15,3.0,-1.05,-12.0,0.10771784667867304,-0.0723910964867,-0.818323476583,-0.7459323800959999,-98.25581395348831
2015-09-24 09:30:00,40.009997999999996,41.54999980000004,43.416428628571396,47.869247369175646,111.0,148.0,118.5,77.5,52.5,60.5,10,3.0,-1.01,-8.0,0.0063575739681594155,-0.127227860344,-0.904967205526,-0.7777393451819999,-81.54205607476638
2015-09-25 09:30:00,40.630001,41.12699990000005,43.25714295714283,47.806785775000016,112.0,149.0,119.5,78.5,53.5,61.5,8,0.5,-0.75,-4.0,-0.06403827170730443,-0.15102936893,-0.966526056345,-0.815496687415,-82.71028037383174
2015-09-26 09:30:00,,,,,,,,,,,4,0.0,1.23,,,,,,
2015-09-27 09:30:00,,,,,,,,,,,4,0.0,2.63,,,,,,
2015-09-28 09:30:00,40.02,40.74299990000005,43.06637688405794,47.704347902173936,113.0,150.0,120.5,79.5,54.5,62.5,17,0.2,-0.38,-80.0,-0.15937784027820173,-0.230367836454,-1.10345648298,-0.8730886465279999,-97.95501022494885
2015-09-29 09:30:00,39.139998999999996,40.21100000000004,42.914571471428545,47.62344211231888,114.0,151.0,121.5,80.5,55.5,63.5,9,2.0,-0.29,-84.0,-0.1823466271769492,-0.2504869561,-1.18619734165,-0.935710385553,-94.50101832993884
2015-09-30 09:30:00,39.580002,39.82499990000004,42.72528575714284,47.555631851985595,115.0,152.0,122.5,81.5,56.5,64.5,12,0.0,1.66,-84.0,-0.10799059306488364,-0.189105113069,-1.1720917768899999,-0.9829866638200001,-77.80040733197549
2015-10-01 09:30:00,40.080002,39.78700020000004,42.57428577142855,47.50146961648749,116.0,153.0,123.5,82.5,57.5,65.5,11,1.0,0.45,-84.0,-0.08381319687836933,-0.10303931001599999,-1.11178580134,-1.0087464913200002,-68.63543788187377
