,Price,7,50,200,750g,50200g,7200g,750d,50200d,7200d,total_scanned_messages,bull_bear_msg_ratio,bull_minus_bear
2015-09-22 09:30:00,22.58,23.087999100000072,23.896856171428567,24.451629344202825,47.5,767.5,157.0,21.0,10.0,20.0,32,1.0,-0.36
2015-09-23 09:30:00,22.639999,22.932999200000072,23.8238562142857,24.43931299638982,48.5,768.5,158.0,22.0,11.0,21.0,34,0.43,-0.18
2015-09-24 09:30:00,22.38,22.72699930000007,23.746284799999994,24.425482792114625,49.5,769.5,159.0,23.0,12.0,22.0,42,1.0,-0.19
2015-09-25 09:30:00,22.799998000000002,22.653999300000066,23.671713328571414,24.413356064285644,50.5,770.5,160.0,24.0,13.0,23.0,59,1.0,-0.41
2015-09-26 09:30:00,,,,,,,,,,,7,2.0,-0.61
2015-09-27 09:30:00,,,,,,,,,,,13,1.5,0.0
2015-09-28 09:30:00,22.649998999999998,22.652999300000065,23.57970923188405,24.408984431159357,51.5,771.5,161.0,25.0,14.0,24.0,58,0.59,-1.41
2015-09-29 09:30:00,22.299998000000002,22.560999000000066,23.517284771428557,24.393259793478197,52.5,772.5,162.0,26.0,15.0,25.0,23,0.38,-0.78
2015-09-30 09:30:00,22.62,22.527998900000068,23.43585622857141,24.379637909747228,53.5,773.5,163.0,27.0,16.0,26.0,12,1.0,1.41
2015-10-01 09:30:00,22.649998999999998,22.556998800000066,23.36585622857141,24.36727490680998,54.5,774.5,164.0,28.0,17.0,27.0,11,0.0,-1.63
2015-10-02 09:30:00,22.179999,22.513998900000068,23.291999085714263,24.3532132071428,55.5,775.5,165.0,29.0,18.0,28.0,45,0.54,0.38
2015-10-03 09:30:00,,,,,,,,,,,8,0.5,-1.22
2015-10-04 09:30:00,,,,,,,,,,,5,0.0,0.0
2015-10-05 09:30:00,22.86,22.523998900000066,23.19768023188404,24.33637571739125,56.5,776.5,166.0,30.0,19.0,29.0,25,4.0,-0.58
2015-10-06 09:30:00,23.129998999999998,22.69699910000007,23.168713357142835,24.326738036231827,57.5,777.5,167.0,31.0,20.0,30.0,15,0.0,1.21
2015-10-07 09:30:00,23.219998999999998,22.831999200000066,23.107570499999966,24.316822018050484,58.5,778.5,168.0,32.0,21.0,31.0,19,1.5,0.66
2015-10-08 09:30:00,23.159999,22.94199910000007,23.049284771428546,24.308851956989194,59.5,779.5,169.0,33.0,22.0,32.0,25,3.5,0.29
2015-10-09 09:30:00,23.439999,23.139999100000068,23.00628475714283,24.301213196428517,0.0,780.5,170.0,34.0,23.0,33.0,40,4.33,0.14
2015-10-10 09:30:00,,,,,,,,,,,3,0.0,1.44
2015-10-11 09:30:00,,,,,,,,,,,8,1.0,1.07
2015-10-12 09:30:00,23.229998000000002,23.230998800000066,22.964346840579683,24.29369456521733,1.0,781.5,171.0,35.0,24.0,34.0,17,2.5,-0.04
2015-10-13 09:30:00,23.179999,23.243998700000066,22.982713285714254,24.288332249999947,2.0,782.5,172.0,36.0,25.0,35.0,54,0.82,-0.18
2015-10-14 09:30:00,23.09,23.231998800000067,22.98385615714283,24.280937552346515,3.0,783.5,173.0,37.0,26.0,36.0,31,0.29,0.16
2015-10-15 09:30:00,23.019998,23.181998800000066,22.994284685714263,24.27143261290317,4.0,784.5,174.0,38.0,27.0,37.0,46,2.4,-0.17
2015-10-16 09:30:00,23.479998000000002,23.187998700000065,22.997856114285682,24.26610606071423,5.0,785.5,175.0,39.0,28.0,38.0,15,0.0,1.95
2015-10-17 09:30:00,,,,,,,,,,,15,6.0,0.64
2015-10-18 09:30:00,,,,,,,,,,,11,0.0,1.92
2015-10-19 09:30:00,23.399998999999998,23.23599900000007,22.982317840579682,24.263549644927483,6.0,786.5,176.0,40.0,29.0,39.0,16,6.0,1.05
2015-10-20 09:30:00,23.529998000000003,23.29799890000007,22.9908561285714,24.25844657039705,7.0,787.5,177.0,41.0,30.0,40.0,18,0.67,1.41
2015-10-21 09:30:00,23.699999,23.417998700000066,23.005284699999965,24.25433583512539,8.0,788.5,178.0,42.0,31.0,41.0,25,3.33,0.62
2015-10-22 09:30:00,23.55,23.53199880000007,23.02542755714283,24.24914482562272,9.0,789.5,179.0,43.0,32.0,42.0,16,1.0,0.89
2015-10-23 09:30:00,24.07,23.63799900000007,23.05285615714283,24.24804856382973,10.0,790.5,180.0,44.0,33.0,43.0,19,3.0,-0.22
2015-10-24 09:30:00,,,,,,,,,,,13,4.0,-0.57
2015-10-25 09:30:00,,,,,,,,,,,4,0.0,1.75
2015-10-26 09:30:00,24.139999,23.770998900000066,23.093332347826056,24.248344255395626,11.0,791.5,181.0,45.0,34.0,44.0,14,0.0,2.19
2015-10-27 09:30:00,23.919999,23.860999200000066,23.118308887323924,24.24636584172656,12.0,792.5,182.0,46.0,35.0,45.0,9,2.0,0.55
2015-10-28 09:30:00,23.949998,23.90899910000007,23.14111011111109,24.244084956989195,13.0,793.5,183.0,47.0,36.0,46.0,53,2.14,1.29
2015-10-29 09:30:00,24.449998,24.094998900000068,23.172221208333305,24.245586117437664,14.0,794.5,184.0,48.0,37.0,47.0,15,1.5,-0.74
2015-10-30 09:30:00,24.369999,24.179998700000066,23.213887861111086,24.246842890070862,15.0,795.5,185.0,49.0,38.0,48.0,12,1.0,1.12
2015-10-31 09:30:00,,,,,,,,,,,1,0.0,0.0
2015-11-01 09:30:00,,,,,,,,,,,5,0.0,2.71
2015-11-02 09:30:00,24.139999,24.17399880000007,23.247463774647866,24.2433442517985,16.0,796.5,186.0,50.0,39.0,49.0,12,4.0,-0.54
2015-11-03 09:30:00,24.399998999999998,24.25899870000007,23.28208230555553,24.243380226618648,17.0,797.5,0.0,51.0,40.0,50.0,16,4.0,2.16
2015-11-04 09:30:00,24.449998,24.363998600000066,23.31916559722221,24.24526774193543,18.0,798.5,1.0,52.0,41.0,51.0,16,5.0,1.52
2015-11-05 09:30:00,24.379998999999998,24.34899880000007,23.346110041666652,24.246226683273964,19.0,799.5,2.0,53.0,42.0,52.0,14,0.33,1.78
2015-11-06 09:30:00,24.939998000000003,24.410998700000068,23.378610013888874,24.249608851063773,20.0,800.5,3.0,54.0,43.0,53.0,68,2.6,0.19
2015-11-07 09:30:00,,,,,,,,,,,18,4.0,1.19
2015-11-08 09:30:00,,,,,,,,,,,8,0.0,1.17
2015-11-09 09:30:00,24.76,24.537998600000066,23.437745394366182,24.253847841726564,21.0,801.5,4.0,55.0,44.0,54.0,25,0.33,0.22
2015-11-10 09:30:00,24.399998999999998,24.542998500000056,23.474026666666656,24.25481905395678,22.0,802.5,5.0,56.0,45.0,55.0,25,2.0,-0.67
2015-11-11 09:30:00,24.679998,24.57799860000007,23.526109972222212,24.25738241577056,23.0,803.5,6.0,57.0,46.0,56.0,18,0.0,2.29
2015-11-12 09:30:00,24.429998,24.59399840000007,23.57680437499999,24.258824519572897,24.0,804.5,7.0,58.0,47.0,57.0,22,1.25,0.46
