,Price,7,50,200,750g,50200g,7200g,750d,50200d,7200d,total_scanned_messages,bull_bear_msg_ratio,bull_minus_bear
2015-09-16 09:30:00,52.169998,51.479999500000076,52.536000071428596,55.02317689169672,19.5,80.5,87.0,17.5,66.5,75.0,6,0.0,-2.78
2015-09-17 09:30:00,52.450001,51.751999600000076,52.503857214285745,55.004982078853004,20.5,81.5,88.0,18.5,67.5,76.0,6,2.0,-0.14
2015-09-18 09:30:00,51.209998999999996,51.85999940000006,52.43442862857145,54.97235713928568,21.5,82.5,89.0,19.5,68.5,77.0,8,0.0,0.0
2015-09-19 09:30:00,,,,,,,,,,,1,0.0,0.0
2015-09-20 09:30:00,,,,,,,,,,,3,0.0,0.67
2015-09-21 09:30:00,51.139998999999996,51.74799950000007,52.3105797246377,54.887210130434745,22.5,83.5,90.0,20.5,69.5,78.0,2,0.0,0.0
2015-09-22 09:30:00,50.389998999999996,51.626999600000076,52.24014288571431,54.842427518115905,23.5,84.5,91.0,21.5,70.5,79.0,8,0.0,-1.46
2015-09-23 09:30:00,50.380001,51.27099990000009,52.13814290000002,54.80433211552342,24.5,85.5,92.0,22.5,71.5,80.0,5,0.0,-2.26
2015-09-24 09:30:00,49.43,50.71899980000008,52.01400005714289,54.767921132616436,25.5,86.5,93.0,23.5,72.5,81.0,5,0.0,-3.0
2015-09-25 09:30:00,50.220001,50.36300000000009,51.89200002857145,54.727571417857106,26.5,87.5,94.0,24.5,73.5,82.0,5,0.0,-2.78
2015-09-27 09:30:00,,,,,,,,,,,1,0.0,0.0
2015-09-28 09:30:00,49.529999,50.097000000000094,51.74347828985509,54.658007217391265,27.5,88.5,95.0,25.5,74.5,83.0,4,0.0,0.0
2015-09-29 09:30:00,49.09,49.73900020000009,51.629714357142866,54.60300723188402,28.5,89.5,96.0,26.5,75.5,84.0,4,0.0,0.0
2015-09-30 09:30:00,49.549999,49.534000300000095,51.48514288571429,54.55974727436819,29.5,90.5,97.0,27.5,76.5,85.0,5,0.0,-2.11
2015-10-01 09:30:00,49.82,49.5600002000001,51.371285714285726,54.52602148387093,30.5,91.5,98.0,28.5,77.5,86.0,8,0.0,-2.52
2015-10-02 09:30:00,49.119999,49.45700000000009,51.23857135714286,54.483392824999974,31.5,92.5,99.0,29.5,78.5,87.0,3,1.0,-0.72
2015-10-03 09:30:00,,,,,,,,,,,5,0.0,-2.89
2015-10-04 09:30:00,,,,,,,,,,,1,0.0,0.0
2015-10-05 09:30:00,51.150002,49.6790002000001,51.0994202173913,54.40253621376808,32.5,93.5,100.0,30.5,79.5,88.0,19,0.4,0.63
2015-10-06 09:30:00,51.75,50.24600000000007,51.07614280000001,54.364384032608655,33.5,94.5,101.0,31.5,80.5,89.0,16,2.0,0.62
2015-10-07 09:30:00,52.060001,50.761000100000096,51.0025714,54.33682309025266,34.5,95.5,102.0,32.5,81.5,90.0,15,0.0,2.51
2015-10-08 09:30:00,52.200001,51.2570004000001,50.94171428571429,54.32247311111106,0.5,96.5,103.0,33.5,82.5,91.0,16,2.0,0.14
2015-10-09 09:30:00,53.759997999999996,52.06300050000011,50.93228565714287,54.306107128571384,1.5,97.5,104.0,34.5,83.5,92.0,12,1.0,-0.65
2015-10-10 09:30:00,,,,,,,,,,,4,2.0,0.3
2015-10-11 09:30:00,,,,,,,,,,,2,0.0,1.8
2015-10-12 09:30:00,53.34,52.579000400000105,50.94594200000001,54.259094188405754,2.5,98.5,105.0,35.5,84.5,93.0,4,0.0,2.1
2015-10-13 09:30:00,53.0,52.859000300000105,51.05357138571429,54.24387679347822,3.5,99.5,106.0,36.5,85.5,94.0,9,1.0,-1.11
2015-10-14 09:30:00,52.650002,53.021000300000104,51.12814284285715,54.22826714079417,4.5,100.5,107.0,37.5,86.5,95.0,5,0.5,-0.36
2015-10-15 09:30:00,52.630001,53.0420002000001,51.21314284285715,54.21544802508956,5.5,101.5,108.0,38.5,87.5,96.0,8,1.0,-1.0
2015-10-16 09:30:00,53.0,52.92800030000011,51.275000014285716,54.200464285714226,6.5,102.5,109.0,39.5,88.5,97.0,16,0.0,-1.86
2015-10-17 09:30:00,,,,,,,,,,,6,0.0,-2.44
2015-10-18 09:30:00,,,,,,,,,,,4,0.0,0.0
2015-10-19 09:30:00,52.349998,52.74599990000011,51.29173908695653,54.154818818840525,7.5,103.5,110.0,40.5,89.5,98.0,6,0.0,-2.0
2015-10-20 09:30:00,52.439999,52.612999800000104,51.325714228571435,54.138483725631716,8.5,104.5,111.0,41.5,90.5,99.0,6,0.0,-0.3
2015-10-21 09:30:00,53.029999,52.665999600000106,51.38999994285716,54.130322551971275,9.5,105.5,112.0,42.5,91.5,100.0,4,0.0,-2.2
2015-10-22 09:30:00,53.189999,52.79499940000011,51.46928565714289,54.12288253024904,10.5,106.5,113.0,43.5,92.5,101.0,13,2.0,0.32
2015-10-23 09:30:00,54.779999,53.1369992000001,51.56985704285717,54.12319145390065,11.5,107.5,114.0,44.5,93.5,102.0,4,0.0,0.0
2015-10-24 09:30:00,,,,,,,,,,,5,0.0,1.4
2015-10-26 09:30:00,54.540001000000004,53.566999600000095,51.69565207246379,54.09057549999995,12.5,108.5,115.0,45.5,94.5,103.0,7,0.0,-2.0
2015-10-27 09:30:00,54.09,53.92399990000008,51.76943653521128,54.07553952877693,13.5,109.5,116.0,46.5,95.5,104.0,5,1.0,-0.4
2015-10-28 09:30:00,54.139998999999996,54.131999700000094,51.84152768055557,54.06491034408597,14.5,110.5,0.0,47.5,96.5,105.0,8,0.0,3.11
2015-10-29 09:30:00,54.049999,54.356999600000094,51.9037498888889,54.06594300355869,15.5,111.5,1.0,48.5,97.5,106.0,5,0.0,0.0
2015-10-30 09:30:00,54.360001000000004,54.302999900000096,51.993333236111134,54.058226893616975,16.5,112.5,2.0,49.5,98.5,107.0,3,0.0,0.0
2015-11-01 09:30:00,,,,,,,,,,,2,0.0,0.0
2015-11-02 09:30:00,54.279999,54.237999700000096,52.086619633802826,54.00877692805751,17.5,113.5,3.0,50.5,99.5,108.0,5,1.0,0.34
2015-11-03 09:30:00,54.849998,54.349999600000096,52.170694347222245,53.99820139208628,18.5,114.5,4.0,51.5,100.5,109.0,4,0.0,2.72
2015-11-04 09:30:00,54.91,54.5269997000001,52.2698610138889,53.998387050179154,19.5,115.5,5.0,52.5,101.5,110.0,4,0.0,-1.67
2015-11-05 09:30:00,54.77,54.6410000000001,52.34277773611112,54.00395013523126,20.5,116.5,6.0,53.5,102.5,111.0,4,0.0,2.69
2015-11-06 09:30:00,54.540001000000004,54.71100010000008,52.40430552777779,54.00180847517725,21.5,117.5,7.0,54.5,103.5,112.0,8,2.0,-0.12
2015-11-07 09:30:00,,,,,,,,,,,2,0.0,1.6
2015-11-08 09:30:00,,,,,,,,,,,5,0.0,1.61
2015-11-09 09:30:00,54.59,54.8010003000001,52.51000000000001,53.95402873741002,22.5,118.5,8.0,55.5,104.5,113.0,9,0.5,0.46
2015-11-10 09:30:00,54.220001,54.692000300000096,52.57958334722224,53.93812945323735,23.5,119.5,9.0,56.5,105.5,114.0,4,0.0,0.0
2015-11-11 09:30:00,54.560001,54.60600050000009,52.6836111388889,53.9335841899641,24.5,120.5,10.0,57.5,106.5,115.0,8,0.5,-1.11
2015-11-12 09:30:00,54.119999,54.512000300000096,52.79291668055557,53.93626330249104,25.5,121.5,11.0,58.5,107.5,116.0,6,0.0,-3.22
2015-11-13 09:30:00,53.549999,54.302999800000094,52.90208330555557,53.92553185460988,26.5,122.5,12.0,59.5,108.5,117.0,9,0.5,-0.36
2015-11-14 09:30:00,,,,,,,,,,,5,0.0,0.0
2015-11-15 09:30:00,,,,,,,,,,,1,0.0,0.0
2015-11-16 09:30:00,53.240002000000004,54.033999900000076,53.041830971831,53.87158266546757,27.5,123.5,13.0,60.5,109.5,118.0,10,3.0,0.61
2015-11-17 09:30:00,54.279999,54.01699970000008,53.12402775000001,53.86068337769779,28.5,124.5,14.0,61.5,110.5,119.0,10,0.0,2.6
2015-11-18 09:30:00,54.150002,53.94299960000008,53.26749994444446,53.85372751612898,29.5,125.5,15.0,62.5,111.5,120.0,4,0.0,1.93
2015-11-19 09:30:00,54.720001,54.03799960000008,53.4184721388889,53.86035578647682,30.5,126.5,16.0,63.5,112.5,121.0,6,1.0,0.54
2015-11-20 09:30:00,55.310001,54.34700000000008,53.5669443888889,53.86102829432619,31.5,127.5,17.0,64.5,113.5,122.0,7,0.0,-2.0
2015-11-21 09:30:00,,,,,,,,,,,4,0.0,2.12
2015-11-22 09:30:00,,,,,,,,,,,3,0.0,1.98
2015-11-23 09:30:00,55.419998,54.74999950000008,53.7788731690141,53.8283452517985,32.5,128.5,18.0,65.5,114.5,123.0,7,4.0,-0.18
2015-11-24 09:30:00,54.73,54.88299970000008,53.84680545833336,53.81892079856111,33.5,0.0,19.0,66.5,115.5,124.0,11,0.5,0.1
2015-11-25 09:30:00,55.150002,55.07299990000008,53.93791659722224,53.81802860931894,34.5,1.0,20.0,67.5,116.5,125.0,5,0.0,1.1
2015-11-26 09:30:00,,,,,,,,,,,3,0.0,0.0
2015-11-27 09:30:00,54.959998999999996,55.089999750000096,54.07099985714289,53.816535642857104,35.5,2.0,21.0,68.5,117.5,126.0,4,0.0,-2.0
2015-11-28 09:30:00,,,,,,,,,,,2,0.0,0.0
2015-11-29 09:30:00,,,,,,,,,,,1,0.0,0.0
2015-11-30 09:30:00,55.099998,55.01624962500009,54.12797081159422,53.76579701086952,36.5,3.0,22.0,69.5,118.5,127.0,6,0.0,2.54
2015-12-01 09:30:00,54.759997999999996,54.97624962500008,54.15699980000002,53.74840571014488,37.5,4.0,23.0,70.5,119.5,128.0,9,0.0,2.34
2015-12-02 09:30:00,54.91,54.94624937500008,54.207285528571454,53.74498185920572,38.5,5.0,24.0,71.5,120.5,129.0,11,0.33,-0.23
2015-12-03 09:30:00,54.580002,54.84333288888896,54.25799980000002,53.750465863799235,39.5,6.0,25.0,72.5,121.5,130.0,5,0.0,0.0
2015-12-04 09:30:00,53.84,54.62299950000007,54.296856900000016,53.73828562857138,40.5,7.0,26.0,73.5,122.5,131.0,3,0.0,0.0
2015-12-05 09:30:00,,,,,,,,,,,3,0.0,2.47
2015-12-06 09:30:00,,,,,,,,,,,3,0.0,0.0
2015-12-07 09:30:00,54.389998999999996,54.497999900000046,54.36753600000002,53.67264485869561,41.5,8.0,27.0,74.5,123.5,132.0,3,0.0,0.0
2015-12-08 09:30:00,53.580002,54.335000200000046,54.38399984285717,53.649383996376784,42.5,9.0,28.0,0.0,124.5,133.0,9,0.5,-0.54
2015-12-09 09:30:00,53.220001,54.00800010000005,54.40657128571429,53.635270685920545,43.5,10.0,29.0,1.0,125.5,134.0,7,2.0,0.85
2015-12-10 09:30:00,53.209998999999996,53.752999700000046,54.41328552857145,53.63240135125445,44.5,11.0,30.0,2.0,126.5,135.0,5,0.0,0.0
2015-12-11 09:30:00,53.07,53.650999700000064,54.419142657142885,53.62996432384338,45.5,12.0,31.0,3.0,127.5,136.0,6,2.0,0.23
2015-12-12 09:30:00,,,,,,,,,,,3,0.0,-2.1
2015-12-13 09:30:00,,,,,,,,,,,1,0.0,0.0
2015-12-14 09:30:00,52.630001,53.27999990000005,54.357681014492776,53.57035962949635,46.5,13.0,32.0,4.0,128.5,0.5,8,2.0,2.02
2015-12-15 09:30:00,52.900002,53.06299970000007,54.311999857142865,53.54521575179852,47.5,14.0,33.0,5.0,129.5,1.5,5,0.0,2.45
2015-12-16 09:30:00,53.110001000000004,52.991000000000064,54.27328558571431,53.53290315412181,48.5,15.0,34.0,6.0,130.5,2.5,11,0.0,0.0
2015-12-17 09:30:00,53.939999,53.113000200000066,54.267714171428594,53.535124480427,49.5,16.0,35.0,7.0,131.5,3.5,2,0.0,0.0
2015-12-18 09:30:00,52.43,52.984000500000064,54.222999928571454,53.52010630496449,50.5,17.0,36.0,8.0,132.5,4.5,10,0.0,-2.02
2015-12-19 09:30:00,,,,,,,,,,,23,1.0,0.16
2015-12-20 09:30:00,,,,,,,,,,,3,0.0,-0.1
2015-12-21 09:30:00,52.200001,52.85400060000007,54.15333328985509,53.45176252158269,51.5,18.0,37.0,9.0,133.5,5.5,5,0.0,0.67
2015-12-22 09:30:00,52.349998,52.73300020000006,54.09699992857146,53.42643877338125,52.5,19.0,38.0,10.0,134.5,6.5,11,0.0,-2.0
2015-12-23 09:30:00,53.099998,52.736999900000065,54.04285705714289,53.414516046594926,53.5,20.0,39.0,11.0,135.5,7.5,8,0.0,2.11
2015-12-24 09:30:00,53.290001000000004,52.645000100000075,53.99885708571431,53.4143059715302,54.5,21.0,40.0,12.0,136.5,8.5,6,2.0,-0.14
