,Price,7,50,200,750g,50200g,7200g,750d,50200d,7200d,total_scanned_messages,bull_bear_msg_ratio,bull_minus_bear
2015-09-16 09:30:00,47.939999,47.032999800000155,48.61071418571427,48.86617314801442,48.0,31.5,45.5,17.5,4.0,16.0,9,0.0,2.51
2015-09-17 09:30:00,48.009997999999996,47.31799960000015,48.54757135714284,48.86014322939066,49.0,32.5,46.5,18.5,5.0,17.0,7,4.0,-0.11
2015-09-18 09:30:00,47.189999,47.48899910000015,48.47214275714284,48.84703557142855,50.0,33.5,47.5,19.5,6.0,18.0,4,0.0,2.18
2015-09-19 09:30:00,,,,,,,,,,,2,0.0,-0.56
2015-09-20 09:30:00,,,,,,,,,,,5,0.0,1.59
2015-09-21 09:30:00,47.310001,47.520999100000154,48.357246260869545,48.81340566304346,51.0,34.5,48.5,20.5,7.0,19.0,8,0.0,2.26
2015-09-22 09:30:00,47.060001,47.583999600000155,48.299285642857114,48.79710132608693,52.0,35.5,49.5,21.5,8.0,20.0,12,0.5,-1.65
2015-09-23 09:30:00,47.009997999999996,47.44199970000015,48.20357134285711,48.78436810830322,53.0,36.5,50.5,22.5,9.0,21.0,11,0.0,2.05
2015-09-24 09:30:00,46.75,47.22199960000015,48.102571285714276,48.77103929749103,54.0,37.5,51.5,23.5,10.0,22.0,9,0.0,1.85
2015-09-25 09:30:00,47.450001,47.16099990000015,48.00057128571425,48.75999987142857,55.0,38.5,52.5,24.5,11.0,23.0,11,0.0,-2.31
2015-09-27 09:30:00,,,,,,,,,,,2,0.0,2.89
2015-09-28 09:30:00,47.360001000000004,47.19500000000015,47.88289842028984,48.75724623550721,56.0,39.5,53.5,25.5,12.0,24.0,9,0.5,2.82
2015-09-29 09:30:00,46.91,47.102999800000156,47.81857131428569,48.7444201449275,57.0,40.5,54.5,26.5,13.0,25.0,5,1.0,-0.44
2015-09-30 09:30:00,46.950001,47.07099990000015,47.72342847142855,48.73245472924185,58.0,41.5,55.5,27.5,14.0,26.0,4,0.0,0.0
2015-10-01 09:30:00,47.220001,47.12700010000015,47.64328567142854,48.72150523297486,59.0,42.5,56.5,28.5,15.0,27.0,7,0.0,-2.0
2015-10-02 09:30:00,46.93,47.075999900000156,47.55428561428571,48.71067842499996,60.0,43.5,57.5,29.5,16.0,28.0,6,0.5,1.22
2015-10-03 09:30:00,,,,,,,,,,,3,0.0,-0.32
2015-10-05 09:30:00,48.189999,47.19499970000015,47.45913028985506,48.70630418840576,61.0,44.5,58.5,30.5,17.0,29.0,9,0.0,1.68
2015-10-06 09:30:00,48.560001,47.548999800000175,47.455714157142836,48.706376652173866,0.0,45.5,59.5,31.5,18.0,30.0,9,0.0,-0.12
2015-10-07 09:30:00,48.560001,47.867000200000156,47.40785708571428,48.70364606498191,1.0,46.5,60.5,32.5,19.0,31.0,5,0.0,1.78
2015-10-08 09:30:00,48.700001,48.173000300000155,47.374428571428545,48.70387082795696,2.0,47.5,61.5,33.5,20.0,32.0,7,0.0,1.98
2015-10-09 09:30:00,49.439999,48.64000010000015,47.37628567142857,48.70814271071424,3.0,48.5,62.5,34.5,21.0,33.0,9,1.0,0.24
2015-10-10 09:30:00,,,,,,,,,,,2,0.0,1.87
2015-10-12 09:30:00,49.48,48.931000100000155,47.3891304347826,48.71025346376807,4.0,49.5,0.5,35.5,22.0,34.0,4,0.0,2.81
2015-10-13 09:30:00,49.5,49.11800000000015,47.47914282857143,48.71844187681154,5.0,50.5,1.5,36.5,23.0,35.0,7,1.0,0.7
2015-10-14 09:30:00,49.200001,49.277999900000154,47.54671431428571,48.72227422743678,6.0,51.5,2.5,37.5,24.0,36.0,7,0.0,-2.19
2015-10-15 09:30:00,49.02,49.30499990000017,47.62428572857142,48.72333319713257,7.0,52.5,3.5,38.5,25.0,37.0,5,1.0,-1.0
2015-10-16 09:30:00,49.200001,49.26200030000015,47.679714328571436,48.726285578571385,8.0,53.5,4.5,39.5,26.0,38.0,4,0.0,0.0
2015-10-17 09:30:00,,,,,,,,,,,4,0.0,3.0
2015-10-18 09:30:00,,,,,,,,,,,2,0.0,2.07
2015-10-19 09:30:00,49.630001,49.29400060000015,47.73695656521739,48.72949261231879,9.0,54.5,5.5,40.5,27.0,39.0,7,0.0,3.24
2015-10-20 09:30:00,49.84,49.354000400000174,47.80028572857143,48.73610093140789,10.0,55.5,6.5,41.5,28.0,40.0,3,0.0,0.0
