date,Price,7,50,200,750g,50200g,7200g,750d,50200d,7200d,total_scanned_messages,bull_bear_msg_ratio,bull_minus_bear,Aroon Oscillator [25],CMF [20],"MACD (12,26,9) - DIVERGENCE","MACD (12,26,9) - MACD","MACD (12,26,9) - SIGNAL",Williams %R [14]
2015-09-16 09:30:00,47.939999,47.032999800000155,48.61071418571427,48.86617314801442,48.0,31.5,45.5,17.5,4.0,16.0,9,0.0,2.51,-28.0,0.045344420886843886,0.154253227859,-0.458205785951,-0.612459013809,-2.9126213592234085
2015-09-17 09:30:00,48.009997999999996,47.31799960000015,48.54757135714284,48.86014322939066,49.0,32.5,46.5,18.5,5.0,17.0,7,4.0,-0.11,-28.0,0.026396998036896883,0.195247273087,-0.368399922451,-0.563647195538,-22.178988326848255
2015-09-18 09:30:00,47.189999,47.48899910000015,48.47214275714284,48.84703557142855,50.0,33.5,47.5,19.5,6.0,18.0,4,0.0,2.18,-20.000000000000004,0.03564170693127791,0.16096183477099998,-0.36244490207400004,-0.523406736845,-55.642023346303475
2015-09-19 09:30:00,,,,,,,,,,,2,0.0,-0.56,,,,,,
2015-09-20 09:30:00,,,,,,,,,,,5,0.0,1.59,,,,,,
2015-09-21 09:30:00,47.310001,47.520999100000154,48.357246260869545,48.81340566304346,51.0,34.5,48.5,20.5,7.0,19.0,8,0.0,2.26,-20.0,0.12340008771835152,0.158142482545,-0.325728633664,-0.483871116209,-42.02334630350187
2015-09-22 09:30:00,47.060001,47.583999600000155,48.299285642857114,48.79710132608693,52.0,35.5,49.5,21.5,8.0,20.0,12,0.5,-1.65,-16.0,0.07815012441972093,0.119311452355,-0.334731800765,-0.45404325312,-70.17543859649116
2015-09-23 09:30:00,47.009997999999996,47.44199970000015,48.20357134285711,48.78436810830322,53.0,36.5,50.5,22.5,9.0,21.0,11,0.0,2.05,-12.0,0.2590590704887578,0.0979632502035,-0.331589190366,-0.429552440569,-66.66666666666666
2015-09-24 09:30:00,46.75,47.22199960000015,48.102571285714276,48.77103929749103,54.0,37.5,51.5,23.5,10.0,22.0,9,0.0,1.85,-8.0,0.19498579712631167,0.0884687759378,-0.318966470647,-0.407435246585,-63.157894736842174
2015-09-25 09:30:00,47.450001,47.16099990000015,48.00057128571425,48.75999987142857,55.0,38.5,52.5,24.5,11.0,23.0,11,0.0,-2.31,-4.0,0.1030709464866175,0.1007399525,-0.281510305959,-0.38225025846,-53.02325581395354
2015-09-27 09:30:00,,,,,,,,,,,2,0.0,2.89,,,,,,
2015-09-28 09:30:00,47.360001000000004,47.19500000000015,47.88289842028984,48.75724623550721,56.0,39.5,53.5,25.5,12.0,24.0,9,0.5,2.82,68.0,0.00925506727869413,0.0619628714311,-0.304796669171,-0.366759540602,-85.58139534883709
2015-09-29 09:30:00,46.91,47.102999800000156,47.81857131428569,48.7444201449275,57.0,40.5,54.5,26.5,13.0,25.0,5,1.0,-0.44,64.0,0.04228033899261733,0.0364772755918,-0.321162946112,-0.357640221704,-86.51162790697676
2015-09-30 09:30:00,46.950001,47.07099990000015,47.72342847142855,48.73245472924185,58.0,41.5,55.5,27.5,14.0,26.0,4,0.0,0.0,60.0,0.08536980164553498,0.049293331870800004,-0.29602355686500004,-0.34531688873599997,-66.82242990654204
2015-10-01 09:30:00,47.220001,47.12700010000015,47.64328567142854,48.72150523297486,59.0,42.5,56.5,28.5,15.0,27.0,7,0.0,-2.0,44.0,0.06822882363874802,0.0578903379076,-0.27295396635200003,-0.330844304259,-66.82242990654204
2015-10-02 09:30:00,46.93,47.075999900000156,47.55428561428571,48.71067842499996,60.0,43.5,57.5,29.5,16.0,28.0,6,0.5,1.22,44.00000000000001,0.13022316992118715,0.10474179341800001,-0.199917062486,-0.304658855905,-36.44859813084083
2015-10-03 09:30:00,,,,,,,,,,,3,0.0,-0.32,,,,,,
2015-10-05 09:30:00,48.189999,47.19499970000015,47.45913028985506,48.70630418840576,61.0,44.5,58.5,30.5,17.0,29.0,9,0.0,1.68,92.0,0.1801889264690296,0.18372464114599998,-0.07500305447260001,-0.258727695618,-2.6785714285715283
2015-10-06 09:30:00,48.560001,47.548999800000175,47.455714157142836,48.706376652173866,0.0,45.5,59.5,31.5,18.0,30.0,9,0.0,-0.12,96.0,0.1116742121583004,0.20489735262400002,-0.0026060048381900004,-0.207503357462,-17.777777777777715
2015-10-07 09:30:00,48.560001,47.867000200000156,47.40785708571428,48.70364606498191,1.0,46.5,60.5,32.5,19.0,31.0,5,0.0,1.78,88.0,0.17123722506480074,0.237398480775,0.08924474350610001,-0.148153737269,-3.7815126050418577
2015-10-08 09:30:00,48.700001,48.173000300000155,47.374428571428545,48.70387082795696,2.0,47.5,61.5,33.5,20.0,32.0,7,0.0,1.98,92.0,0.2289144721568696,0.28368967196,0.206458352682,-0.0772313192785,-0.6920415224912116
2015-10-09 09:30:00,49.439999,48.64000010000015,47.37628567142857,48.70814271071424,3.0,48.5,62.5,34.5,21.0,33.0,9,1.0,0.24,96.0,0.2011479712075788,0.305556658622,0.304714504,-0.000842154622916,-4.792332268370559
2015-10-10 09:30:00,,,,,,,,,,,2,0.0,1.87,,,,,,
