date,Price,7,50,200,750g,50200g,7200g,750d,50200d,7200d,total_scanned_messages,bull_bear_msg_ratio,bull_minus_bear,Aroon Oscillator [25],CMF [20],"MACD (12,26,9) - DIVERGENCE","MACD (12,26,9) - MACD","MACD (12,26,9) - SIGNAL",Williams %R [14]
2015-09-20 09:30:00,,,,,,,,,,,4,0.0,0.0,,,,,,
2015-09-21 09:30:00,71.400002,71.28100070000015,72.61594189855086,73.87210124275359,35.0,939.0,229.5,27.0,8.5,18.5,17,0.25,0.18,-16.0,0.04236532725026112,0.264796862395,-0.7174109676360001,-0.9822078300309999,-64.76377952755921
2015-09-22 09:30:00,69.010002,71.06200040000016,72.46871422857156,73.84905778985504,36.0,940.0,230.5,28.0,9.5,19.5,19,2.0,0.89,-16.0,0.04134134419283377,0.17152270352,-0.767804450631,-0.939327154151,-73.22834645669292
2015-09-23 09:30:00,69.599998,70.68900080000016,72.26442845714298,73.82696731046929,37.0,941.0,231.5,29.0,10.5,20.5,11,4.0,-0.06,-12.0,0.08654150028468477,0.10816519410700001,-0.804120661517,-0.912285855624,-74.60629921259856
2015-09-24 09:30:00,68.900002,70.20900050000014,72.0489999714287,73.79369156989245,38.0,942.0,232.5,30.0,11.5,21.5,16,0.75,-0.68,-8.0,0.02633019906948343,0.0257903311314,-0.88004794171,-0.9058382728409999,-85.33879501621438
2015-09-25 09:30:00,69.309998,69.68700110000015,71.81671434285727,73.76742839642854,39.0,943.0,233.5,31.0,12.5,22.5,33,0.88,-0.5,-4.0,-0.08913441046888845,-0.138911462243,-1.07947760064,-0.9405661384020001,-92.26319595083156
2015-09-26 09:30:00,,,,,,,,,,,3,1.0,0.72,,,,,,
2015-09-27 09:30:00,,,,,,,,,,,17,0.33,-1.23,,,,,,
2015-09-28 09:30:00,66.459999,68.79000010000016,71.51173917391317,73.76927517028982,40.0,944.0,234.5,32.0,13.5,23.5,40,0.5,-0.11,68.0,-0.18629076817663068,-0.391574174477,-1.4300338565000001,-1.03845968202,-94.12381951731363
2015-09-29 09:30:00,64.459999,67.76699980000015,71.24985718571442,73.71474620289851,41.0,945.0,235.5,33.0,14.5,24.5,36,0.83,0.02,-28.0,-0.16036768893127054,-0.482291441995,-1.64132398451,-1.15903254252,-87.93284365162647
2015-09-30 09:30:00,65.839996,66.92499920000016,70.9554284857144,73.66129944765338,42.0,946.0,236.5,34.0,15.5,25.5,15,2.0,-1.26,-28.0,-0.08463711573845335,-0.417148228847,-1.6804678285799999,-1.26331959973,-73.76705141657919
