,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
0,stocktwits,ANIK,0,1.67,-1.67,0,1,0,1,8910,11/30/16,00:54.7
1,stocktwits,ANIK,0,0,0,0,0,0,1,8910,11/29/16,00:48.3
2,stocktwits,ANIK,0,0,0,0,0,0,1,8910,11/27/16,00:50.8
3,stocktwits,ANIK,0,0,0,0,0,0,1,8910,11/24/16,00:54.3
4,stocktwits,ANIK,0,1.24,-1.24,0,1,0,1,8910,11/22/16,00:54.7
5,stocktwits,ANIK,0,0,0,0,0,0,2,8910,11/21/16,00:58.8
6,stocktwits,ANIK,0,0,0,0,0,0,1,8910,11/17/16,01:07.5
7,stocktwits,ANIK,0,0,0,0,0,0,1,8910,11/15/16,00:55.3
8,stocktwits,ANIK,0,2,-2,0,1,0,3,8910,11/10/16,01:05.3
9,stocktwits,ANIK,1.9,0,1.9,1,0,0,8,8910,11/9/16,00:50.9
10,stocktwits,ANIK,0,0,0,0,0,0,1,8910,11/8/16,00:53.4
11,stocktwits,ANIK,1.5,0,1.5,1,0,0,3,8910,11/7/16,01:02.0
12,stocktwits,ANIK,1.9,0,1.9,1,0,0,3,8910,11/4/16,01:35.0
13,stocktwits,ANIK,1.5,0,1.5,1,0,0,3,8910,11/3/16,01:15.1
14,stocktwits,ANIK,0,0,0,0,0,0,2,8910,11/2/16,00:51.1
15,stocktwits,ANIK,0,0.88,-0.88,0,1,0,3,8910,11/1/16,01:02.3
16,stocktwits,ANIK,2.11,0,2.11,1,0,0,3,8910,10/28/16,01:22.7
17,stocktwits,ANIK,2.06,0.78,1.28,1,1,1,8,8910,10/27/16,01:29.0
18,stocktwits,ANIK,2.46,0,2.46,4,0,0,20,8910,10/26/16,00:47.7
19,stocktwits,ANIK,0,0,0,0,0,0,4,8910,10/25/16,00:53.9
20,stocktwits,ANIK,0,0,0,0,0,0,6,8910,10/24/16,01:07.2
21,stocktwits,ANIK,2.15,0,2.15,1,0,0,1,8910,10/22/16,00:53.0
22,stocktwits,ANIK,2.15,0,2.15,1,0,0,1,8910,10/20/16,01:16.0
23,stocktwits,ANIK,0,2.67,-2.67,0,1,0,1,8910,10/19/16,01:25.5
