INDEX,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
16,stocktwits,HD,1.861818,2.045,-0.183182,11,2,5.5,39,3496,11/13/16,00:57.0
17,stocktwits,HD,2.17,1.48,0.69,7,2,3.5,30,3496,11/12/16,00:51.1
18,stocktwits,HD,1.987273,1.725,0.262273,11,2,5.5,29,3496,11/11/16,00:50.8
19,stocktwits,HD,1.691538,1.9,-0.208462,13,2,6.5,38,3496,11/10/16,01:05.3
20,stocktwits,HD,2.143,2.22,-0.077,10,6,1.6667,32,3496,11/9/16,00:50.9
21,stocktwits,HD,1.85,2.43,-0.58,7,4,1.75,19,3496,11/8/16,00:53.4
22,stocktwits,HD,2.0775,0,2.0775,4,0,0,10,3496,11/7/16,01:02.0
23,stocktwits,HD,1.785,0.42,1.365,8,1,8,17,3496,11/6/16,00:49.0
24,stocktwits,HD,2.1675,2.11,0.0575,8,1,8,15,3496,11/5/16,00:49.0
25,stocktwits,HD,2.15,1.95,0.2,1,3,0.3333,9,3496,11/4/16,01:35.0
26,stocktwits,HD,2.036667,2.6,-0.563333,3,2,1.5,7,3496,11/3/16,01:15.1
27,stocktwits,HD,2.036667,2.504,-0.467333,3,5,0.6,15,3496,11/2/16,00:51.1
28,stocktwits,HD,1.854286,2.146667,-0.292381,7,3,2.3333,27,3496,11/1/16,01:02.3
29,stocktwits,HD,2.352,2.27,0.082,5,3,1.6667,24,3496,10/31/16,00:54.0
30,stocktwits,HD,2.036667,0,2.036667,3,0,0,3,3496,10/30/16,00:53.6
31,stocktwits,HD,1.99,2.89,-0.9,2,1,2,7,3496,10/29/16,00:48.3
32,stocktwits,HD,2.126667,0,2.126667,3,0,0,13,3496,10/28/16,01:22.7
33,stocktwits,HD,1.9775,2.74,-0.7625,8,4,2,20,3496,10/27/16,01:29.0
34,stocktwits,HD,1.873333,1.4775,0.395833,3,4,0.75,22,3496,10/26/16,00:47.7
35,stocktwits,HD,1.7425,2.250769,-0.508269,8,13,0.6154,57,3496,10/25/16,00:53.9
36,stocktwits,HD,1.905,0,1.905,8,0,0,13,3496,10/24/16,01:07.2
37,stocktwits,HD,2.036667,0,2.036667,3,0,0,7,3496,10/23/16,00:50.9
38,stocktwits,HD,1.703333,2.67,-0.966667,3,1,3,6,3496,10/22/16,00:53.0
39,stocktwits,HD,1.7175,1.4,0.3175,4,1,4,9,3496,10/21/16,01:11.6
40,stocktwits,HD,2.16125,0,2.16125,8,0,0,18,3496,10/20/16,01:16.0
41,stocktwits,HD,1.596667,1.725,-0.128333,6,2,3,17,3496,10/19/16,01:25.5
42,stocktwits,HD,2.076667,1.94,0.136667,6,5,1.2,26,3496,10/18/16,01:16.8
43,stocktwits,HD,2.036667,1.786667,0.25,3,3,1,14,3496,10/17/16,00:53.8
44,stocktwits,HD,2.1275,2.87,-0.7425,4,1,4,8,3496,10/16/16,01:10.4
45,stocktwits,HD,1.455,0.27,1.185,4,1,4,9,3496,10/15/16,01:05.5
46,stocktwits,HD,2.066667,2,0.066667,3,1,3,13,3496,10/14/16,01:00.7
47,stocktwits,HD,2.065,0,2.065,4,0,0,12,3496,10/13/16,01:16.6
48,stocktwits,HD,1.702,1.105,0.597,5,2,2.5,14,3496,10/12/16,01:38.8
49,stocktwits,HD,2.23,2.2,0.03,3,1,3,16,3496,10/11/16,01:04.0
50,stocktwits,HD,2.215714,0,2.215714,7,0,0,16,3496,10/10/16,01:01.4
51,stocktwits,HD,2.036667,0,2.036667,3,0,0,5,3496,10/9/16,01:07.9
52,stocktwits,HD,2.2,2.7,-0.5,1,1,1,10,3496,10/8/16,01:20.5
53,stocktwits,HD,1.758571,2.26,-0.501429,14,6,2.3333,63,3496,10/7/16,01:09.0
54,stocktwits,HD,1.957586,2.065,-0.107414,29,10,2.9,109,3496,10/6/16,00:55.9
55,stocktwits,HD,2.034545,1.043333,0.991212,11,3,3.6667,27,3496,10/5/16,00:48.0
56,stocktwits,HD,2.18,2.593333,-0.413333,10,3,3.3333,26,3496,10/4/16,01:03.0
57,stocktwits,HD,2.0775,0.88,1.1975,4,1,4,16,3496,10/3/16,00:53.6
58,stocktwits,HD,1.98,0,1.98,2,0,0,6,3496,10/2/16,01:09.1
59,stocktwits,HD,2.15,1.78,0.37,1,1,1,4,3496,10/1/16,00:48.0
60,stocktwits,HD,2.036667,0,2.036667,3,0,0,6,3496,9/30/16,00:46.8
61,stocktwits,HD,2.10875,1.35,0.75875,8,2,4,22,3496,9/29/16,00:49.9
62,stocktwits,HD,2.14,1.9,0.24,6,2,3,24,3496,9/28/16,00:43.3
63,stocktwits,HD,1.726,2.465,-0.739,5,2,2.5,22,3496,9/27/16,01:00.1
64,stocktwits,HD,1.805,1.4825,0.3225,4,4,1,20,3496,9/26/16,01:12.4
65,stocktwits,HD,1.98,2.445,-0.465,2,2,1,10,3496,9/25/16,00:50.1
66,stocktwits,HD,1.98,1.78,0.2,3,1,3,6,3496,9/24/16,00:41.7
67,stocktwits,HD,2.015,2.155,-0.14,6,2,3,15,3496,9/23/16,00:47.3
68,stocktwits,HD,1.65,2.08,-0.43,10,3,3.3333,21,3496,9/22/16,00:44.2
69,stocktwits,HD,1.9625,1.815,0.1475,8,2,4,25,3496,9/21/16,01:16.0
70,stocktwits,HD,2.036667,2.405,-0.368333,3,2,1.5,15,3496,9/20/16,01:12.3
71,stocktwits,HD,2.08125,2.65,-0.56875,8,2,4,19,3496,9/19/16,01:04.4
72,stocktwits,HD,1.81,0,1.81,1,0,0,5,3496,9/18/16,01:08.8
73,stocktwits,HD,2.01,0,2.01,5,0,0,8,3496,9/17/16,00:39.0
74,stocktwits,HD,1.968571,2.7,-0.731429,7,1,7,14,3496,9/16/16,00:55.4
75,stocktwits,HD,1.705714,2.3,-0.594286,7,1,7,23,3496,9/15/16,00:40.8
76,stocktwits,HD,1.972,0,1.972,5,0,0,13,3496,9/14/16,01:02.4
77,stocktwits,HD,1.765,2.495,-0.73,6,2,3,14,3496,9/13/16,00:49.7
78,stocktwits,HD,2.01125,0.33,1.68125,8,1,8,17,3496,9/12/16,01:16.3
79,stocktwits,HD,1.81,0,1.81,1,0,0,6,3496,9/11/16,01:10.7
80,stocktwits,HD,2.1,2.22,-0.12,4,2,2,12,3496,9/10/16,01:19.8
81,stocktwits,HD,2.128,2.545,-0.417,5,2,2.5,21,3496,9/9/16,01:18.8
82,stocktwits,HD,1.652,2.268,-0.616,5,5,1,22,3496,9/8/16,01:10.8
83,stocktwits,HD,1.41,0,1.41,3,0,0,16,3496,9/7/16,01:11.5
84,stocktwits,HD,1.9975,0,1.9975,4,0,0,12,3496,9/6/16,01:28.2
85,stocktwits,HD,2.11,0,2.11,4,0,0,11,3496,9/5/16,01:10.3
86,stocktwits,HD,1.67,0,1.67,1,0,0,4,3496,9/4/16,01:09.7
87,stocktwits,HD,2.0925,0,2.0925,4,0,0,6,3496,9/3/16,01:16.5
88,stocktwits,HD,2.036667,0,2.036667,3,0,0,9,3496,9/2/16,01:21.9
