Period,PE Ratio (TTM)
2016-11-30,20.9744
2016-11-29,21.2821
2016-11-28,21.2179
2016-11-25,20.8590
2016-11-23,21.2949
2016-11-22,21.3205
2016-11-21,20.8718
2016-11-18,21.1923
2016-11-17,20.7692
2016-11-16,20.8718
2016-11-15,21.1538
2016-11-14,21.3205
2016-11-11,21.8590
2016-11-10,22.2564
2016-11-09,22.8846
2016-11-08,21.7692
2016-11-07,19.7692
2016-11-04,19.2949
2016-11-03,19.4615
2016-11-02,19.5897
2016-11-01,19.7435
2016-10-31,19.5513
2016-10-28,19.2692
2016-10-27,20.1154
2016-10-26,19.4744
2016-10-25,19.5000
2016-10-24,19.5128
2016-10-21,19.4231
2016-10-20,19.6154
2016-10-19,19.7949
2016-10-18,19.8590
2016-10-17,20.2308
2016-10-14,20.4615
2016-10-13,20.6090
2016-10-12,19.7564
2016-10-11,19.4231
2016-10-10,19.7436
2016-10-07,19.8077
2016-10-06,20.0385
2016-10-05,20.1282
2016-10-04,19.7949
2016-10-03,20.1667
2016-09-30,20.5769
2016-09-29,12.3130
2016-09-28,12.2595
2016-09-27,12.1985
2016-09-26,12.2519
2016-09-23,12.6641
2016-09-22,12.0687
2016-09-21,12.3664
2016-09-20,12.6489
2016-09-19,12.7252
2016-09-16,12.4351
2016-09-15,12.8092
2016-09-14,13.1069
2016-09-13,12.8550
2016-09-12,12.9160
2016-09-09,12.9313
2016-09-08,13.1221
2016-09-07,13.4886
2016-09-06,13.4122
2016-09-02,13.2672
2016-09-01,13.0382
2016-08-31,12.8779
2016-08-30,12.9160
2016-08-29,13.0153
2016-08-26,13.0076
2016-08-25,12.9924
2016-08-24,12.8397
2016-08-23,13.0076
2016-08-22,12.9924
2016-08-19,13.0916
2016-08-18,12.9542
2016-08-17,13.0229
2016-08-16,13.0992
2016-08-15,13.1298
2016-08-12,13.0992
2016-08-11,12.8702
2016-08-10,12.9313
2016-08-09,12.9847
2016-08-08,12.9847
2016-08-05,12.9847
2016-08-04,13.0000
2016-08-03,12.7023
2016-08-02,12.7939
2016-08-01,12.7786
2016-07-29,13.0229
2016-07-28,13.2290
2016-07-27,13.1756
2016-07-26,13.0763
2016-07-25,13.0687
2016-07-22,13.1679
2016-07-21,13.0687
2016-07-20,13.0153
2016-07-19,12.7863
2016-07-18,12.7099
2016-07-15,12.7939
2016-07-14,12.6489
2016-07-13,12.5954
2016-07-12,12.7710
2016-07-11,12.7328
2016-07-08,12.7099
2016-07-07,12.7176
2016-07-06,12.8626
2016-07-05,12.5954
2016-07-01,12.5496
2016-06-30,12.3511
2016-06-29,10.5658
2016-06-28,10.4342
2016-06-27,10.3421
2016-06-24,10.5921
2016-06-23,9.5789
2016-06-22,9.3026
2016-06-21,9.3421
2016-06-20,9.3750
2016-06-17,9.6711
2016-06-16,9.8158
2016-06-15,9.8553
2016-06-14,9.6184
2016-06-13,9.7763
2016-06-10,9.9079
2016-06-09,9.9013
2016-06-08,10.1974
2016-06-07,10.3750
2016-06-06,10.3947
2016-06-03,10.3618
2016-06-02,9.9868
2016-06-01,10.3158
2016-05-31,10.5132
2016-05-27,10.4737
2016-05-26,10.3618
2016-05-25,10.3618
2016-05-24,10.7368
2016-05-23,10.7237
2016-05-20,10.8421
2016-05-19,10.6842
2016-05-18,10.9013
2016-05-17,10.8026
2016-05-16,11.2171
2016-05-13,12.1645
2016-05-12,12.3947
2016-05-11,12.9079
2016-05-10,13.6776
2016-05-09,14.3158
2016-05-06,14.1250
2016-05-05,13.6250
2016-05-04,13.1776
2016-05-03,13.0921
2016-05-02,13.3553
2016-04-29,13.4737
2016-04-28,13.5658
2016-04-27,13.9737
2016-04-26,14.4671
2016-04-25,13.9013
2016-04-22,14.0000
2016-04-21,14.1053
2016-04-20,13.8750
2016-04-19,14.0658
2016-04-18,13.3947
2016-04-15,13.3553
2016-04-14,13.5395
2016-04-13,13.8091
2016-04-12,13.8158
2016-04-11,13.6053
2016-04-08,13.3421
2016-04-07,13.2763
2016-04-06,13.2500
2016-04-05,13.2171
2016-04-04,13.3750
2016-04-01,13.0329
2016-03-31,13.0921
2016-03-30,12.4403
2016-03-29,12.5786
2016-03-28,12.8113
2016-03-24,13.0000
2016-03-23,12.8459
2016-03-22,12.7673
2016-03-21,13.1069
2016-03-18,13.1258
2016-03-17,13.2013
2016-03-16,13.2201
2016-03-15,12.6604
2016-03-14,12.7925
2016-03-11,12.5157
2016-03-10,12.4465
2016-03-09,12.3774
2016-03-08,12.3711
2016-03-07,12.0000
2016-03-04,12.2453
2016-03-03,12.7107
2016-03-02,12.7107
2016-03-01,13.2390
2016-02-29,13.6667
2016-02-26,13.2013
2016-02-25,13.1069
2016-02-24,12.9182
2016-02-23,12.6981
2016-02-22,12.6667
2016-02-19,12.4528
2016-02-18,12.5786
2016-02-17,12.5472
2016-02-16,12.5157
2016-02-12,12.5220
2016-02-11,12.1069
2016-02-10,11.3208
2016-02-09,10.6604
2016-02-08,10.7547
2016-02-05,10.8553
2016-02-04,9.9371
2016-02-03,9.9308
2016-02-02,10.2013
2016-02-01,10.3459
2016-01-29,10.6478
2016-01-28,10.1509
2016-01-27,10.0692
2016-01-26,10.5535
2016-01-25,10.1698
2016-01-22,10.5031
2016-01-21,11.1132
2016-01-20,11.5094
2016-01-19,10.8805
2016-01-15,11.5912
2016-01-14,10.4654
2016-01-13,10.2453
2016-01-12,10.4654
2016-01-11,11.2264
2016-01-08,10.9182
2016-01-07,10.9057
2016-01-06,11.3522
2016-01-05,12.3585
2016-01-04,12.0314
2015-12-31,11.8553
