Period,PEG Ratio (TTM)
2016-09-29,0.3972
2016-09-28,0.3955
2016-09-27,0.3935
2016-09-26,0.3952
2016-09-23,0.4085
2016-09-22,0.3893
2016-09-21,0.3989
2016-09-20,0.4080
2016-09-19,0.4105
2016-09-16,0.4011
2016-09-15,0.4132
2016-09-14,0.4228
2016-09-13,0.4147
2016-09-12,0.4166
2016-09-09,0.4171
2016-09-08,0.4233
2016-09-07,0.4351
2016-09-06,0.4327
2016-09-02,0.4280
2016-09-01,0.4206
2016-08-31,0.4154
2016-08-30,0.4166
2016-08-29,0.4198
2016-08-26,0.4196
2016-08-25,0.4191
2016-08-24,0.4142
2016-08-23,0.4196
2016-08-22,0.4191
2016-08-19,0.4223
2016-08-18,0.4179
2016-08-17,0.4201
2016-08-16,0.4226
2016-08-15,0.4235
2016-08-12,0.4226
2016-08-11,0.4152
2016-08-10,0.4171
2016-08-09,0.4189
2016-08-08,0.4189
2016-08-05,0.4189
2016-08-04,0.4194
2016-08-03,0.4098
2016-08-02,0.4127
2016-08-01,0.4122
2016-07-29,0.4201
2016-07-28,0.4267
2016-07-27,0.4250
2016-07-26,0.4218
2016-07-25,0.4216
2016-07-22,0.4248
2016-07-21,0.4216
2016-07-20,0.4198
2016-07-19,0.4125
2016-07-18,0.4100
2016-07-15,0.4127
2016-07-14,0.4080
2016-07-13,0.4063
2016-07-12,0.4120
2016-07-11,0.4107
2016-07-08,0.4100
2016-07-07,0.4102
2016-07-06,0.4149
2016-07-05,0.4063
2016-07-01,0.4048
2016-06-30,0.3984
2016-06-29,0.1377
2016-06-28,0.1360
2016-06-27,0.1348
2016-06-24,0.1380
2016-06-23,0.1248
2016-06-22,0.1212
2016-06-21,0.1217
2016-06-20,0.1222
2016-06-17,0.1260
2016-06-16,0.1279
2016-06-15,0.1284
2016-06-14,0.1253
2016-06-13,0.1274
2016-06-10,0.1291
2016-06-09,0.1290
2016-06-08,0.1329
2016-06-07,0.1352
2016-06-06,0.1354
2016-06-03,0.1350
2016-06-02,0.1301
2016-06-01,0.1344
2016-05-31,0.1370
2016-05-27,0.1365
2016-05-26,0.1350
2016-05-25,0.1350
2016-05-24,0.1399
2016-05-23,0.1397
2016-05-20,0.1413
2016-05-19,0.1392
2016-05-18,0.1420
2016-05-17,0.1408
2016-05-16,0.1462
2016-05-13,0.1585
2016-05-12,0.1615
2016-05-11,0.1682
2016-05-10,0.1782
2016-05-09,0.1865
2016-05-06,0.1841
