Period,Open,High,Low,Close,Volume
2016-11-30,16.790000,16.790000,16.300000,16.360000,7311
2016-11-29,16.780000,16.980000,16.500000,16.600000,111334
2016-11-28,16.110000,16.972300,16.080000,16.550000,71791
2016-11-25,16.610000,16.700000,16.150000,16.270000,7119
2016-11-23,17.839300,17.839300,16.510000,16.610000,13232
2016-11-22,16.570000,16.700000,16.300000,16.630000,41859
2016-11-21,16.430000,16.770000,16.120000,16.280000,14823
2016-11-18,16.190000,16.990000,16.120000,16.530000,7970
2016-11-17,16.150000,16.339000,16.150000,16.200000,5899
2016-11-16,16.440000,16.620000,16.095000,16.280000,18753
2016-11-15,16.730000,17.160000,16.300000,16.500000,10084
2016-11-14,17.040000,17.847000,16.176000,16.630000,12724
2016-11-11,17.500000,17.690000,16.705000,17.050000,17364
2016-11-10,17.990000,18.160000,16.970000,17.360000,20610
2016-11-09,17.150000,18.320000,17.150000,17.850000,62090
2016-11-08,15.670000,17.140000,15.500000,16.980000,55694
2016-11-07,15.010000,15.430000,14.910000,15.420000,32234
2016-11-04,15.170000,15.420000,14.830000,15.050000,35448
2016-11-03,15.530000,15.740000,15.170000,15.180000,69420
2016-11-02,15.280000,15.570000,15.210000,15.280000,81939
2016-11-01,15.280000,15.440000,15.130000,15.399900,13050
2016-10-31,15.100000,15.310000,15.030000,15.250000,20375
2016-10-28,15.150000,15.400000,15.030000,15.030000,15605
2016-10-27,15.290000,15.690000,15.144800,15.690000,7139
2016-10-26,15.170000,15.480000,15.080000,15.190000,14388
2016-10-25,15.400000,15.530000,15.150000,15.210000,120843
2016-10-24,15.170000,15.610000,15.150000,15.220000,98276
2016-10-21,15.130000,15.245000,15.000000,15.150000,20078
2016-10-20,15.400000,15.410000,15.220000,15.300000,8145
2016-10-19,15.410000,15.742800,15.360000,15.440000,20749
2016-10-18,15.730000,15.730000,15.460000,15.490000,16081
2016-10-17,15.870000,15.950000,15.680000,15.780000,12430
2016-10-14,16.100000,16.250000,15.890000,15.960000,15526
2016-10-13,15.320000,16.148000,15.280000,16.075000,18901
2016-10-12,15.110000,15.440000,15.110000,15.410000,23074
2016-10-11,15.290000,15.500000,15.010000,15.150000,16008
2016-10-10,15.570000,15.570000,15.150000,15.400000,14460
2016-10-07,15.710000,15.710000,15.040000,15.450000,29550
2016-10-06,15.610000,16.000000,15.610000,15.630000,36366
2016-10-05,15.630000,15.890000,15.260000,15.700000,141612
2016-10-04,15.800000,15.800000,15.120000,15.440000,142562
2016-10-03,16.040000,16.150000,15.710000,15.730000,44237
2016-09-30,16.070000,16.240000,15.970000,16.050000,19039
2016-09-29,16.060000,16.150000,16.060000,16.130000,13494
2016-09-28,15.960000,16.139900,15.950000,16.060000,14478
2016-09-27,16.460000,16.460000,15.970000,15.980000,16817
2016-09-26,16.490000,16.490000,15.980000,16.050000,9352
2016-09-23,15.800000,16.870000,15.800000,16.590000,30546
2016-09-22,16.000000,16.150000,15.710000,15.810000,48592
2016-09-21,16.520000,16.800000,16.000000,16.200000,24555
2016-09-20,16.620000,16.800000,16.390000,16.570000,6179
2016-09-19,16.410000,16.850000,16.410000,16.670000,9521
2016-09-16,16.800000,16.870000,16.170000,16.290000,26397
2016-09-15,17.090000,17.250000,16.750000,16.780000,8053
2016-09-14,17.000000,17.240000,16.840000,17.170000,10824
2016-09-13,16.850000,17.010000,16.760000,16.840000,6909
2016-09-12,16.899900,16.940000,16.790000,16.920000,10823
2016-09-09,17.100000,17.340000,16.690000,16.940000,13175
2016-09-08,17.780000,18.304000,16.990000,17.190000,13530
2016-09-07,17.480000,17.800000,17.290000,17.670000,14420
2016-09-06,17.260000,17.730000,17.260000,17.570000,11798
