Period,Price to Book Value
2016-11-30,1.7662
2016-11-29,1.7922
2016-11-28,1.7868
2016-11-25,1.7565
2016-11-23,1.7932
2016-11-22,1.7954
2016-11-21,1.7576
2016-11-18,1.7846
2016-11-17,1.7490
2016-11-16,1.7576
2016-11-15,1.7814
2016-11-14,1.7954
2016-11-11,1.8407
2016-11-10,1.8742
2016-11-09,1.9271
2016-11-08,1.8332
2016-11-07,1.6648
2016-11-04,1.6248
2016-11-03,1.6388
2016-11-02,1.6496
2016-11-01,1.6626
2016-10-31,1.6464
2016-10-28,1.6227
2016-10-27,1.6939
2016-10-26,1.6399
2016-10-25,1.6421
2016-10-24,1.6432
2016-10-21,1.6356
2016-10-20,1.6518
2016-10-19,1.6669
2016-10-18,1.6723
2016-10-17,1.7036
2016-10-14,1.7231
2016-10-13,1.7355
2016-10-12,1.6637
2016-10-11,1.6356
2016-10-10,1.6626
2016-10-07,1.6680
2016-10-06,1.6874
2016-10-05,1.6950
2016-10-04,1.6669
2016-10-03,1.6982
2016-09-30,1.7328
2016-09-29,1.7889
2016-09-28,1.7812
2016-09-27,1.7723
2016-09-26,1.7801
2016-09-23,1.8399
2016-09-22,1.7534
2016-09-21,1.7967
2016-09-20,1.8377
2016-09-19,1.8488
2016-09-16,1.8067
2016-09-15,1.8610
2016-09-14,1.9043
2016-09-13,1.8677
2016-09-12,1.8765
2016-09-09,1.8788
2016-09-08,1.9065
2016-09-07,1.9597
2016-09-06,1.9486
2016-09-02,1.9276
2016-09-01,1.8943
2016-08-31,1.8710
2016-08-30,1.8765
2016-08-29,1.8910
2016-08-26,1.8899
2016-08-25,1.8876
2016-08-24,1.8655
2016-08-23,1.8899
2016-08-22,1.8876
2016-08-19,1.9021
2016-08-18,1.8821
2016-08-17,1.8921
2016-08-16,1.9032
2016-08-15,1.9076
2016-08-12,1.9032
2016-08-11,1.8699
2016-08-10,1.8788
2016-08-09,1.8865
2016-08-08,1.8865
2016-08-05,1.8865
2016-08-04,1.8887
2016-08-03,1.8455
2016-08-02,1.8588
2016-08-01,1.8566
2016-07-29,1.8921
2016-07-28,1.9220
2016-07-27,1.9143
2016-07-26,1.8998
2016-07-25,1.8987
2016-07-22,1.9131
2016-07-21,1.8987
2016-07-20,1.8910
2016-07-19,1.8577
2016-07-18,1.8466
2016-07-15,1.8588
2016-07-14,1.8377
2016-07-13,1.8300
2016-07-12,1.8555
2016-07-11,1.8499
2016-07-08,1.8466
2016-07-07,1.8477
2016-07-06,1.8688
2016-07-05,1.8300
2016-07-01,1.8233
2016-06-30,1.7945
2016-06-29,1.7850
2016-06-28,1.7628
2016-06-27,1.7472
2016-06-24,1.7894
2016-06-23,1.6183
2016-06-22,1.5716
2016-06-21,1.5783
2016-06-20,1.5838
2016-06-17,1.6338
2016-06-16,1.6583
2016-06-15,1.6649
2016-06-14,1.6249
2016-06-13,1.6516
2016-06-10,1.6738
2016-06-09,1.6727
2016-06-08,1.7227
2016-06-07,1.7528
2016-06-06,1.7561
2016-06-03,1.7505
2016-06-02,1.6872
2016-06-01,1.7427
2016-05-31,1.7761
2016-05-27,1.7694
2016-05-26,1.7505
2016-05-25,1.7505
2016-05-24,1.8139
2016-05-23,1.8117
2016-05-20,1.8317
2016-05-19,1.8050
2016-05-18,1.8417
2016-05-17,1.8250
2016-05-16,1.8950
2016-05-13,2.0551
2016-05-12,2.0940
2016-05-11,2.1807
2016-05-10,2.3107
2016-05-09,2.4185
2016-05-06,2.3863
2016-05-05,2.3018
2016-05-04,2.2262
2016-05-03,2.2118
2016-05-02,2.2562
2016-04-29,2.2762
2016-04-28,2.2918
2016-04-27,2.3607
2016-04-26,2.4441
2016-04-25,2.3485
2016-04-22,2.3652
2016-04-21,2.3829
2016-04-20,2.3440
2016-04-19,2.3763
2016-04-18,2.2629
2016-04-15,2.2562
2016-04-14,2.2874
2016-04-13,2.3329
2016-04-12,2.3340
2016-04-11,2.2985
2016-04-08,2.2540
2016-04-07,2.2429
2016-04-06,2.2385
2016-04-05,2.2329
2016-04-04,2.2596
2016-04-01,2.2018
2016-03-31,2.2118
2016-03-30,2.2223
2016-03-29,2.2471
2016-03-28,2.2886
2016-03-24,2.3223
2016-03-23,2.2948
2016-03-22,2.2808
2016-03-21,2.3414
2016-03-18,2.3448
2016-03-17,2.3583
2016-03-16,2.3617
2016-03-15,2.2617
2016-03-14,2.2853
2016-03-11,2.2358
2016-03-10,2.2235
2016-03-09,2.2111
2016-03-08,2.2100
2016-03-07,2.1437
2016-03-04,2.1875
2016-03-03,2.2706
2016-03-02,2.2706
2016-03-01,2.3650
2016-02-29,2.4414
2016-02-26,2.3583
2016-02-25,2.3414
2016-02-24,2.3077
2016-02-23,2.2684
2016-02-22,2.2628
2016-02-19,2.2246
2016-02-18,2.2471
2016-02-17,2.2414
2016-02-16,2.2358
2016-02-12,2.2369
2016-02-11,2.1628
2016-02-10,2.0223
2016-02-09,1.9044
2016-02-08,1.9212
2016-02-05,1.9392
2016-02-04,1.7752
2016-02-03,1.7740
2016-02-02,1.8224
2016-02-01,1.8482
2016-01-29,1.9021
2016-01-28,1.8134
2016-01-27,1.7988
2016-01-26,1.8853
2016-01-25,1.8167
2016-01-22,1.8763
2016-01-21,1.9853
2016-01-20,2.0561
2016-01-19,1.9437
2016-01-15,2.0707
2016-01-14,1.8695
2016-01-13,1.8302
2016-01-12,1.8695
2016-01-11,2.0055
2016-01-08,1.9504
2016-01-07,1.9482
2016-01-06,2.0280
2016-01-05,2.2077
2016-01-04,2.1493
2015-12-31,2.1178
2015-12-30,2.1607
2015-12-29,2.1413
2015-12-28,2.1104
2015-12-24,2.0194
2015-12-23,2.0179
2015-12-22,2.0535
2015-12-21,2.0876
2015-12-18,2.0579
2015-12-17,2.0944
2015-12-16,2.0225
2015-12-15,1.9002
2015-12-14,1.9311
2015-12-11,1.9231
2015-12-10,1.8796
2015-12-09,1.8556
2015-12-08,1.9002
2015-12-07,1.7939
2015-12-04,1.7402
2015-12-03,1.7140
2015-12-02,1.7140
2015-12-01,1.7528
2015-11-30,1.7711
2015-11-27,1.7928
2015-11-25,1.7894
2015-11-24,1.7709
2015-11-23,1.7699
2015-11-20,1.7859
2015-11-19,1.7402
2015-11-18,1.7414
2015-11-17,1.7871
2015-11-16,1.8076
2015-11-13,1.7619
2015-11-12,1.8151
2015-11-11,1.7677
2015-11-10,1.6471
2015-11-09,1.6854
2015-11-06,1.6408
2015-11-05,1.6842
2015-11-04,1.6842
2015-11-03,1.6545
2015-11-02,1.6397
2015-10-30,1.6568
2015-10-29,1.5791
2015-10-28,1.5974
2015-10-27,1.6031
2015-10-26,1.6237
2015-10-23,1.6271
2015-10-22,1.5768
2015-10-21,1.6340
2015-10-20,1.5940
2015-10-19,1.5631
2015-10-16,1.5266
2015-10-15,1.4969
2015-10-14,1.5037
2015-10-13,1.5140
2015-10-12,1.5426
2015-10-09,1.4854
2015-10-08,1.4854
2015-10-07,1.4443
2015-10-06,1.4009
2015-10-05,1.3529
2015-10-02,1.3312
2015-10-01,1.3083
2015-09-30,1.3209
2015-09-29,1.4143
2015-09-28,1.4667
2015-09-25,1.4667
2015-09-24,1.4555
2015-09-23,1.4193
2015-09-22,1.4305
2015-09-21,1.4604
2015-09-18,1.4118
2015-09-17,1.4330
2015-09-16,1.4206
2015-09-15,1.4016
