Period,PE Ratio (TTM)
2016-11-30,20.0258
2016-11-29,19.8884
2016-11-28,19.7854
2016-11-25,20.0129
2016-11-23,20.0558
2016-11-22,19.7983
2016-11-21,19.7468
2016-11-18,19.4292
2016-11-17,19.3519
2016-11-16,19.1760
2016-11-15,18.8584
2016-11-14,19.1245
2016-11-11,19.5536
2016-11-10,19.4592
2016-11-09,18.6953
2016-11-08,18.5193
2016-11-07,18.9957
2016-11-04,17.9142
2016-11-03,17.7854
2016-11-02,18.1588
2016-11-01,18.8197
2016-10-31,19.0386
2016-10-28,18.4549
2016-10-27,18.9099
2016-10-26,18.3391
2016-10-25,18.5322
2016-10-24,18.8798
2016-10-21,18.7339
2016-10-20,19.0687
2016-10-19,18.9013
2016-10-18,19.3004
2016-10-17,19.1974
2016-10-14,19.0987
2016-10-13,19.4421
2016-10-12,19.9914
2016-10-11,20.0644
2016-10-10,20.5236
2016-10-07,20.4506
2016-10-06,20.5622
2016-10-05,20.6094
2016-10-04,20.0644
2016-10-03,20.4120
2016-09-30,20.5365
2016-09-29,20.1310
2016-09-28,20.4148
2016-09-27,20.2969
2016-09-26,20.0087
2016-09-23,20.4891
2016-09-22,20.9563
2016-09-21,20.9301
2016-09-20,20.7817
2016-09-19,20.7380
2016-09-16,20.6856
2016-09-15,20.6463
2016-09-14,20.5153
2016-09-13,20.4760
2016-09-12,20.6245
2016-09-09,20.0480
2016-09-08,20.7380
2016-09-07,21.0961
2016-09-06,21.1092
2016-09-02,20.9127
2016-09-01,20.9345
2016-08-31,20.6288
2016-08-30,20.7205
2016-08-29,20.9563
2016-08-26,21.1179
2016-08-25,21.2751
2016-08-24,21.4236
2016-08-23,21.7249
2016-08-22,21.6157
2016-08-19,21.7555
2016-08-18,21.7380
2016-08-17,21.2445
2016-08-16,21.5415
2016-08-15,21.6594
2016-08-12,21.3057
2016-08-11,21.3712
2016-08-10,20.9782
2016-08-09,20.9869
2016-08-08,20.7467
2016-08-05,21.3581
2016-08-04,21.0087
2016-08-03,21.0044
2016-08-02,21.3974
2016-08-01,22.1135
2016-07-29,21.7991
2016-07-28,21.4934
2016-07-27,22.9607
2016-07-26,22.6332
2016-07-25,22.6245
2016-07-22,22.8734
2016-07-21,22.8122
2016-07-20,22.7380
2016-07-19,22.7598
2016-07-18,22.8428
2016-07-15,22.9214
2016-07-14,22.9869
2016-07-13,23.0742
2016-07-12,23.2271
2016-07-11,23.0524
2016-07-08,23.2751
2016-07-07,22.8646
2016-07-06,23.2533
2016-07-05,23.5066
2016-07-01,23.6943
2016-06-30,23.4279
2016-06-29,23.4529
