Period,PEG Ratio (TTM)
2016-11-30,0.6970
2016-11-29,0.6923
2016-11-28,0.6887
2016-11-25,0.6966
2016-11-23,0.6981
2016-11-22,0.6891
2016-11-21,0.6873
2016-11-18,0.6763
2016-11-17,0.6736
2016-11-16,0.6675
2016-11-15,0.6564
2016-11-14,0.6657
2016-11-11,0.6806
2016-11-10,0.6773
2016-11-09,0.6507
2016-11-08,0.6446
2016-11-07,0.6612
2016-11-04,0.6236
2016-11-03,0.6191
2016-11-02,0.6321
2016-11-01,0.6551
2016-10-31,0.6627
2016-10-28,0.6424
2016-10-27,0.6582
2016-10-26,0.6383
2016-10-25,0.6451
2016-10-24,0.6572
2016-10-21,0.6521
2016-10-20,0.6637
2016-10-19,0.6579
2016-10-18,0.6718
2016-10-17,0.6682
2016-10-14,0.6648
2016-10-13,0.6767
2016-10-12,0.6959
2016-10-11,0.6984
2016-10-10,0.7144
2016-10-07,0.7118
2016-10-06,0.7157
2016-10-05,0.7174
2016-10-04,0.6984
2016-10-03,0.7105
2016-09-30,0.7148
2016-09-29,0.5304
2016-09-28,0.5379
2016-09-27,0.5348
2016-09-26,0.5272
2016-09-23,0.5399
2016-09-22,0.5522
2016-09-21,0.5515
2016-09-20,0.5476
2016-09-19,0.5464
2016-09-16,0.5450
2016-09-15,0.5440
2016-09-14,0.5406
2016-09-13,0.5395
2016-09-12,0.5434
2016-09-09,0.5282
2016-09-08,0.5464
2016-09-07,0.5559
2016-09-06,0.5562
2016-09-02,0.5510
2016-09-01,0.5516
2016-08-31,0.5436
2016-08-30,0.5460
2016-08-29,0.5522
2016-08-26,0.5564
2016-08-25,0.5606
2016-08-24,0.5645
2016-08-23,0.5724
2016-08-22,0.5696
2016-08-19,0.5732
2016-08-18,0.5728
2016-08-17,0.5598
2016-08-16,0.5676
2016-08-15,0.5707
2016-08-12,0.5614
2016-08-11,0.5631
2016-08-10,0.5528
2016-08-09,0.5530
2016-08-08,0.5467
2016-08-05,0.5628
2016-08-04,0.5536
2016-08-03,0.5534
2016-08-02,0.5638
2016-08-01,0.5827
2016-07-29,0.5744
2016-07-28,0.5663
2016-07-27,0.6050
2016-07-26,0.5964
2016-07-25,0.5961
2016-07-22,0.6027
2016-07-21,0.6011
2016-07-20,0.5991
2016-07-19,0.5997
2016-07-18,0.6019
2016-07-15,0.6040
2016-07-14,0.6057
2016-07-13,0.6080
2016-07-12,0.6120
2016-07-11,0.6074
2016-07-08,0.6133
2016-07-07,0.6025
2016-07-06,0.6127
2016-07-05,0.6194
2016-07-01,0.6243
2016-06-30,0.6173
2016-06-29,0.8551
2016-06-28,0.8327
2016-06-27,0.8202
2016-06-24,0.8353
2016-06-23,0.8354
2016-06-22,0.8219
2016-06-21,0.8202
2016-06-20,0.8140
2016-06-17,0.8027
2016-06-16,0.8192
2016-06-15,0.8140
2016-06-14,0.8148
2016-06-13,0.8058
2016-06-10,0.8037
2016-06-09,0.7998
2016-06-08,0.7965
2016-06-07,0.7800
2016-06-06,0.7838
2016-06-03,0.7764
2016-06-02,0.7800
2016-06-01,0.7745
2016-05-31,0.7736
2016-05-27,0.7746
2016-05-26,0.7607
2016-05-25,0.7697
2016-05-24,0.7684
2016-05-23,0.7522
2016-05-20,0.7514
2016-05-19,0.7355
2016-05-18,0.7385
2016-05-17,0.7328
2016-05-16,0.7369
2016-05-13,0.7146
2016-05-12,0.7131
2016-05-11,0.7321
2016-05-10,0.7352
2016-05-09,0.7257
2016-05-06,0.7198
2016-05-05,0.7197
2016-05-04,0.7107
2016-05-03,0.7308
2016-05-02,0.7450
2016-04-29,0.7465
2016-04-28,0.7673
2016-04-27,0.7298
2016-04-26,0.7637
2016-04-25,0.7745
2016-04-22,0.7828
2016-04-21,0.7951
2016-04-20,0.7885
2016-04-19,0.7910
2016-04-18,0.7831
2016-04-15,0.7910
2016-04-14,0.7795
2016-04-13,0.7424
2016-04-12,0.7393
2016-04-11,0.7256
2016-04-08,0.7362
2016-04-07,0.7280
2016-04-06,0.7367
2016-04-05,0.7221
2016-04-04,0.7282
2016-04-01,0.7439
2016-03-31,0.7311
2016-03-30,None
2016-03-29,None
2016-03-28,None
2016-03-24,None
2016-03-23,None
2016-03-22,None
2016-03-21,None
2016-03-18,None
2016-03-17,None
2016-03-16,None
2016-03-15,None
2016-03-14,None
2016-03-11,None
2016-03-10,None
2016-03-09,None
2016-03-08,None
2016-03-07,None
2016-03-04,None
2016-03-03,None
2016-03-02,None
2016-03-01,None
2016-02-29,None
2016-02-26,None
2016-02-25,None
2016-02-24,None
2016-02-23,None
2016-02-22,None
2016-02-19,None
2016-02-18,None
2016-02-17,None
2016-02-16,None
2016-02-12,None
2016-02-11,None
2016-02-10,None
2016-02-09,None
2016-02-08,None
2016-02-05,None
2016-02-04,None
2016-02-03,None
2016-02-02,None
2016-02-01,None
2016-01-29,None
2016-01-28,None
2016-01-27,None
2016-01-26,None
2016-01-25,None
2016-01-22,None
2016-01-21,None
2016-01-20,None
2016-01-19,None
2016-01-15,None
2016-01-14,None
2016-01-13,None
2016-01-12,None
2016-01-11,None
2016-01-08,None
2016-01-07,None
2016-01-06,None
2016-01-05,None
2016-01-04,None
2015-12-31,None
2015-12-30,None
2015-12-29,None
2015-12-28,None
2015-12-24,None
2015-12-23,None
2015-12-22,None
2015-12-21,None
2015-12-18,None
2015-12-17,None
2015-12-16,None
2015-12-15,None
2015-12-14,None
2015-12-11,None
2015-12-10,None
2015-12-09,None
2015-12-08,None
2015-12-07,None
2015-12-04,None
2015-12-03,None
2015-12-02,None
2015-12-01,None
2015-11-30,None
2015-11-27,None
2015-11-25,None
2015-11-24,None
2015-11-23,None
2015-11-20,None
2015-11-19,None
2015-11-18,None
2015-11-17,None
2015-11-16,None
2015-11-13,None
2015-11-12,None
2015-11-11,None
2015-11-10,None
2015-11-09,None
2015-11-06,None
2015-11-05,None
2015-11-04,None
2015-11-03,None
2015-11-02,None
2015-10-30,None
2015-10-29,None
2015-10-28,None
2015-10-27,None
2015-10-26,None
2015-10-23,None
2015-10-22,None
2015-10-21,None
2015-10-20,None
2015-10-19,None
2015-10-16,None
2015-10-15,None
2015-10-14,None
2015-10-13,None
2015-10-12,None
2015-10-09,None
2015-10-08,None
2015-10-07,None
2015-10-06,None
2015-10-05,None
2015-10-02,None
2015-10-01,None
2015-09-30,None
2015-09-29,None
2015-09-28,None
2015-09-25,None
2015-09-24,None
2015-09-23,None
2015-09-22,None
2015-09-21,None
2015-09-18,None
2015-09-17,None
2015-09-16,None
2015-09-15,None
2015-09-14,None
2015-09-11,None
2015-09-10,None
2015-09-09,None
2015-09-08,None
2015-09-04,None
2015-09-03,None
2015-09-02,None
2015-09-01,None
2015-08-31,None
2015-08-28,None
2015-08-27,None
2015-08-26,None
2015-08-25,None
2015-08-24,None
2015-08-21,None
2015-08-20,None
2015-08-19,None
2015-08-18,None
2015-08-17,None
2015-08-14,None
2015-08-13,None
2015-08-12,None
2015-08-11,None
2015-08-10,None
2015-08-07,None
2015-08-06,None
2015-08-05,None
2015-08-04,None
2015-08-03,None
2015-07-31,None
2015-07-30,None
2015-07-29,None
2015-07-28,None
2015-07-27,None
2015-07-24,None
2015-07-23,None
2015-07-22,None
2015-07-21,None
2015-07-20,None
2015-07-17,None
2015-07-16,None
2015-07-15,None
2015-07-14,None
2015-07-13,None
2015-07-10,None
2015-07-09,None
2015-07-08,None
2015-07-07,None
2015-07-06,None
2015-07-02,None
2015-07-01,None
2015-06-30,None
2015-06-29,None
2015-06-26,None
2015-06-25,None
2015-06-24,None
2015-06-23,None
2015-06-22,None
2015-06-19,None
2015-06-18,None
2015-06-17,None
2015-06-16,None
2015-06-15,None
2015-06-12,None
2015-06-11,None
2015-06-10,None
2015-06-09,None
2015-06-08,None
2015-06-05,None
2015-06-04,None
2015-06-03,None
2015-06-02,None
2015-06-01,None
2015-05-29,None
2015-05-28,None
2015-05-27,None
2015-05-26,None
2015-05-22,None
2015-05-21,None
2015-05-20,None
2015-05-19,None
2015-05-18,None
2015-05-15,None
2015-05-14,None
2015-05-13,None
2015-05-12,None
2015-05-11,None
2015-05-08,None
2015-05-07,None
2015-05-06,None
2015-05-05,None
2015-05-04,None
2015-05-01,None
2015-04-30,None
2015-04-29,None
2015-04-28,None
2015-04-27,None
2015-04-24,None
2015-04-23,None
2015-04-22,None
2015-04-21,None
2015-04-20,None
2015-04-17,None
2015-04-16,None
2015-04-15,None
2015-04-14,None
2015-04-13,None
2015-04-10,None
2015-04-09,None
2015-04-08,None
2015-04-07,None
2015-04-06,None
2015-04-02,None
2015-04-01,None
2015-03-31,None
2015-03-30,0.2025
2015-03-27,0.2005
2015-03-26,0.1958
2015-03-25,0.1945
2015-03-24,0.2024
2015-03-23,0.2002
2015-03-20,0.2006
2015-03-19,0.2037
2015-03-18,0.1994
2015-03-17,0.1960
2015-03-16,0.1971
2015-03-13,0.1953
2015-03-12,0.1963
2015-03-11,0.1930
2015-03-10,0.1925
2015-03-09,0.1940
2015-03-06,0.1947
2015-03-05,0.1963
2015-03-04,0.1938
2015-03-03,0.1938
2015-03-02,0.1994
2015-02-27,0.1961
2015-02-26,0.1963
2015-02-25,0.2221
2015-02-24,0.2199
2015-02-23,0.2201
2015-02-20,0.2164
2015-02-19,0.2171
2015-02-18,0.2172
2015-02-17,0.2083
2015-02-13,0.2029
2015-02-12,0.2037
2015-02-11,0.1995
2015-02-10,0.1963
2015-02-09,0.1942
2015-02-06,0.2005
2015-02-05,0.2008
2015-02-04,0.1936
2015-02-03,0.1950
2015-02-02,0.1950
2015-01-30,0.1925
2015-01-29,0.1990
2015-01-28,0.1949
2015-01-27,0.1967
2015-01-26,0.1956
2015-01-23,0.1945
2015-01-22,0.1945
2015-01-21,0.1950
2015-01-20,0.1983
2015-01-16,0.1963
2015-01-15,0.1881
2015-01-14,0.1910
2015-01-13,0.1910
2015-01-12,0.1946
2015-01-09,0.1950
2015-01-08,0.1947
2015-01-07,0.1892
2015-01-06,0.1853
2015-01-05,0.1935
2015-01-02,0.1953
2014-12-31,0.2001
2014-12-30,0.1819
2014-12-29,0.1804
2014-12-26,0.1768
2014-12-24,0.1733
2014-12-23,0.1700
2014-12-22,0.1738
2014-12-19,0.1727
2014-12-18,0.1738
2014-12-17,0.1727
2014-12-16,0.1659
2014-12-15,0.1644
2014-12-12,0.1697
