Period,Open,High,Low,Close,Volume
2016-11-30,46.590000,46.835000,45.930000,46.660000,108284
2016-11-29,46.050000,46.540000,45.700000,46.340000,97019
2016-11-28,46.670000,46.670000,45.640000,46.100000,119998
2016-11-25,46.660000,46.790000,46.174000,46.630000,39349
2016-11-23,46.300000,46.750000,45.770000,46.730000,77125
2016-11-22,46.190000,46.240000,45.515000,46.130000,90371
2016-11-21,45.220000,46.010000,45.220000,46.010000,61458
2016-11-18,45.050000,45.300000,44.760000,45.270000,83840
2016-11-17,44.560000,45.490000,44.560000,45.090000,72697
2016-11-16,43.940000,44.860000,43.710000,44.680000,144081
2016-11-15,44.510000,44.900000,43.750000,43.940000,156191
2016-11-14,45.920000,46.180000,44.300000,44.560000,169502
2016-11-11,45.320000,45.950000,44.630000,45.560000,176737
2016-11-10,44.240000,45.480000,43.570500,45.340000,214201
2016-11-09,42.790000,44.030000,42.740000,43.560000,173278
2016-11-08,43.930000,44.160000,43.040000,43.150000,85143
2016-11-07,42.530000,44.320000,41.980000,44.260000,182487
2016-11-04,41.400000,42.667800,41.400000,41.740000,136947
2016-11-03,42.230000,43.138000,41.375000,41.440000,73665
2016-11-02,43.670000,43.780000,42.290000,42.310000,89171
2016-11-01,44.270000,44.650000,43.545000,43.850000,83403
2016-10-31,43.020000,44.500000,42.390000,44.360000,120553
2016-10-28,43.820000,43.870000,42.090000,43.000000,109826
2016-10-27,44.150000,45.480000,43.000000,44.060000,259469
2016-10-26,42.880000,43.220000,42.400000,42.730000,108745
2016-10-25,43.970000,44.070000,43.100000,43.180000,62603
2016-10-24,43.790000,44.370000,43.520000,43.990000,57407
2016-10-21,43.900000,44.000000,43.320000,43.650000,72140
2016-10-20,43.990000,44.490000,43.270000,44.430000,118703
2016-10-19,45.040000,45.040000,44.020000,44.040000,61907
2016-10-18,45.240000,45.620000,44.713200,44.970000,70201
2016-10-17,44.290000,44.915000,44.100000,44.730000,90698
2016-10-14,45.420000,45.950000,44.490000,44.500000,241463
2016-10-13,46.250000,46.510000,45.260000,45.300000,140524
2016-10-12,46.800000,47.100000,46.250000,46.580000,52712
2016-10-11,47.850000,47.850000,46.250000,46.750000,59102
2016-10-10,48.140000,48.400000,47.770000,47.820000,45654
2016-10-07,48.070000,48.070000,47.130000,47.650000,47746
2016-10-06,47.820000,48.360000,47.410000,47.910000,68525
2016-10-05,46.930000,48.159900,46.780000,48.020000,121400
2016-10-04,47.500000,47.920000,46.600000,46.750000,54091
2016-10-03,47.450000,47.600000,46.850000,47.560000,95078
2016-09-30,46.370000,47.980000,45.890000,47.850000,236947
2016-09-29,46.760000,46.850000,45.890000,46.100000,69702
2016-09-28,46.700000,46.780000,45.890000,46.750000,53532
2016-09-27,45.850000,46.610000,45.470000,46.480000,88049
2016-09-26,46.550000,46.765000,45.780000,45.820000,101289
2016-09-23,47.690000,47.910000,46.620000,46.920000,113605
2016-09-22,48.140000,48.199900,47.520000,47.990000,128681
2016-09-21,47.540000,48.070000,46.840000,47.930000,142791
2016-09-20,47.760000,47.940000,47.520000,47.590000,42096
2016-09-19,47.150000,47.803200,47.085600,47.490000,65397
2016-09-16,47.340000,47.570000,47.010000,47.370000,133627
2016-09-15,46.790000,47.786000,46.220000,47.280000,62311
2016-09-14,47.070000,47.650000,46.690000,46.980000,73550
2016-09-13,46.650000,47.220000,46.260000,46.890000,102136
2016-09-12,45.460000,47.240000,45.250000,47.230000,118639
2016-09-09,46.990000,47.050000,45.860000,45.910000,121383
2016-09-08,48.310000,48.490000,47.250000,47.490000,85259
2016-09-07,48.340000,48.660000,47.900000,48.310000,121684
2016-09-06,47.960000,49.000000,47.960000,48.340000,106210
2016-09-02,48.000000,48.260000,47.555000,47.890000,90650
2016-09-01,47.400000,47.980000,46.640000,47.940000,105090
2016-08-31,47.400000,47.830000,46.990000,47.240000,94189
2016-08-30,47.880000,48.105000,47.300000,47.450000,74105
2016-08-29,48.080000,48.410000,47.880000,47.990000,91567
2016-08-26,48.650000,49.250000,48.160000,48.360000,90594
2016-08-25,49.010000,49.260000,48.500000,48.720000,64737
2016-08-24,49.600000,49.920000,48.900000,49.060000,97947
2016-08-23,49.890000,50.080000,49.650000,49.750000,82733
2016-08-22,49.530000,50.490000,49.110000,49.500000,137717
2016-08-19,49.560000,50.349900,49.280000,49.820000,161198
2016-08-18,48.650000,49.840000,48.560000,49.780000,138152
2016-08-17,49.550000,49.910000,48.151400,48.650000,106475
2016-08-16,49.320000,49.770000,49.260000,49.330000,112657
2016-08-15,49.230000,49.940000,49.230000,49.600000,109310
2016-08-12,48.600000,48.980000,48.440000,48.790000,138129
2016-08-11,48.310000,49.050000,48.310000,48.940000,103336
2016-08-10,48.150000,48.210000,47.650000,48.040000,83814
2016-08-09,47.330000,48.529900,47.310000,48.060000,149356
2016-08-08,48.830000,49.120000,47.300000,47.510000,163381
2016-08-05,48.150000,49.050000,48.150000,48.910000,125403
2016-08-04,47.960000,48.940000,47.920000,48.110000,118846
2016-08-03,49.200000,49.200000,47.820000,48.100000,175574
2016-08-02,50.600000,50.872800,48.520000,49.000000,233922
2016-08-01,50.300000,53.500000,50.300000,50.640000,433749
2016-07-29,49.110000,50.100000,49.090000,49.920000,240229
2016-07-28,53.300000,53.488900,48.740000,49.220000,380470
2016-07-27,51.880000,52.760000,51.690000,52.580000,117864
2016-07-26,51.920000,52.366800,51.650000,51.830000,107501
2016-07-25,52.300000,52.790000,51.620000,51.810000,92728
2016-07-22,52.330000,52.570000,51.880000,52.380000,66470
2016-07-21,52.240000,52.675000,52.040000,52.240000,86521
2016-07-20,52.320000,52.400000,52.020000,52.070000,83007
2016-07-19,52.050000,52.650000,52.020000,52.120000,94380
2016-07-18,52.660000,53.130000,52.100000,52.310000,111118
2016-07-15,52.980000,53.170000,52.400000,52.490000,62329
2016-07-14,53.090000,53.270000,52.500000,52.640000,102174
2016-07-13,53.060000,53.735800,52.670000,52.840000,66849
2016-07-12,53.250000,53.740000,52.810000,53.190000,73210
2016-07-11,53.650000,53.650000,52.680000,52.790000,96263
2016-07-08,52.700000,53.850000,52.465000,53.300000,78218
2016-07-07,53.220000,53.630000,52.070100,52.360000,151237
2016-07-06,53.610000,54.000000,52.918500,53.250000,202013
2016-07-05,54.280000,54.960000,53.370000,53.830000,202543
2016-07-01,53.560000,54.480000,53.300000,54.260000,122827
2016-06-30,52.440000,53.680000,52.060000,53.650000,148451
2016-06-29,51.440000,52.699900,51.360000,52.300000,150930
2016-06-28,50.740000,51.480000,50.520000,50.930000,177593
2016-06-27,50.370000,51.370000,50.140000,50.170000,260030
2016-06-24,48.980000,51.350000,48.370000,51.090000,235862
2016-06-23,50.500000,51.440000,50.500000,51.100000,91445
2016-06-22,50.100000,50.480000,49.850000,50.270000,155736
2016-06-21,49.700000,50.470000,49.540000,50.170000,83232
2016-06-20,49.790000,49.830000,49.290100,49.790000,95424
2016-06-17,50.070000,50.290000,49.000000,49.100000,236774
2016-06-16,49.490000,50.240000,49.087000,50.110000,93075
2016-06-15,49.850000,50.430000,49.640000,49.790000,133421
2016-06-14,49.370000,50.000000,49.045700,49.840000,117096
2016-06-13,49.150000,49.490000,48.940000,49.290000,119536
2016-06-10,48.460000,49.465000,48.460000,49.160000,97680
2016-06-09,48.390000,49.300000,48.304000,48.920000,105774
2016-06-08,47.800000,48.820000,47.530000,48.720000,124603
2016-06-07,47.790000,48.090000,47.155000,47.710000,86268
2016-06-06,47.720000,48.155000,47.150000,47.940000,101034
2016-06-03,47.540000,48.210000,47.090000,47.490000,108161
2016-06-02,47.230000,47.785000,47.050000,47.710000,95816
2016-06-01,47.080000,47.745000,46.510000,47.370000,138020
2016-05-31,47.620000,47.920000,46.790000,47.320000,131044
2016-05-27,46.740000,47.525000,46.545000,47.380000,84443
2016-05-26,47.000000,47.170000,46.520000,46.530000,61692
2016-05-25,47.000000,47.720000,46.790000,47.080000,104321
2016-05-24,46.080000,47.240000,45.860000,47.000000,140015
2016-05-23,46.000000,46.670000,45.551000,46.010000,139955
2016-05-20,45.240000,46.500000,45.210000,45.960000,156215
2016-05-19,45.350000,45.740000,44.760000,44.990000,124443
2016-05-18,44.810000,45.670000,44.810000,45.170000,108517
2016-05-17,44.870000,45.370000,44.500000,44.820000,202619
2016-05-16,43.930000,45.340000,43.520100,45.070000,189918
2016-05-13,43.660000,44.910000,43.480000,43.710000,195186
2016-05-12,44.930000,45.435000,42.910000,43.620000,266821
2016-05-11,44.870000,45.460000,44.760000,44.780000,182424
2016-05-10,44.390000,45.500000,44.390000,44.970000,178185
2016-05-09,44.170000,45.165000,43.600000,44.390000,174692
2016-05-06,43.980000,44.440000,43.402200,44.030000,202285
