Period,Price to Book Value
2016-11-30,3.1803
2016-11-29,3.1585
2016-11-28,3.1422
2016-11-25,3.1783
2016-11-23,3.1851
2016-11-22,3.1442
2016-11-21,3.1360
2016-11-18,3.0856
2016-11-17,3.0733
2016-11-16,3.0454
2016-11-15,2.9949
2016-11-14,3.0372
2016-11-11,3.1054
2016-11-10,3.0904
2016-11-09,2.9690
2016-11-08,2.9411
2016-11-07,3.0168
2016-11-04,2.8450
2016-11-03,2.8245
2016-11-02,2.8838
2016-11-01,2.9888
2016-10-31,3.0236
2016-10-28,2.9309
2016-10-27,3.0031
2016-10-26,2.9125
2016-10-25,2.9431
2016-10-24,2.9983
2016-10-21,2.9751
2016-10-20,3.0283
2016-10-19,3.0017
2016-10-18,3.0651
2016-10-17,3.0487
2016-10-14,3.0331
2016-10-13,3.0876
2016-10-12,3.1748
2016-10-11,3.1864
2016-10-10,3.2594
2016-10-07,3.2478
2016-10-06,3.2655
2016-10-05,3.2730
2016-10-04,3.1864
2016-10-03,3.2416
2016-09-30,3.2614
2016-09-29,3.3327
2016-09-28,3.3797
2016-09-27,3.3601
2016-09-26,3.3124
2016-09-23,3.3920
2016-09-22,3.4693
2016-09-21,3.4650
2016-09-20,3.4404
2016-09-19,3.4332
2016-09-16,3.4245
2016-09-15,3.4180
2016-09-14,3.3963
2016-09-13,3.3898
2016-09-12,3.4144
2016-09-09,3.3189
2016-09-08,3.4332
2016-09-07,3.4924
2016-09-06,3.4946
2016-09-02,3.4621
2016-09-01,3.4657
2016-08-31,3.4151
2016-08-30,3.4303
2016-08-29,3.4693
2016-08-26,3.4961
2016-08-25,3.5221
2016-08-24,3.5467
2016-08-23,3.5965
2016-08-22,3.5785
2016-08-19,3.6016
2016-08-18,3.5987
2016-08-17,3.5170
2016-08-16,3.5662
2016-08-15,3.5857
2016-08-12,3.5271
2016-08-11,3.5380
2016-08-10,3.4729
2016-08-09,3.4744
2016-08-08,3.4346
2016-08-05,3.5358
2016-08-04,3.4780
2016-08-03,3.4773
2016-08-02,3.5423
2016-08-01,3.6609
2016-07-29,3.6088
2016-07-28,3.5582
2016-07-27,3.8011
2016-07-26,3.7469
2016-07-25,3.7455
2016-07-22,3.7867
2016-07-21,3.7765
2016-07-20,3.7643
2016-07-19,3.7679
2016-07-18,3.7816
2016-07-15,3.7946
2016-07-14,3.8055
2016-07-13,3.8199
2016-07-12,3.8452
2016-07-11,3.8163
2016-07-08,3.8532
2016-07-07,3.7852
2016-07-06,3.8496
2016-07-05,3.8915
2016-07-01,3.9226
2016-06-30,3.8785
2016-06-29,3.8363
2016-06-28,3.7358
2016-06-27,3.6801
2016-06-24,3.7475
2016-06-23,3.7483
