,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
0,stocktwits,EML,0,0,0,0,0,0,1,2526,11/12/16,00:51.1
1,stocktwits,EML,0,0,0,0,0,0,1,2526,11/10/16,01:05.3
2,stocktwits,EML,0,0,0,0,0,0,3,2526,11/4/16,01:35.0
3,stocktwits,EML,1.7,0,1.7,1,0,0,5,2526,11/3/16,01:15.1
4,stocktwits,EML,0,0,0,0,0,0,1,2526,10/25/16,00:53.9
5,stocktwits,EML,0,0,0,0,0,0,1,2526,10/7/16,01:09.0
6,stocktwits,EML,2.5,0,2.5,1,0,0,1,2526,10/6/16,00:55.9
7,stocktwits,EML,0,0,0,0,0,0,1,2526,10/4/16,01:03.0
8,stocktwits,EML,1.9,0,1.9,3,0,0,4,2526,9/28/16,00:43.3
9,stocktwits,EML,0,1.1,-1.1,0,1,0,1,2526,9/27/16,01:00.1
10,stocktwits,EML,0,0,0,0,0,0,1,2526,9/25/16,00:50.1
11,stocktwits,EML,0,0,0,0,0,0,1,2526,9/18/16,01:08.8
12,stocktwits,EML,2.5,0,2.5,1,0,0,1,2526,9/14/16,01:02.4
13,stocktwits,EML,0,0,0,0,0,0,1,2526,8/24/16,01:12.7
14,stocktwits,EML,0,0,0,0,0,0,1,2526,8/15/16,01:28.5
15,stocktwits,EML,0,0,0,0,0,0,1,2526,8/12/16,01:28.7
16,stocktwits,EML,0,0,0,0,0,0,1,2526,8/10/16,01:27.7
17,stocktwits,EML,0,0,0,0,0,0,1,2526,8/4/16,01:23.1
18,stocktwits,EML,0,0,0,0,0,0,1,2526,8/1/16,01:22.6
19,stocktwits,EML,0.89,0,0.89,1,0,0,4,2526,7/29/16,01:22.4
20,stocktwits,EML,0,0,0,0,0,0,1,2526,7/26/16,01:24.3
21,stocktwits,EML,0,0,0,0,0,0,2,2526,7/25/16,01:22.6
22,stocktwits,EML,0,0,0,0,0,0,2,2526,7/20/16,01:27.3
23,stocktwits,EML,0,0,0,0,0,0,1,2526,7/5/16,01:29.5
24,stocktwits,EML,0,0,0,0,0,0,2,2526,7/1/16,01:29.6
25,stocktwits,EML,2.163333,0.7,1.463333,3,1,3,8,2526,6/30/16,01:29.3
26,stocktwits,EML,1.9,0,1.9,3,0,0,6,2526,6/29/16,01:29.7
27,stocktwits,EML,0,0,0,0,0,0,1,2526,6/21/16,01:08.7
28,stocktwits,EML,0,0,0,0,0,0,1,2526,6/13/16,01:11.8
29,stocktwits,EML,0,0,0,0,0,0,1,2526,6/12/16,01:10.3
30,stocktwits,EML,0,0,0,0,0,0,1,2526,6/7/16,01:32.3
31,stocktwits,EML,0,0,0,0,0,0,2,2526,6/6/16,01:10.1
32,stocktwits,EML,0,0,0,0,0,0,2,2526,5/31/16,01:01.3
33,stocktwits,EML,0,0,0,0,0,0,1,2526,5/20/16,00:58.2
34,stocktwits,EML,0,0,0,0,0,0,1,2526,5/17/16,00:59.6
35,stocktwits,EML,0,0,0,0,0,0,1,2526,5/16/16,01:16.6
36,stocktwits,EML,0.95,0,0.95,1,0,0,1,2526,5/15/16,01:16.1
37,stocktwits,EML,0,0,0,0,0,0,1,2526,5/14/16,00:56.6
38,stocktwits,EML,0,0,0,0,0,0,1,2526,5/13/16,00:59.0
39,stocktwits,EML,0,0,0,0,0,0,1,2526,5/8/16,00:57.3
40,stocktwits,EML,0,0,0,0,0,0,1,2526,5/5/16,00:58.0
41,stocktwits,EML,0,0,0,0,0,0,2,2526,5/4/16,00:57.2
42,stocktwits,EML,0.89,0,0.89,1,0,0,3,2526,5/2/16,00:57.2
43,stocktwits,EML,1.7,0,1.7,1,0,0,6,2526,4/29/16,00:57.2
44,stocktwits,EML,0,0,0,0,0,0,1,2526,4/26/16,00:57.5
45,stocktwits,EML,0,0,0,0,0,0,1,2526,4/19/16,00:57.6
46,stocktwits,EML,0,0,0,0,0,0,4,2526,4/15/16,00:57.0
47,stocktwits,EML,0,0,0,0,0,0,1,2526,4/8/16,00:56.7
48,stocktwits,EML,0,0,0,0,0,0,3,2526,4/7/16,00:54.7
49,stocktwits,EML,1.9,0,1.9,3,0,0,4,2526,4/4/16,00:56.1
50,stocktwits,EML,0,0,0,0,0,0,2,2526,3/24/16,00:55.7
51,stocktwits,EML,0,0,0,0,0,0,2,2526,3/18/16,00:57.4
52,stocktwits,EML,0,0,0,0,0,0,3,2526,3/15/16,00:59.5
53,stocktwits,EML,0.51,0,0.51,1,0,0,2,2526,3/14/16,01:17.0
54,stocktwits,EML,0,0,0,0,0,0,1,2526,3/7/16,00:56.9
55,stocktwits,EML,0,0.7,-0.7,0,1,0,2,2526,2/18/16,00:48.5
56,stocktwits,EML,0,2.79,-2.79,0,2,0,5,2526,2/16/16,00:47.7
57,stocktwits,EML,0.89,0,0.89,1,0,0,4,2526,2/12/16,00:47.8
58,stocktwits,EML,0,0,0,0,0,0,3,2526,2/5/16,00:47.6
59,stocktwits,EML,0,0,0,0,0,0,3,2526,1/20/16,00:49.4
60,stocktwits,EML,2.05,0,2.05,2,0,0,3,2526,1/19/16 0:00,01:27.0
61,stocktwits,EML,1.9,0,1.9,1,0,0,2,2526,1/15/16 0:00,01:09.6
62,stocktwits,EML,0,0,0,0,0,0,1,2526,1/14/16 0:00,00:46.8
63,stocktwits,EML,2.05,0,2.05,2,0,0,6,2526,1/13/16 0:00,00:48.6
64,stocktwits,EML,0,0,0,0,0,0,1,2526,1/8/16 5:00,00:00.0
65,stocktwits,EML,1.9,0,1.9,1,0,0,1,2526,1/4/16 5:00,00:00.0
66,stocktwits,EML,1.9,0,1.9,1,0,0,2,2526,12/30/15 5:00,00:00.0
