Period,PE Ratio (TTM)
2016-11-30,19.6789
2016-11-29,19.1743
2016-11-28,19.7248
2016-11-25,19.2661
2016-11-23,19.0367
2016-11-22,18.2110
2016-11-21,17.7064
2016-11-18,17.7982
2016-11-17,17.8899
2016-11-16,18.3486
2016-11-15,18.3028
2016-11-14,18.3028
2016-11-11,18.3486
2016-11-10,18.3372
2016-11-09,18.3028
2016-11-08,17.8440
2016-11-07,17.6491
2016-11-04,17.3394
2016-11-03,17.7215
2016-11-02,17.7523
2016-11-01,17.6606
2016-10-31,17.7982
2016-10-28,18.2110
2016-10-27,17.6606
2016-10-26,17.6606
2016-10-25,17.8899
2016-10-24,17.6606
2016-10-21,17.9092
2016-10-20,17.6330
2016-10-19,17.7064
2016-10-18,17.6615
2016-10-17,17.8440
2016-10-14,17.9285
2016-10-13,17.9266
2016-10-12,18.2569
2016-10-11,18.0734
2016-10-10,18.2385
2016-10-07,18.2385
2016-10-06,18.1009
2016-10-05,18.2291
2016-10-04,18.1376
2016-10-03,18.3761
2016-09-30,18.3624
2016-09-29,17.7500
2016-09-28,17.2411
2016-09-27,16.9777
2016-09-26,17.2321
2016-09-23,17.2321
2016-09-22,17.2679
2016-09-21,17.4018
2016-09-20,17.1920
2016-09-19,17.4911
2016-09-16,17.4107
2016-09-15,17.4375
2016-09-14,17.5714
2016-09-13,17.4911
2016-09-12,17.5268
2016-09-09,17.5536
2016-09-08,17.6161
2016-09-07,17.5268
2016-09-06,17.5089
2016-09-02,17.4018
2016-09-01,17.4107
2016-08-31,17.1429
2016-08-30,17.5089
2016-08-29,17.1875
2016-08-26,17.0536
2016-08-25,16.9107
2016-08-24,16.8929
2016-08-23,16.7947
2016-08-19,16.8304
2016-08-18,16.9636
2016-08-17,16.9464
2016-08-16,16.8482
2016-08-15,16.8304
2016-08-12,16.8839
2016-08-11,16.9532
2016-08-10,16.7768
2016-08-09,16.4911
2016-08-08,16.4732
2016-08-05,16.4196
2016-08-04,16.2589
2016-08-03,16.3125
2016-08-02,16.3125
2016-08-01,16.0625
2016-07-29,15.8288
2016-07-27,15.3118
2016-07-26,15.1964
2016-07-25,15.3482
2016-07-22,15.3571
2016-07-21,15.3571
2016-07-20,15.3482
2016-07-19,15.2054
2016-07-18,15.3125
2016-07-15,15.1485
2016-07-14,15.1787
2016-07-13,15.1786
2016-07-12,15.2232
2016-07-11,15.2054
2016-07-08,15.0089
2016-07-07,15.0357
2016-07-06,14.9196
2016-07-05,15.2054
2016-07-01,15.0804
2016-06-30,14.8036
2016-06-29,19.0568
2016-06-28,18.3295
2016-06-27,18.1477
2016-06-24,18.1830
2016-06-23,18.3750
2016-06-22,18.2727
2016-06-21,18.3977
2016-06-20,18.4091
2016-06-17,18.2500
2016-06-16,18.4091
2016-06-15,18.4091
2016-06-14,18.5210
2016-06-13,18.4432
2016-06-10,18.4886
2016-06-09,18.7727
2016-06-08,18.5682
2016-06-07,18.7614
2016-06-06,18.6136
2016-06-03,18.5341
2016-06-02,18.5227
2016-06-01,18.5455
2016-05-31,18.6591
2016-05-27,18.4659
2016-05-26,18.4659
2016-05-25,18.3636
2016-05-24,18.5795
2016-05-23,18.5795
2016-05-20,18.3182
2016-05-19,18.3636
2016-05-18,18.3523
2016-05-17,18.3295
2016-05-16,18.5227
2016-05-13,18.4545
2016-05-12,18.4205
2016-05-11,18.5568
2016-05-10,18.5795
2016-05-09,18.5568
2016-05-06,18.5795
2016-05-05,18.4545
2016-05-04,18.8068
2016-05-03,18.6364
2016-05-02,18.7500
2016-04-29,19.0227
2016-04-28,18.7443
2016-04-27,18.5227
2016-04-26,18.9090
2016-04-25,18.7045
2016-04-22,18.8409
2016-04-21,18.6250
2016-04-20,18.8068
2016-04-19,19.0795
2016-04-18,19.1364
2016-04-15,19.1250
2016-04-14,18.9659
2016-04-13,18.5455
2016-04-12,18.2841
2016-04-11,18.3750
2016-04-08,18.3750
2016-04-07,18.1818
2016-04-06,18.2841
2016-04-05,18.3295
2016-04-04,18.5682
2016-04-01,18.5909
2016-03-31,18.6591
2016-03-30,17.8696
2016-03-29,17.4022
2016-03-28,17.4130
2016-03-24,17.4891
2016-03-23,17.5000
2016-03-22,17.6522
2016-03-21,17.4565
2016-03-18,17.7174
2016-03-17,17.3913
2016-03-16,17.3913
2016-03-15,17.3913
2016-03-14,17.3804
2016-03-11,17.3913
2016-03-10,17.4891
2016-03-09,17.6087
2016-03-08,17.4565
2016-03-07,17.7609
2016-03-04,17.2935
2016-03-03,17.6739
2016-03-02,18.1304
2016-03-01,17.8043
2016-02-29,17.2174
2016-02-26,17.4022
2016-02-25,17.3370
2016-02-24,17.2717
2016-02-23,17.2609
2016-02-22,17.3587
2016-02-19,17.3152
2016-02-18,17.4185
2016-02-17,17.3804
2016-02-16,16.5652
2016-02-12,16.5761
2016-02-11,16.4674
2016-02-10,16.8261
2016-02-09,16.8043
2016-02-08,16.7391
2016-02-05,17.3152
2016-02-04,17.3696
2016-02-03,17.3696
2016-02-02,17.3913
2016-02-01,17.5543
2016-01-29,18.0543
2016-01-28,17.3370
2016-01-27,17.1630
2016-01-26,17.2174
2016-01-25,17.2065
2016-01-22,17.7500
2016-01-21,17.8043
2016-01-20,18.3587
2016-01-19,18.3902
2016-01-15,18.2717
2016-01-14,19.0435
2016-01-13,18.7717
2016-01-12,18.6304
2016-01-11,19.3152
2016-01-08,19.8261
2016-01-07,19.7282
2016-01-06,20.1739
2016-01-05,20.3804
2016-01-04,20.6299
2015-12-31,20.4348
2015-12-30,18.9536
2015-12-29,18.8454
2015-12-28,18.6289
2015-12-24,18.7113
2015-12-23,18.4433
2015-12-22,18.2268
2015-12-21,18.1712
2015-12-18,17.9381
2015-12-17,18.8040
2015-12-16,17.9897
2015-12-15,17.7835
2015-12-14,17.4845
2015-12-11,17.5155
2015-12-10,17.5876
2015-12-09,18.1238
2015-12-08,18.1856
2015-12-07,18.2887
2015-12-04,18.6753
2015-12-03,18.3711
2015-12-02,18.4021
2015-12-01,18.2371
2015-11-30,18.3814
2015-11-27,18.2784
2015-11-25,18.2985
2015-11-24,18.0928
2015-11-23,18.0928
2015-11-20,18.5876
2015-11-19,18.8134
2015-11-18,18.6495
2015-11-17,18.7320
2015-11-16,18.7423
2015-11-13,18.6598
2015-11-12,18.6701
2015-11-11,18.0826
2015-11-10,18.1856
2015-11-09,18.4432
2015-11-06,18.2887
2015-11-05,17.9794
2015-11-04,17.7010
2015-11-03,17.1856
2015-11-02,17.5155
2015-10-30,17.2887
2015-10-29,16.9485
2015-10-28,16.7388
2015-10-27,16.5361
2015-10-26,16.5773
2015-10-23,16.5320
2015-10-22,16.3711
2015-10-21,16.4742
2015-10-20,16.3299
2015-10-19,16.5258
2015-10-16,16.4021
2015-10-15,16.5155
2015-10-14,16.6392
2015-10-13,17.0619
2015-10-12,16.4845
2015-10-09,16.5052
2015-10-08,16.5361
2015-10-07,16.5464
2015-10-06,16.4948
2015-10-05,16.4763
2015-10-02,16.4639
2015-10-01,16.6186
2015-09-30,16.4948
2015-09-29,16.8421
2015-09-28,16.8842
2015-09-25,17.0505
2015-09-24,16.7579
2015-09-23,16.9263
2015-09-22,16.8526
2015-09-21,17.2105
2015-09-18,17.1368
2015-09-17,16.9368
2015-09-16,17.0421
2015-09-15,17.0632
2015-09-14,17.3158
2015-09-11,16.9158
2015-09-10,16.6632
2015-09-09,16.8421
2015-09-08,16.8211
2015-09-04,17.0000
2015-09-03,17.4526
2015-09-02,17.0947
2015-09-01,17.0737
2015-08-31,17.3262
2015-08-28,17.3368
2015-08-27,17.4421
2015-08-26,17.6211
2015-08-25,17.0948
2015-08-24,17.3368
2015-08-21,17.6947
2015-08-20,17.7053
2015-08-19,17.8737
2015-08-18,17.9579
2015-08-17,18.1684
2015-08-14,18.2000
2015-08-13,18.0737
2015-08-12,17.5895
2015-08-11,17.7789
2015-08-10,17.9053
2015-08-07,17.9263
2015-08-06,17.9263
2015-08-05,17.9579
2015-08-04,17.7158
2015-08-03,17.8842
2015-07-31,18.2947
2015-07-30,18.5368
2015-07-29,18.8105
2015-07-28,18.6526
2015-07-27,18.8526
2015-07-24,18.9053
2015-07-23,19.1368
2015-07-22,19.0316
2015-07-21,19.1579
2015-07-20,19.2947
2015-07-17,19.1789
2015-07-16,19.2211
2015-07-15,19.1474
2015-07-14,19.3158
2015-07-13,19.1316
2015-07-10,19.1684
2015-07-09,19.1579
2015-07-08,19.1158
2015-07-07,19.4526
2015-07-06,19.6105
2015-07-02,19.4000
2015-07-01,19.7789
2015-06-30,19.4947
2015-06-29,16.3628
2015-06-26,16.6372
2015-06-25,16.6460
2015-06-24,16.8584
2015-06-23,16.8673
2015-06-22,17.6106
2015-06-19,16.7434
2015-06-18,16.9381
2015-06-17,16.9912
2015-06-16,16.9558
2015-06-15,17.0619
2015-06-12,17.0442
2015-06-11,17.0265
2015-06-10,17.1416
2015-06-09,17.2832
2015-06-08,17.1504
2015-06-05,17.2832
2015-06-04,17.3363
2015-06-03,17.4425
2015-06-02,17.3009
2015-06-01,17.2522
2015-05-29,17.1239
2015-05-28,17.0885
2015-05-27,17.0088
2015-05-26,16.7257
2015-05-22,17.0265
2015-05-21,17.0796
2015-05-20,16.8142
2015-05-19,16.9469
2015-05-18,17.0885
2015-05-15,17.2301
2015-05-14,17.3982
2015-05-13,17.3009
2015-05-12,17.1947
2015-05-11,17.4159
2015-05-08,17.2389
2015-05-07,17.1416
2015-05-06,17.1681
2015-05-05,17.3982
2015-05-04,17.3540
2015-05-01,17.3805
2015-04-30,17.6637
2015-04-29,17.6991
2015-04-28,17.2655
2015-04-27,17.1239
2015-04-24,17.2124
2015-04-23,17.5664
2015-04-22,17.5044
2015-04-21,17.3451
2015-04-20,17.7699
2015-04-17,17.3805
2015-04-16,17.5841
2015-04-15,17.5137
2015-04-14,17.5398
2015-04-13,17.6637
2015-04-10,17.7345
2015-04-09,17.5929
2015-04-08,17.5664
2015-04-07,18.0177
2015-04-06,17.9204
2015-04-02,18.2035
2015-04-01,17.9823
2015-03-31,17.7522
2015-03-30,16.0325
2015-03-27,15.9797
2015-03-26,16.0488
2015-03-25,15.9268
2015-03-24,16.0488
2015-03-23,16.4553
2015-03-20,16.1626
2015-03-19,16.2520
2015-03-18,16.0894
2015-03-17,16.1789
2015-03-16,16.2683
2015-03-13,16.1301
2015-03-12,16.4309
2015-03-11,16.3984
2015-03-10,16.0894
2015-03-09,16.0325
2015-03-06,16.1789
2015-03-05,15.8862
2015-03-04,16.0325
2015-03-03,15.8618
2015-03-02,15.8699
2015-02-27,15.9756
2015-02-26,16.0732
2015-02-25,16.1382
2015-02-24,16.1134
2015-02-23,15.8130
2015-02-20,15.4675
2015-02-19,15.2602
2015-02-18,16.4065
2015-02-17,16.0406
2015-02-13,16.3984
2015-02-12,16.4146
2015-02-11,16.5935
2015-02-10,16.0569
2015-02-09,15.9675
2015-02-06,15.3821
2015-02-05,15.2683
2015-02-04,15.2439
2015-02-03,15.3618
2015-02-02,15.2276
2015-01-30,15.3821
2015-01-29,15.1707
2015-01-28,15.2764
2015-01-27,15.3089
2015-01-26,15.1789
2015-01-23,15.1382
2015-01-22,15.4228
2015-01-21,15.5610
2015-01-20,15.5772
2015-01-16,14.8439
2015-01-15,14.5854
2015-01-14,13.8862
2015-01-13,14.7073
2015-01-12,15.0732
2015-01-09,15.2683
2015-01-08,14.6423
2015-01-07,14.3333
2015-01-06,14.6260
2015-01-05,14.6341
2015-01-02,15.0325
2014-12-31,13.8780
2014-12-30,14.0165
2014-12-29,14.0083
2014-12-26,14.0165
2014-12-23,14.0496
2014-12-22,14.1322
2014-12-19,14.4215
2014-12-18,13.8926
2014-12-17,13.6405
2014-12-16,13.8347
2014-12-15,14.2231
2014-12-12,14.1736
2014-12-11,13.9504
2014-12-10,14.1818
2014-12-09,13.8182
2014-12-08,13.9680
2014-12-05,14.1736
2014-12-04,14.1818
2014-12-03,14.3636
2014-12-02,14.6281
2014-12-01,14.0149
2014-11-28,13.9008
2014-11-26,13.6447
2014-11-25,13.9587
2014-11-24,13.5207
2014-11-21,13.7190
2014-11-20,13.5372
2014-11-19,13.4868
2014-11-18,13.6364
2014-11-17,13.3802
2014-11-14,13.5950
2014-11-13,13.6364
2014-11-12,13.3802
2014-11-11,13.4132
2014-11-10,13.4050
2014-11-07,13.4298
2014-11-06,13.4298
2014-11-05,13.4463
2014-11-04,13.4545
2014-11-03,13.3884
2014-10-31,13.4876
2014-10-30,13.1736
2014-10-29,13.2645
2014-10-28,13.2314
2014-10-27,13.1818
2014-10-24,13.0331
2014-10-23,13.0496
2014-10-22,13.0496
2014-10-21,13.1736
2014-10-20,12.9504
2014-10-17,12.9256
2014-10-16,12.9917
2014-10-15,12.8843
2014-10-14,12.9256
2014-10-13,12.9752
2014-10-10,12.8678
2014-10-08,13.0413
2014-10-07,12.7603
2014-10-06,12.8678
2014-10-03,12.8182
2014-10-01,12.8926
2014-09-30,13.1901
2014-09-29,14.2703
2014-09-26,13.9459
2014-09-25,13.8198
2014-09-24,13.7658
2014-09-23,13.9550
2014-09-22,13.7477
2014-09-19,13.9640
2014-09-18,13.7207
2014-09-17,13.6937
2014-09-16,13.8288
2014-09-15,13.9820
2014-09-12,14.1171
2014-09-11,14.0360
2014-09-10,14.1261
2014-09-09,14.3153
2014-09-08,14.2917
2014-09-05,14.3964
2014-09-04,14.4805
2014-09-03,14.2432
2014-09-02,14.1892
2014-08-29,14.1982
2014-08-28,14.2162
2014-08-27,14.2252
2014-08-26,14.1982
2014-08-25,14.1351
2014-08-22,14.0270
2014-08-21,14.0811
2014-08-20,14.0360
2014-08-19,14.1622
2014-08-18,14.0901
2014-08-15,14.1892
2014-08-14,14.1171
2014-08-13,14.3063
2014-08-12,14.3063
2014-08-11,14.3604
2014-08-08,14.3964
2014-08-07,14.4414
2014-08-06,14.4324
2014-08-05,14.2793
2014-08-04,14.2523
2014-08-01,14.6126
2014-07-31,14.6306
2014-07-30,14.5586
2014-07-29,14.6667
2014-07-28,14.4595
2014-07-25,14.6306
2014-07-24,14.5586
2014-07-23,14.3243
2014-07-22,14.2252
2014-07-21,14.3694
2014-07-18,14.2793
2014-07-17,14.2703
2014-07-16,14.3604
2014-07-15,14.2793
2014-07-14,14.2342
2014-07-11,14.2432
2014-07-10,14.1441
2014-07-09,14.1982
2014-07-08,14.1171
2014-07-07,14.1261
2014-07-03,14.1802
2014-07-02,14.2162
2014-07-01,14.1982
2014-06-30,13.9099
2014-06-27,13.0168
2014-06-26,13.0420
2014-06-25,13.0000
2014-06-24,12.8824
2014-06-23,12.9328
2014-06-20,13.0084
2014-06-19,13.1008
2014-06-18,13.1513
2014-06-17,13.4454
2014-06-16,13.4286
2014-06-13,13.4454
2014-06-12,13.5378
2014-06-11,13.5714
2014-06-10,13.4034
2014-06-09,13.4370
2014-06-06,13.2437
2014-06-05,13.2437
2014-06-04,13.1681
2014-06-03,13.1933
2014-06-02,13.1765
2014-05-30,13.0168
2014-05-29,12.8824
2014-05-28,12.8571
2014-05-27,12.9412
2014-05-23,13.0672
2014-05-22,12.9328
2014-05-21,13.0672
2014-05-20,13.0840
2014-05-19,13.0588
2014-05-16,13.2353
2014-05-15,13.2689
2014-05-14,13.3950
2014-05-13,13.2353
2014-05-12,13.3361
2014-05-09,13.7815
2014-05-08,14.0504
2014-05-07,14.0588
2014-05-06,14.4286
2014-05-05,14.6050
2014-05-02,14.6050
2014-05-01,14.5294
2014-04-30,14.1933
2014-04-29,14.3446
2014-04-28,14.6975
2014-04-25,14.4118
2014-04-24,14.1597
2014-04-23,13.7899
2014-04-22,13.3697
2014-04-21,13.5042
2014-04-17,13.3697
2014-04-16,13.2605
2014-04-15,13.0756
2014-04-14,13.3529
2014-04-11,13.3866
2014-04-10,13.4202
2014-04-09,13.4202
2014-04-08,13.4034
2014-04-07,13.4034
2014-04-04,13.5630
2014-04-03,13.7647
2014-04-02,13.5126
2014-04-01,13.4538
2014-03-31,13.6387
2014-03-28,14.3874
2014-03-27,14.4685
2014-03-26,14.4955
2014-03-25,14.3514
2014-03-24,14.3423
2014-03-21,14.1892
2014-03-20,14.5676
2014-03-19,14.9640
2014-03-18,15.1081
2014-03-17,15.1622
2014-03-14,14.7658
2014-03-13,14.6757
2014-03-12,14.6486
2014-03-11,14.7477
2014-03-10,14.6306
2014-03-07,14.5315
