Period,PEG Ratio (TTM)
2016-11-30,1.5907
2016-11-29,1.5499
2016-11-28,1.5944
2016-11-25,1.5573
2016-11-23,1.5388
2016-11-22,1.4721
2016-11-21,1.4313
2016-11-18,1.4387
2016-11-17,1.4461
2016-11-16,1.4832
2016-11-15,1.4795
2016-11-14,1.4795
2016-11-11,1.4832
2016-11-10,1.4823
2016-11-09,1.4795
2016-11-08,1.4424
2016-11-07,1.4266
2016-11-04,1.4016
2016-11-03,1.4325
2016-11-02,1.4350
2016-11-01,1.4276
2016-10-31,1.4387
2016-10-28,1.4721
2016-10-27,1.4276
2016-10-26,1.4276
2016-10-25,1.4461
2016-10-24,1.4276
2016-10-21,1.4477
2016-10-20,1.4253
2016-10-19,1.4313
2016-10-18,1.4276
2016-10-17,1.4424
2016-10-14,1.4492
2016-10-13,1.4491
2016-10-12,1.4758
2016-10-11,1.4609
2016-10-10,1.4743
2016-10-07,1.4743
2016-10-06,1.4632
2016-10-05,1.4735
2016-10-04,1.4661
2016-10-03,1.4854
2016-09-30,1.4843
2016-09-29,0.9919
2016-09-28,0.9635
2016-09-27,0.9488
2016-09-26,0.9630
2016-09-23,0.9630
2016-09-22,0.9650
2016-09-21,0.9725
2016-09-20,0.9607
2016-09-19,0.9774
2016-09-16,0.9730
2016-09-15,0.9744
2016-09-14,0.9819
2016-09-13,0.9774
2016-09-12,0.9794
2016-09-09,0.9809
2016-09-08,0.9844
2016-09-07,0.9794
2016-09-06,0.9784
2016-09-02,0.9725
2016-09-01,0.9730
2016-08-31,0.9580
2016-08-30,0.9784
2016-08-29,0.9605
2016-08-26,0.9530
2016-08-25,0.9450
2016-08-24,0.9440
2016-08-23,0.9385
2016-08-19,0.9405
2016-08-18,0.9480
2016-08-17,0.9470
2016-08-16,0.9415
2016-08-15,0.9405
2016-08-12,0.9435
2016-08-11,0.9474
2016-08-10,0.9375
2016-08-09,0.9216
2016-08-08,0.9206
2016-08-05,0.9176
2016-08-04,0.9086
2016-08-03,0.9116
2016-08-02,0.9116
2016-08-01,0.8976
2016-07-29,0.8846
2016-07-27,0.8557
2016-07-26,0.8492
2016-07-25,0.8577
2016-07-22,0.8582
2016-07-21,0.8582
2016-07-20,0.8577
2016-07-19,0.8497
2016-07-18,0.8557
2016-07-15,0.8465
2016-07-14,0.8482
2016-07-13,0.8482
2016-07-12,0.8507
2016-07-11,0.8497
2016-07-08,0.8387
2016-07-07,0.8402
2016-07-06,0.8337
2016-07-05,0.8497
2016-07-01,0.8427
2016-06-30,0.8273
2016-06-29,None
2016-06-28,None
2016-06-27,None
2016-06-24,None
2016-06-23,None
2016-06-22,None
2016-06-21,None
2016-06-20,None
2016-06-17,None
2016-06-16,None
2016-06-15,None
2016-06-14,None
2016-06-13,None
2016-06-10,None
2016-06-09,None
2016-06-08,None
2016-06-07,None
2016-06-06,None
2016-06-03,None
2016-06-02,None
2016-06-01,None
2016-05-31,None
2016-05-27,None
2016-05-26,None
2016-05-25,None
2016-05-24,None
2016-05-23,None
2016-05-20,None
2016-05-19,None
2016-05-18,None
2016-05-17,None
2016-05-16,None
2016-05-13,None
2016-05-12,None
2016-05-11,None
2016-05-10,None
2016-05-09,None
2016-05-06,None
2016-05-05,None
2016-05-04,None
2016-05-03,None
2016-05-02,None
2016-04-29,None
2016-04-28,None
2016-04-27,None
2016-04-26,None
2016-04-25,None
2016-04-22,None
2016-04-21,None
2016-04-20,None
2016-04-19,None
2016-04-18,None
2016-04-15,None
2016-04-14,None
2016-04-13,None
2016-04-12,None
2016-04-11,None
2016-04-08,None
2016-04-07,None
2016-04-06,None
2016-04-05,None
2016-04-04,None
2016-04-01,None
2016-03-31,None
2016-03-30,None
2016-03-29,None
2016-03-28,None
2016-03-24,None
2016-03-23,None
2016-03-22,None
2016-03-21,None
2016-03-18,None
2016-03-17,None
2016-03-16,None
2016-03-15,None
