Period,Open,High,Low,Close,Volume
2016-11-30,20.900000,21.450000,20.750000,21.450000,10240
2016-11-29,20.649000,20.900000,20.050000,20.900000,1639
2016-11-28,21.500000,21.500000,21.000000,21.500000,4176
2016-11-25,21.000000,21.350000,20.284000,21.000000,7068
2016-11-23,19.879300,21.100000,19.816400,20.750000,17536
2016-11-22,19.450000,19.900000,19.200000,19.850000,8836
2016-11-21,19.250000,19.500000,19.250000,19.300000,4118
2016-11-18,19.500000,19.700000,19.250000,19.400000,11172
2016-11-17,20.110000,20.250000,19.250000,19.500000,6574
2016-11-16,20.950000,20.950000,19.950000,20.000000,630
2016-11-15,19.925200,20.050000,19.900000,19.950000,5164
2016-11-14,20.000000,20.000000,19.950000,19.950000,2372
2016-11-11,20.251000,20.300000,20.000000,20.000000,1920
2016-11-10,20.001000,20.100000,19.950000,19.987500,4063
2016-11-09,19.750000,20.050000,19.750000,19.950000,17063
2016-11-08,19.250000,19.450000,19.250000,19.450000,485
2016-11-07,19.200000,19.250000,18.900000,19.237500,14633
2016-11-04,19.466000,19.466000,18.900000,18.900000,5819
2016-11-03,19.250000,19.316400,19.250000,19.316400,985
2016-11-02,19.370000,19.550000,19.350000,19.350000,527
2016-11-01,19.350000,19.450000,19.250000,19.250000,3130
2016-10-31,19.150000,19.900000,19.100800,19.400000,3318
2016-10-28,19.900000,19.900000,19.250000,19.850000,10982
2016-10-27,19.490000,19.500000,19.250000,19.250000,1705
2016-10-26,19.301000,19.350000,19.250000,19.250000,2126
2016-10-25,19.257600,19.500000,19.000000,19.500000,6576
2016-10-24,19.540000,19.540000,19.250000,19.250100,1287
2016-10-21,19.550000,19.550000,19.250000,19.521000,3936
2016-10-20,19.550000,19.550000,19.220000,19.220000,857
2016-10-19,19.279900,19.382800,19.250000,19.300000,3018
2016-10-18,19.700000,19.700000,19.250000,19.251000,3296
2016-10-17,19.375000,19.450000,19.300000,19.450000,804
2016-10-14,19.619000,19.619800,19.540000,19.542100,1818
2016-10-13,19.730000,19.923500,19.540000,19.540000,1697
2016-10-12,19.750000,19.999500,19.750000,19.900000,923
2016-10-11,19.739400,19.900000,19.700000,19.700000,2963
2016-10-10,19.980000,19.980000,19.880000,19.880000,2742
2016-10-07,19.910000,19.910000,19.880000,19.880000,330
2016-10-06,19.730000,19.730000,19.730000,19.730000,127
2016-10-05,19.940000,19.980000,19.869700,19.869700,538
2016-10-04,20.220000,20.220000,19.690000,19.770000,2346
2016-10-03,19.970000,20.030000,19.960000,20.030000,1569
2016-09-30,19.860000,20.120000,19.780000,20.015000,10743
2016-09-29,19.490000,19.880000,19.490000,19.880000,9378
2016-09-28,19.250000,19.450000,19.200000,19.310000,20683
2016-09-27,19.240000,19.320000,18.780000,19.015000,11280
2016-09-26,19.300000,19.300000,19.300000,19.300000,139
2016-09-23,19.385000,19.390000,19.280000,19.300000,1007
2016-09-22,19.360000,19.490000,19.320000,19.340000,2763
2016-09-21,19.349200,19.500000,19.250000,19.490000,8197
2016-09-20,19.500000,19.500000,19.250000,19.255000,16058
2016-09-19,19.500000,19.700000,19.421000,19.590000,9401
2016-09-16,19.520000,19.650000,19.500000,19.500000,5070
2016-09-15,19.632500,19.632500,19.500000,19.530000,9328
2016-09-14,19.520000,19.690000,19.520000,19.680000,1812
2016-09-13,19.600000,19.700000,19.510000,19.590000,7447
2016-09-12,19.563000,19.750000,19.560000,19.630000,2286
2016-09-09,19.690000,19.690000,19.570100,19.660000,2302
2016-09-08,19.700000,19.740000,19.700000,19.730000,686
2016-09-07,19.620000,19.740000,19.600000,19.630000,8090
2016-09-06,19.490000,19.690000,19.490000,19.610000,2158
2016-09-02,19.470000,19.490000,19.420000,19.490000,1131
2016-09-01,19.200000,19.740000,19.200000,19.500000,3451
2016-08-31,19.288300,19.487700,18.920000,19.200000,11806
2016-08-30,19.250000,19.840000,19.250000,19.610000,5311
2016-08-29,19.150000,19.474000,18.930000,19.250000,15413
2016-08-26,18.940000,19.265000,18.940000,19.100000,3652
2016-08-25,18.938400,19.249800,18.930000,18.940000,10340
2016-08-24,19.000000,19.000000,18.920000,18.920100,3228
2016-08-23,18.960000,19.000000,18.810100,18.810100,2829
2016-08-19,18.810000,18.950000,18.790000,18.850000,15477
2016-08-18,18.927900,19.000000,18.900000,18.999200,1153
2016-08-17,18.820000,19.000000,18.820000,18.980000,4679
2016-08-16,18.481800,18.870000,18.481800,18.870000,1299
2016-08-15,18.850000,18.850000,18.850000,18.850000,628
2016-08-12,18.560000,18.910000,18.530000,18.910000,1812
2016-08-11,18.769500,19.000000,18.500000,18.987600,15479
2016-08-10,18.480000,19.030000,18.480000,18.790000,23201
2016-08-09,18.400000,18.470000,18.360000,18.470000,2910
2016-08-08,18.350000,18.480000,18.180000,18.450000,3238
2016-08-05,18.379000,18.400000,18.100000,18.390000,1428
2016-08-04,18.440000,18.500000,18.070000,18.210000,16806
2016-08-03,18.010000,18.450000,18.010000,18.270000,1571
2016-08-02,18.020000,18.600000,18.020000,18.270000,2677
2016-08-01,17.670000,18.900000,17.590000,17.990000,12929
2016-07-29,17.250000,17.850000,17.075000,17.728300,18981
2016-07-27,17.070000,17.167400,17.070000,17.149200,1207
2016-07-26,16.761000,17.190000,16.761000,17.020000,787
2016-07-25,17.080000,17.190000,16.990000,17.190000,2793
2016-07-22,17.190000,17.250000,17.000000,17.200000,7854
2016-07-21,17.199900,17.199900,17.199900,17.199900,206
2016-07-20,16.930100,17.190000,16.930100,17.190000,407
2016-07-19,17.123800,17.123800,16.920000,17.030000,8781
2016-07-18,17.170000,17.199000,17.150000,17.150000,1120
2016-07-15,16.834500,17.150000,16.800000,16.966300,1672
2016-07-14,16.980000,17.170000,16.980000,17.000100,2489
2016-07-13,17.125100,17.125100,16.856200,17.000000,4503
