Period,Price to Book Value
2016-11-30,1.6439
2016-11-29,1.6018
2016-11-28,1.6477
2016-11-25,1.6094
2016-11-23,1.5903
2016-11-22,1.5213
2016-11-21,1.4791
2016-11-18,1.4868
2016-11-17,1.4945
2016-11-16,1.5328
2016-11-15,1.5290
2016-11-14,1.5290
2016-11-11,1.5328
2016-11-10,1.5318
2016-11-09,1.5290
2016-11-08,1.4906
2016-11-07,1.4743
2016-11-04,1.4485
2016-11-03,1.4804
2016-11-02,1.4830
2016-11-01,1.4753
2016-10-31,1.4868
2016-10-28,1.5213
2016-10-27,1.4753
2016-10-26,1.4753
2016-10-25,1.4945
2016-10-24,1.4753
2016-10-21,1.4961
2016-10-20,1.4730
2016-10-19,1.4791
2016-10-18,1.4754
2016-10-17,1.4906
2016-10-14,1.4977
2016-10-13,1.4975
2016-10-12,1.5251
2016-10-11,1.5098
2016-10-10,1.5236
2016-10-07,1.5236
2016-10-06,1.5121
2016-10-05,1.5228
2016-10-04,1.5152
2016-10-03,1.5351
2016-09-30,1.5339
2016-09-29,1.5562
2016-09-28,1.5116
2016-09-27,1.4885
2016-09-26,1.5108
2016-09-23,1.5108
2016-09-22,1.5139
2016-09-21,1.5257
2016-09-20,1.5073
2016-09-19,1.5335
2016-09-16,1.5265
2016-09-15,1.5288
2016-09-14,1.5406
2016-09-13,1.5335
2016-09-12,1.5366
2016-09-09,1.5390
2016-09-08,1.5445
2016-09-07,1.5366
2016-09-06,1.5351
2016-09-02,1.5257
2016-09-01,1.5265
2016-08-31,1.5030
2016-08-30,1.5351
2016-08-29,1.5069
2016-08-26,1.4952
2016-08-25,1.4826
2016-08-24,1.4811
2016-08-23,1.4725
2016-08-19,1.4756
2016-08-18,1.4873
2016-08-17,1.4858
2016-08-16,1.4772
2016-08-15,1.4756
2016-08-12,1.4803
2016-08-11,1.4864
2016-08-10,1.4709
2016-08-09,1.4458
2016-08-08,1.4443
2016-08-05,1.4396
2016-08-04,1.4255
2016-08-03,1.4302
2016-08-02,1.4302
2016-08-01,1.4083
2016-07-29,1.3878
2016-07-27,1.3424
2016-07-26,1.3323
2016-07-25,1.3456
2016-07-22,1.3464
2016-07-21,1.3464
2016-07-20,1.3456
2016-07-19,1.3331
2016-07-18,1.3425
2016-07-15,1.3281
2016-07-14,1.3308
2016-07-13,1.3308
2016-07-12,1.3347
2016-07-11,1.3331
2016-07-08,1.3159
2016-07-07,1.3182
2016-07-06,1.3081
2016-07-05,1.3331
2016-07-01,1.3217
2016-06-30,1.2974
2016-06-29,1.3101
2016-06-28,1.2601
2016-06-27,1.2476
2016-06-24,1.2500
2016-06-23,1.2632
2016-06-22,1.2562
2016-06-21,1.2648
2016-06-20,1.2655
2016-06-17,1.2546
2016-06-16,1.2655
2016-06-15,1.2655
2016-06-14,1.2732
2016-06-13,1.2679
2016-06-10,1.2710
2016-06-09,1.2905
2016-06-08,1.2765
2016-06-07,1.2898
2016-06-06,1.2796
2016-06-03,1.2741
2016-06-02,1.2734
2016-06-01,1.2749
2016-05-31,1.2827
2016-05-27,1.2695
2016-05-26,1.2695
2016-05-25,1.2624
2016-05-24,1.2773
2016-05-23,1.2773
2016-05-20,1.2593
2016-05-19,1.2624
2016-05-18,1.2616
2016-05-17,1.2601
2016-05-16,1.2734
2016-05-13,1.2687
2016-05-12,1.2663
2016-05-11,1.2757
2016-05-10,1.2773
2016-05-09,1.2757
2016-05-06,1.2773
2016-05-05,1.2687
2016-05-04,1.2929
2016-05-03,1.2812
2016-05-02,1.2890
2016-04-29,1.3077
2016-04-28,1.2886
2016-04-27,1.2734
2016-04-26,1.2999
2016-04-25,1.2859
2016-04-22,1.2952
2016-04-21,1.2804
2016-04-20,1.2929
2016-04-19,1.3116
2016-04-18,1.3155
2016-04-15,1.3148
2016-04-14,1.3038
2016-04-13,1.2749
2016-04-12,1.2570
2016-04-11,1.2632
2016-04-08,1.2632
2016-04-07,1.2499
2016-04-06,1.2570
2016-04-05,1.2601
2016-04-04,1.2765
2016-04-01,1.2775
2016-03-31,1.2822
2016-03-30,1.2935
2016-03-29,1.2597
2016-03-28,1.2605
2016-03-24,1.2660
2016-03-23,1.2668
2016-03-22,1.2778
2016-03-21,1.2636
2016-03-18,1.2825
2016-03-17,1.2589
2016-03-16,1.2589
2016-03-15,1.2589
2016-03-14,1.2581
2016-03-11,1.2589
2016-03-10,1.2660
2016-03-09,1.2746
2016-03-08,1.2636
2016-03-07,1.2857
2016-03-04,1.2518
2016-03-03,1.2794
2016-03-02,1.3124
2016-03-01,1.2888
2016-02-29,1.2463
2016-02-26,1.2597
2016-02-25,1.2550
2016-02-24,1.2502
2016-02-23,1.2495
2016-02-22,1.2565
2016-02-19,1.2534
2016-02-18,1.2609
2016-02-17,1.2581
2016-02-16,1.1991
2016-02-12,1.1999
2016-02-11,1.1920
2016-02-10,1.2180
2016-02-09,1.2164
2016-02-08,1.2117
2016-02-05,1.2534
2016-02-04,1.2573
2016-02-03,1.2573
2016-02-02,1.2589
2016-02-01,1.2707
2016-01-29,1.3069
2016-01-28,1.2550
2016-01-27,1.2424
2016-01-26,1.2463
2016-01-25,1.2455
2016-01-22,1.2849
2016-01-21,1.2888
2016-01-20,1.3289
2016-01-19,1.3312
2016-01-15,1.3226
2016-01-14,1.3785
2016-01-13,1.3588
2016-01-12,1.3486
2016-01-11,1.3982
2016-01-08,1.4351
