,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
0,stocktwits,PVTB,2.46,0,2.46,1,0,0,1,20273,11/28/16,00:53.5
1,stocktwits,PVTB,0,0,0,0,0,0,3,20273,11/23/16,01:19.0
2,stocktwits,PVTB,0,0,0,0,0,0,2,20273,11/22/16,00:54.7
3,stocktwits,PVTB,0,0,0,0,0,0,1,20273,11/19/16,01:09.3
4,stocktwits,PVTB,1.9,0,1.9,1,0,0,1,20273,11/17/16,01:07.5
5,stocktwits,PVTB,0,0,0,0,0,0,1,20273,11/15/16,00:55.3
6,stocktwits,PVTB,0,0,0,0,0,0,2,20273,11/9/16,00:50.9
7,stocktwits,PVTB,0,0,0,0,0,0,1,20273,11/8/16,00:53.4
8,stocktwits,PVTB,0,0,0,0,0,0,2,20273,11/4/16,01:35.0
9,stocktwits,PVTB,0,0,0,0,0,0,1,20273,11/3/16,01:15.1
10,stocktwits,PVTB,0,0,0,0,0,0,2,20273,10/31/16,00:54.0
11,stocktwits,PVTB,0,0,0,0,0,0,1,20273,10/30/16,00:53.6
12,stocktwits,PVTB,0,0,0,0,0,0,1,20273,10/28/16,01:22.7
13,stocktwits,PVTB,0,0,0,0,0,0,1,20273,10/27/16,01:29.0
14,stocktwits,PVTB,2.05,0,2.05,1,0,0,1,20273,10/26/16,00:47.7
15,stocktwits,PVTB,0,1.39,-1.39,0,2,0,2,20273,10/21/16,01:11.6
16,stocktwits,PVTB,0,0,0,0,0,0,6,20273,10/20/16,01:16.0
17,stocktwits,PVTB,1.9,0,1.9,1,0,0,3,20273,10/19/16,01:25.5
18,stocktwits,PVTB,0,0,0,0,0,0,1,20273,10/13/16,01:16.6
19,stocktwits,PVTB,0,0,0,0,0,0,1,20273,10/10/16,01:01.4
20,stocktwits,PVTB,0,0,0,0,0,0,1,20273,10/9/16,01:07.9
21,stocktwits,PVTB,0,0,0,0,0,0,4,20273,10/4/16,01:03.0
22,stocktwits,PVTB,1.9,0,1.9,1,0,0,1,20273,10/1/16,00:48.0
23,stocktwits,PVTB,0,0,0,0,0,0,1,20273,9/30/16,00:46.8
24,stocktwits,PVTB,1.9,0,1.9,1,0,0,1,20273,9/23/16,00:47.3
25,stocktwits,PVTB,0,0,0,0,0,0,1,20273,9/21/16,01:16.0
26,stocktwits,PVTB,0,2.7,-2.7,0,1,0,1,20273,9/20/16,01:12.3
27,stocktwits,PVTB,0,0,0,0,0,0,3,20273,9/14/16,01:02.4
28,stocktwits,PVTB,0,0,0,0,0,0,1,20273,9/13/16,00:49.7
29,stocktwits,PVTB,0,0,0,0,0,0,2,20273,9/12/16,01:16.3
30,stocktwits,PVTB,0,2.475,-2.475,0,2,0,2,20273,9/7/16,01:11.5
31,stocktwits,PVTB,0,0,0,0,0,0,1,20273,9/6/16,01:28.2
32,stocktwits,PVTB,0,0,0,0,0,0,1,20273,9/5/16,01:10.3
33,stocktwits,PVTB,0,0,0,0,0,0,1,20273,9/4/16,01:09.7
34,stocktwits,PVTB,0,0,0,0,0,0,2,20273,9/2/16,01:21.9
35,stocktwits,PVTB,0,0,0,0,0,0,2,20273,8/31/16,01:13.0
36,stocktwits,PVTB,0,0,0,0,0,0,2,20273,8/28/16,01:13.6
37,stocktwits,PVTB,1.89,0,1.89,1,0,0,4,20273,8/27/16,01:17.7
38,stocktwits,PVTB,0,0,0,0,0,0,1,20273,8/25/16,01:12.0
39,stocktwits,PVTB,0,0,0,0,0,0,2,20273,8/24/16,01:12.7
40,stocktwits,PVTB,0,0,0,0,0,0,2,20273,8/23/16,01:13.5
41,stocktwits,PVTB,1.295,0,1.295,2,0,0,5,20273,8/22/16,01:28.5
42,stocktwits,PVTB,0,0,0,0,0,0,1,20273,8/20/16,01:18.5
43,stocktwits,PVTB,0,0,0,0,0,0,1,20273,8/19/16,01:14.6
44,stocktwits,PVTB,0,0,0,0,0,0,2,20273,8/18/16,01:32.3
45,stocktwits,PVTB,0,0,0,0,0,0,1,20273,8/14/16,01:12.9
46,stocktwits,PVTB,0,0,0,0,0,0,1,20273,8/10/16,01:27.7
47,stocktwits,PVTB,0,0,0,0,0,0,1,20273,8/9/16,01:27.2
48,stocktwits,PVTB,0,0,0,0,0,0,2,20273,8/8/16,01:26.5
49,stocktwits,PVTB,0,0,0,0,0,0,2,20273,8/6/16,01:21.7
50,stocktwits,PVTB,1.9,0,1.9,1,0,0,3,20273,8/2/16,01:23.6
51,stocktwits,PVTB,0,0,0,0,0,0,1,20273,7/28/16,01:22.2
52,stocktwits,PVTB,0,0,0,0,0,0,2,20273,7/27/16,01:24.1
53,stocktwits,PVTB,0,0,0,0,0,0,4,20273,7/25/16,01:22.6
54,stocktwits,PVTB,0,0,0,0,0,0,1,20273,7/22/16,01:28.3
55,stocktwits,PVTB,0,0,0,0,0,0,3,20273,7/21/16,01:29.1
56,stocktwits,PVTB,0,0,0,0,0,0,3,20273,7/20/16,01:27.3
57,stocktwits,PVTB,0,0,0,0,0,0,1,20273,7/17/16,01:03.9
58,stocktwits,PVTB,0,0,0,0,0,0,2,20273,7/14/16,01:28.1
59,stocktwits,PVTB,0,0,0,0,0,0,1,20273,7/13/16,01:25.8
60,stocktwits,PVTB,0.51,0,0.51,1,0,0,3,20273,7/6/16,01:26.5
61,stocktwits,PVTB,0,0,0,0,0,0,4,20273,7/5/16,01:29.5
62,stocktwits,PVTB,0,0,0,0,0,0,3,20273,7/3/16,01:27.8
63,stocktwits,PVTB,0,0,0,0,0,0,1,20273,7/1/16,01:29.6
64,stocktwits,PVTB,0,1.8,-1.8,0,2,0,13,20273,6/30/16,01:29.3
