Period,PE Ratio (TTM)
2016-11-30,18.7871
2016-11-29,18.8594
2016-11-28,18.7952
2016-11-25,18.7992
2016-11-23,18.7510
2016-11-22,18.7390
2016-11-21,18.7430
2016-11-18,18.5703
2016-11-17,18.5221
2016-11-16,18.5221
2016-11-15,18.5261
2016-11-14,18.3976
2016-11-11,18.3133
2016-11-10,18.3775
2016-11-09,18.3333
2016-11-08,18.1687
2016-11-07,18.1124
2016-11-04,17.8715
2016-11-03,17.8735
2016-11-02,17.8112
2016-11-01,18.0321
2016-10-31,18.1687
2016-10-28,18.2369
2016-10-27,18.2450
2016-10-26,18.2088
2016-10-25,18.2129
2016-10-24,18.1847
2016-10-21,18.2610
2016-10-20,18.3534
2016-10-19,18.4900
2016-10-18,18.4900
2016-10-17,18.3373
2016-10-14,18.3293
2016-10-13,18.3012
2016-10-12,18.2088
2016-10-11,18.1606
2016-10-10,18.2410
2016-10-07,18.1486
2016-10-06,18.1727
2016-10-05,18.2410
2016-10-04,18.2691
2016-10-03,18.3655
2016-09-30,18.4418
2016-09-29,18.4919
2016-09-28,18.6667
2016-09-27,18.4512
2016-09-26,18.3821
2016-09-23,18.5081
2016-09-22,18.6911
2016-09-21,18.5772
2016-09-20,18.3049
2016-09-19,18.2886
2016-09-16,18.1911
2016-09-15,18.4228
2016-09-14,18.3374
2016-09-13,18.3821
2016-09-12,18.5894
2016-09-09,18.5772
2016-09-08,18.8130
2016-09-07,18.8740
2016-09-06,18.9228
2016-09-02,18.8577
2016-09-01,18.7480
2016-08-31,18.6789
2016-08-30,18.7520
2016-08-29,18.7602
2016-08-26,18.7276
2016-08-25,18.7602
2016-08-24,18.6138
2016-08-23,18.5325
2016-08-22,18.3659
2016-08-19,18.3780
2016-08-18,18.3740
2016-08-17,18.3374
2016-08-16,18.3211
2016-08-15,18.3699
2016-08-12,18.2683
2016-08-11,18.2886
2016-08-10,18.1911
2016-08-09,18.1585
2016-08-08,18.0122
2016-08-05,17.9675
2016-08-04,17.9146
2016-08-03,17.8902
2016-08-02,17.7764
2016-08-01,17.8659
2016-07-29,17.9675
2016-07-28,17.8333
2016-07-27,17.8821
2016-07-26,17.9512
2016-07-25,17.8902
2016-07-22,17.9756
2016-07-21,17.9350
2016-07-20,17.9512
2016-07-19,17.8862
2016-07-18,17.9350
2016-07-15,17.9594
2016-07-14,17.9146
2016-07-13,17.9187
2016-07-12,17.8537
2016-07-11,17.7195
2016-07-08,17.7764
2016-07-07,17.7398
2016-07-06,17.8130
2016-07-05,17.7154
2016-07-01,17.8740
2016-06-30,17.8984
2016-06-29,18.3017
2016-06-28,14.8471
2016-06-27,14.1488
2016-06-24,15.4298
2016-06-23,17.0041
2016-06-22,16.3264
2016-06-21,16.2810
2016-06-20,16.4215
2016-06-17,16.1612
2016-06-16,16.2066
2016-06-15,16.5950
2016-06-14,16.5083
2016-06-13,16.9050
2016-06-10,17.3347
2016-06-09,17.6736
2016-06-08,18.0909
2016-06-07,18.0537
2016-06-06,18.2521
2016-06-03,17.8099
2016-06-02,18.3347
2016-06-01,18.3884
2016-05-31,18.3264
2016-05-27,18.4050
2016-05-26,18.0537
2016-05-25,18.0992
2016-05-24,17.7355
2016-05-23,17.1901
2016-05-20,17.1983
2016-05-19,16.9008
2016-05-18,17.2479
2016-05-17,16.3223
2016-05-16,16.4587
2016-05-13,16.1901
2016-05-12,16.4339
2016-05-11,16.5950
2016-05-10,16.7934
2016-05-09,16.4835
2016-05-06,16.4917
2016-05-05,16.4132
2016-05-04,16.5207
2016-05-03,16.8884
2016-05-02,17.3099
2016-04-29,17.1942
2016-04-28,17.2851
2016-04-27,17.5083
2016-04-26,17.6405
2016-04-25,17.3719
2016-04-22,17.6322
2016-04-21,17.3802
2016-04-20,17.1942
2016-04-19,16.9669
2016-04-18,16.5455
2016-04-15,16.3636
2016-04-14,16.3140
2016-04-13,16.2397
2016-04-12,15.6777
2016-04-11,15.1942
2016-04-08,15.1694
2016-04-07,15.1116
2016-04-06,15.6198
2016-04-05,15.3719
2016-04-04,16.0992
2016-04-01,15.9711
2016-03-31,15.9504
2016-03-30,16.7629
2016-03-29,16.6853
2016-03-28,16.5948
2016-03-24,16.8017
2016-03-23,16.7672
2016-03-22,16.9138
2016-03-21,17.1767
2016-03-18,17.0776
2016-03-17,16.5345
2016-03-16,16.2802
2016-03-15,16.6853
2016-03-14,16.7802
2016-03-11,16.9095
2016-03-10,16.2888
2016-03-09,16.1034
2016-03-08,16.0948
