Period,PEG Ratio (TTM)
2016-11-30,1.1487
2016-11-29,1.1531
2016-11-28,1.1492
2016-11-25,1.1494
2016-11-23,1.1465
2016-11-22,1.1458
2016-11-21,1.1460
2016-11-18,1.1354
2016-11-17,1.1325
2016-11-16,1.1325
2016-11-15,1.1327
2016-11-14,1.1249
2016-11-11,1.1197
2016-11-10,1.1237
2016-11-09,1.1210
2016-11-08,1.1109
2016-11-07,1.1074
2016-11-04,1.0927
2016-11-03,1.0928
2016-11-02,1.0890
2016-11-01,1.1025
2016-10-31,1.1109
2016-10-28,1.1151
2016-10-27,1.1156
2016-10-26,1.1133
2016-10-25,1.1136
2016-10-24,1.1119
2016-10-21,1.1165
2016-10-20,1.1222
2016-10-19,1.1305
2016-10-18,1.1305
2016-10-17,1.1212
2016-10-14,1.1207
2016-10-13,1.1190
2016-10-12,1.1133
2016-10-11,1.1104
2016-10-10,1.1153
2016-10-07,1.1097
2016-10-06,1.1111
2016-10-05,1.1153
2016-10-04,1.1170
2016-10-03,1.1229
2016-09-30,1.1276
2016-09-29,1.0122
2016-09-28,1.0218
2016-09-27,1.0100
2016-09-26,1.0062
2016-09-23,1.0131
2016-09-22,1.0231
2016-09-21,1.0169
2016-09-20,1.0020
2016-09-19,1.0011
2016-09-16,0.9957
2016-09-15,1.0084
2016-09-14,1.0037
2016-09-13,1.0062
2016-09-12,1.0175
2016-09-09,1.0169
2016-09-08,1.0298
2016-09-07,1.0331
2016-09-06,1.0358
2016-09-02,1.0322
2016-09-01,1.0262
2016-08-31,1.0224
2016-08-30,1.0264
2016-08-29,1.0269
2016-08-26,1.0251
2016-08-25,1.0269
2016-08-24,1.0189
2016-08-23,1.0144
2016-08-22,1.0053
2016-08-19,1.0060
2016-08-18,1.0057
2016-08-17,1.0037
2016-08-16,1.0028
2016-08-15,1.0055
2016-08-12,0.9999
2016-08-11,1.0011
2016-08-10,0.9957
2016-08-09,0.9939
2016-08-08,0.9859
2016-08-05,0.9835
2016-08-04,0.9806
2016-08-03,0.9793
2016-08-02,0.9730
2016-08-01,0.9779
2016-07-29,0.9835
2016-07-28,0.9761
2016-07-27,0.9788
2016-07-26,0.9826
2016-07-25,0.9793
2016-07-22,0.9839
2016-07-21,0.9817
2016-07-20,0.9826
2016-07-19,0.9790
2016-07-18,0.9817
2016-07-15,0.9830
2016-07-14,0.9806
2016-07-13,0.9808
2016-07-12,0.9773
2016-07-11,0.9699
2016-07-08,0.9730
2016-07-07,0.9710
2016-07-06,0.9750
2016-07-05,0.9697
2016-07-01,0.9784
2016-06-30,0.9797
2016-06-29,0.9242
2016-06-28,0.7498
2016-06-27,0.7145
2016-06-24,0.7792
2016-06-23,0.8587
2016-06-22,0.8245
2016-06-21,0.8222
2016-06-20,0.8293
2016-06-17,0.8161
2016-06-16,0.8184
2016-06-15,0.8380
2016-06-14,0.8337
2016-06-13,0.8537
2016-06-10,0.8754
2016-06-09,0.8925
2016-06-08,0.9136
2016-06-07,0.9117
2016-06-06,0.9217
2016-06-03,0.8994
2016-06-02,0.9259
2016-06-01,0.9286
2016-05-31,0.9255
2016-05-27,0.9294
2016-05-26,0.9117
2016-05-25,0.9140
2016-05-24,0.8956
2016-05-23,0.8681
2016-05-20,0.8685
2016-05-19,0.8535
2016-05-18,0.8710
2016-05-17,0.8243
2016-05-16,0.8312
2016-05-13,0.8176
2016-05-12,0.8299
2016-05-11,0.8380
2016-05-10,0.8481
2016-05-09,0.8324
2016-05-06,0.8328
2016-05-05,0.8289
2016-05-04,0.8343
2016-05-03,0.8529
2016-05-02,0.8742
2016-04-29,0.8683
2016-04-28,0.8729
2016-04-27,0.8842
2016-04-26,0.8908
2016-04-25,0.8773
2016-04-22,0.8904
2016-04-21,0.8777
2016-04-20,0.8683
2016-04-19,0.8568
2016-04-18,0.8355
2016-04-15,0.8264
2016-04-14,0.8239
2016-04-13,0.8201
2016-04-12,0.7917
2016-04-11,0.7673
2016-04-08,0.7661
2016-04-07,0.7631
2016-04-06,0.7888
2016-04-05,0.7763
2016-04-04,0.8130
2016-04-01,0.8065
2016-03-31,0.8055
2016-03-30,0.8558
2016-03-29,0.8518
2016-03-28,0.8472
2016-03-24,0.8578
2016-03-23,0.8560
2016-03-22,0.8635
2016-03-21,0.8769
2016-03-18,0.8719
2016-03-17,0.8441
2016-03-16,0.8311
2016-03-15,0.8518
2016-03-14,0.8567
2016-03-11,0.8633
2016-03-10,0.8316
2016-03-09,0.8221
2016-03-08,0.8217
2016-03-07,0.8448
2016-03-04,0.8426
2016-03-03,0.8281
2016-03-02,0.8085
2016-03-01,0.8019
2016-02-29,0.7561
2016-02-26,0.7786
2016-02-25,0.7521
2016-02-24,0.7407
2016-02-23,0.7392
2016-02-22,0.7537
2016-02-19,0.7510
2016-02-18,0.7502
2016-02-17,0.7627
2016-02-16,0.7728
2016-02-12,0.7508
2016-02-11,0.7088
2016-02-10,0.7231
2016-02-09,0.7121
2016-02-08,0.7048
2016-02-05,0.7293
2016-02-04,0.7720
2016-02-03,0.7761
2016-02-02,0.7819
2016-02-01,0.8237
2016-01-29,0.8281
2016-01-28,0.8076
2016-01-27,0.7915
2016-01-26,0.7911
2016-01-25,0.7792
2016-01-22,0.8294
2016-01-21,0.8140
2016-01-20,0.7959
2016-01-19,0.7940
2016-01-15,0.8054
2016-01-14,0.8276
2016-01-13,0.8045
2016-01-12,0.8327
2016-01-11,0.8261
2016-01-08,0.8241
2016-01-07,0.8443
2016-01-06,0.8613
2016-01-05,0.8737
2016-01-04,0.8714
2015-12-31,0.9027
2015-12-30,1.5389
2015-12-29,1.5685
2015-12-28,1.5478
2015-12-24,1.5519
2015-12-23,1.5441
2015-12-22,1.5193
2015-12-21,1.5227
2015-12-18,1.5138
2015-12-17,1.5556
2015-12-16,1.5741
2015-12-15,1.5593
2015-12-14,1.5101
2015-12-11,1.5112
2015-12-10,1.5571
2015-12-09,1.5367
2015-12-08,1.5704
2015-12-07,1.6033
2015-12-04,1.6340
2015-12-03,1.5763
2015-12-02,1.6040
2015-12-01,1.6392
2015-11-30,1.6318
2015-11-27,1.6414
2015-11-25,1.6399
2015-11-24,1.6292
2015-11-23,1.6200
2015-11-20,1.6166
2015-11-19,1.6137
2015-11-18,1.6344
2015-11-17,1.6137
2015-11-16,1.5918
2015-11-13,1.5667
2015-11-12,1.5819
2015-11-11,1.6296
2015-11-10,1.6477
2015-11-09,1.6529
2015-11-06,1.6706
2015-11-05,1.6129
2015-11-04,1.5922
2015-11-03,1.5885
2015-11-02,1.5859
2015-10-30,1.5474
2015-10-29,1.5785
2015-10-28,1.5992
2015-10-27,1.5256
2015-10-26,1.5304
2015-10-23,1.5500
2015-10-22,1.4960
2015-10-21,1.4705
2015-10-20,1.5023
2015-10-19,1.4864
2015-10-16,1.4838
2015-10-15,1.4834
2015-10-14,1.4546
2015-10-13,1.5012
2015-10-12,1.4772
2015-10-09,1.4524
2015-10-08,1.4683
2015-10-07,1.4416
2015-10-06,1.4161
2015-10-05,1.4172
2015-10-02,1.3728
2015-10-01,1.4139
2015-09-30,1.4180
2015-09-29,1.2186
2015-09-28,1.2121
2015-09-25,1.2395
2015-09-24,1.2096
2015-09-23,1.2083
2015-09-22,1.1957
2015-09-21,1.2051
2015-09-18,1.1831
2015-09-17,1.2395
2015-09-16,1.2692
2015-09-15,1.2647
2015-09-14,1.2502
2015-09-11,1.2431
2015-09-10,1.2334
2015-09-09,1.2121
2015-09-08,1.2154
2015-09-04,1.1757
2015-09-03,1.1789
2015-09-02,1.1725
2015-09-01,1.1567
2015-08-31,1.2199
2015-08-28,1.1986
2015-08-27,1.2002
2015-08-26,1.1704
2015-08-25,1.1290
2015-08-24,1.1632
2015-08-21,1.2357
2015-08-20,1.2547
2015-08-19,1.3024
2015-08-18,1.3249
2015-08-17,1.3259
2015-08-14,1.3256
2015-08-13,1.3040
2015-08-12,1.2885
2015-08-11,1.3343
2015-08-10,1.3704
