Period,Open,High,Low,Close,Volume
2016-11-30,47.000000,47.150000,46.700000,46.780000,1434130
2016-11-29,46.800000,46.980000,46.750000,46.960000,1241166
2016-11-28,46.650000,46.980000,46.330000,46.800000,2023691
2016-11-25,46.750000,46.810000,46.595000,46.810000,357376
2016-11-23,46.580000,46.840000,46.400000,46.690000,427966
2016-11-22,46.740000,46.825000,46.560000,46.660000,714627
2016-11-21,46.280000,46.690000,46.280000,46.670000,346447
2016-11-18,46.170000,46.330000,46.010000,46.240000,844081
2016-11-17,46.140000,46.410000,45.730000,46.120000,558132
2016-11-16,45.880000,46.280000,45.810000,46.120000,896738
2016-11-15,45.780000,46.130000,45.660000,46.130000,1078605
2016-11-14,45.850000,45.880000,45.552900,45.810000,828012
2016-11-11,45.700000,45.860000,45.330000,45.600000,1072013
2016-11-10,45.930000,46.020000,45.520000,45.760000,857910
2016-11-09,45.260000,45.695000,44.660000,45.650000,823093
2016-11-08,45.070000,45.380000,44.780000,45.240000,299611
2016-11-07,45.050000,45.250000,44.960000,45.100000,640598
2016-11-04,44.520000,44.700000,44.280000,44.500000,310709
2016-11-03,44.550000,44.740000,44.470000,44.505000,320838
2016-11-02,44.880000,45.130000,44.340000,44.350000,649602
2016-11-01,45.330000,45.500000,44.790000,44.900000,559230
2016-10-31,45.450000,45.770000,45.240000,45.240000,914379
2016-10-28,45.870000,45.870000,45.290000,45.410000,403831
2016-10-27,45.500000,45.600000,45.340000,45.430000,323058
2016-10-26,45.280000,45.550000,45.240000,45.340000,422494
2016-10-25,45.360000,46.410000,45.280000,45.350000,759453
2016-10-24,45.650000,46.190000,45.270000,45.280000,567779
2016-10-21,45.460000,45.510000,45.320000,45.470000,659362
2016-10-20,45.940000,46.000000,45.700000,45.700000,681138
2016-10-19,46.010000,46.370000,46.000000,46.040000,893128
2016-10-18,45.910000,46.160000,45.800000,46.040000,507334
2016-10-17,45.630000,45.790000,45.550000,45.660000,469273
2016-10-14,45.820000,45.980000,45.560000,45.640000,857248
2016-10-13,45.130000,45.580000,44.180000,45.570000,1245929
2016-10-12,45.220000,45.500000,45.120000,45.340000,1027399
2016-10-11,45.350000,45.410000,45.050000,45.220000,511287
2016-10-10,45.370000,45.750000,45.310000,45.420000,348460
2016-10-07,45.240000,45.380000,44.970000,45.190000,477578
2016-10-06,45.430000,45.530000,45.200000,45.250000,360412
2016-10-05,45.700000,45.770000,45.380000,45.420000,782404
2016-10-04,45.820000,46.270000,45.360000,45.490000,645171
2016-10-03,45.660000,45.950000,45.620000,45.730000,726182
2016-09-30,45.670000,46.090000,45.670000,45.920000,523190
2016-09-29,46.040000,46.080000,45.350000,45.490000,665661
2016-09-28,45.580000,45.940000,45.330000,45.920000,306889
2016-09-27,45.040000,45.480000,44.940000,45.390000,333433
2016-09-26,45.260000,45.500000,45.170000,45.220000,600849
2016-09-23,45.750000,45.900000,45.470000,45.530000,386484
2016-09-22,45.920000,46.150000,45.710000,45.980000,392032
2016-09-21,45.180000,45.730000,45.180000,45.700000,478306
2016-09-20,45.300000,45.300000,44.990000,45.030000,443251
2016-09-19,45.050000,45.190000,44.830000,44.990000,502676
2016-09-16,45.320000,45.320000,44.740000,44.750000,1300856
2016-09-15,45.150000,45.420000,45.150000,45.320000,358275
2016-09-14,45.190000,45.370000,45.030000,45.110000,357211
2016-09-13,45.330000,45.430000,45.000000,45.220000,653631
2016-09-12,45.480000,45.730000,45.340000,45.730000,714057
2016-09-09,46.170000,46.280000,45.660000,45.700000,1263113
2016-09-08,46.400000,46.520000,46.260000,46.280000,576067
2016-09-07,46.560000,46.700000,46.240000,46.430000,737407
2016-09-06,46.420000,46.590000,46.320000,46.550000,588706
2016-09-02,46.280000,46.490000,45.564800,46.390000,453375
2016-09-01,46.070000,46.150000,45.840000,46.120000,757285
