Period,Price to Book Value
2016-11-30,1.9756
2016-11-29,1.9832
2016-11-28,1.9765
2016-11-25,1.9769
2016-11-23,1.9718
2016-11-22,1.9706
2016-11-21,1.9710
2016-11-18,1.9528
2016-11-17,1.9477
2016-11-16,1.9477
2016-11-15,1.9482
2016-11-14,1.9347
2016-11-11,1.9258
2016-11-10,1.9325
2016-11-09,1.9279
2016-11-08,1.9106
2016-11-07,1.9047
2016-11-04,1.8793
2016-11-03,1.8795
2016-11-02,1.8730
2016-11-01,1.8962
2016-10-31,1.9106
2016-10-28,1.9178
2016-10-27,1.9186
2016-10-26,1.9148
2016-10-25,1.9152
2016-10-24,1.9123
2016-10-21,1.9203
2016-10-20,1.9300
2016-10-19,1.9444
2016-10-18,1.9444
2016-10-17,1.9283
2016-10-14,1.9275
2016-10-13,1.9245
2016-10-12,1.9148
2016-10-11,1.9097
2016-10-10,1.9182
2016-10-07,1.9085
2016-10-06,1.9110
2016-10-05,1.9182
2016-10-04,1.9211
2016-10-03,1.9313
2016-09-30,1.9393
2016-09-29,1.9749
2016-09-28,1.9935
2016-09-27,1.9705
2016-09-26,1.9631
2016-09-23,1.9766
2016-09-22,1.9961
2016-09-21,1.9840
2016-09-20,1.9549
2016-09-19,1.9532
2016-09-16,1.9427
2016-09-15,1.9675
2016-09-14,1.9584
2016-09-13,1.9631
2016-09-12,1.9853
2016-09-09,1.9840
2016-09-08,2.0092
2016-09-07,2.0157
2016-09-06,2.0209
2016-09-02,2.0139
2016-09-01,2.0022
2016-08-31,1.9948
2016-08-30,2.0026
2016-08-29,2.0035
2016-08-26,2.0000
2016-08-25,2.0035
2016-08-24,1.9879
2016-08-23,1.9792
2016-08-22,1.9614
2016-08-19,1.9627
2016-08-18,1.9623
2016-08-17,1.9584
2016-08-16,1.9566
2016-08-15,1.9618
2016-08-12,1.9510
2016-08-11,1.9532
2016-08-10,1.9427
2016-08-09,1.9393
2016-08-08,1.9236
2016-08-05,1.9189
2016-08-04,1.9125
2016-08-03,1.9099
2016-08-02,1.8977
2016-08-01,1.9072
2016-07-29,1.9181
2016-07-28,1.9038
2016-07-27,1.9090
2016-07-26,1.9164
2016-07-25,1.9099
2016-07-22,1.9190
2016-07-21,1.9146
2016-07-20,1.9164
2016-07-19,1.9094
2016-07-18,1.9146
2016-07-15,1.9172
2016-07-14,1.9125
2016-07-13,1.9129
2016-07-12,1.9059
2016-07-11,1.8916
2016-07-08,1.8977
2016-07-07,1.8938
2016-07-06,1.9016
2016-07-05,1.8912
2016-07-01,1.9081
2016-06-30,1.9107
2016-06-29,1.9887
2016-06-28,1.6133
2016-06-27,1.5374
2016-06-24,1.6766
2016-06-23,1.8477
2016-06-22,1.7741
2016-06-21,1.7691
2016-06-20,1.7844
2016-06-17,1.7561
2016-06-16,1.7610
2016-06-15,1.8032
2016-06-14,1.7938
2016-06-13,1.8369
2016-06-10,1.8836
2016-06-09,1.9204
2016-06-08,1.9658
2016-06-07,1.9617
2016-06-06,1.9833
2016-06-03,1.9353
2016-06-02,1.9923
2016-06-01,1.9981
2016-05-31,1.9914
2016-05-27,1.9999
2016-05-26,1.9617
2016-05-25,1.9667
2016-05-24,1.9272
2016-05-23,1.8679
2016-05-20,1.8688
2016-05-19,1.8365
2016-05-18,1.8742
2016-05-17,1.7736
2016-05-16,1.7884
