,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
0,stocktwits,RMAX,0,1.43,-1.43,0,1,0,1,45557,11/30/16,00:54.7
1,stocktwits,RMAX,2.62,0,2.62,2,0,0,3,45557,11/29/16,00:48.3
2,stocktwits,RMAX,0,0,0,0,0,0,3,45557,11/28/16,00:53.5
3,stocktwits,RMAX,0,0,0,0,0,0,2,45557,11/25/16,01:02.7
4,stocktwits,RMAX,0,0,0,0,0,0,1,45557,11/22/16,00:54.7
5,stocktwits,RMAX,0,0,0,0,0,0,1,45557,11/17/16,01:07.5
6,stocktwits,RMAX,0.56,0,0.56,1,0,0,2,45557,11/16/16,00:58.5
7,stocktwits,RMAX,0,0,0,0,0,0,4,45557,11/15/16,00:55.3
8,stocktwits,RMAX,0,0,0,0,0,0,1,45557,11/10/16,01:05.3
9,stocktwits,RMAX,0,0,0,0,0,0,4,45557,11/7/16,01:02.0
10,stocktwits,RMAX,0,0,0,0,0,0,9,45557,11/4/16,01:35.0
11,stocktwits,RMAX,2.78,0,2.78,1,0,0,8,45557,11/3/16,01:15.1
12,stocktwits,RMAX,0,0,0,0,0,0,3,45557,11/2/16,00:51.1
13,stocktwits,RMAX,0,1.67,-1.67,0,1,0,1,45557,10/31/16,00:54.0
14,stocktwits,RMAX,0,0,0,0,0,0,1,45557,10/30/16,00:53.6
15,stocktwits,RMAX,0,0,0,0,0,0,1,45557,10/28/16,01:22.7
16,stocktwits,RMAX,1.5,0,1.5,1,0,0,1,45557,10/27/16,01:29.0
17,stocktwits,RMAX,0,1.67,-1.67,0,1,0,1,45557,10/25/16,00:53.9
18,stocktwits,RMAX,0,0,0,0,0,0,3,45557,10/24/16,01:07.2
19,stocktwits,RMAX,0,0,0,0,0,0,1,45557,10/22/16,00:53.0
20,stocktwits,RMAX,1.5,0,1.5,1,0,0,1,45557,10/19/16,01:25.5
21,stocktwits,RMAX,1.9,1.67,0.23,1,1,1,2,45557,10/16/16,01:10.4
22,stocktwits,RMAX,1.82,0,1.82,1,0,0,2,45557,10/13/16,01:16.6
23,stocktwits,RMAX,2.5,0,2.5,1,0,0,1,45557,10/11/16,01:04.0
24,stocktwits,RMAX,0,0,0,0,0,0,2,45557,10/10/16,01:01.4
25,stocktwits,RMAX,0,0,0,0,0,0,1,45557,10/8/16,01:20.5
26,stocktwits,RMAX,2,0,2,2,0,0,2,45557,10/7/16,01:09.0
27,stocktwits,RMAX,0,0,0,0,0,0,1,45557,10/5/16,00:48.0
28,stocktwits,RMAX,0,1.67,-1.67,0,1,0,1,45557,10/4/16,01:03.0
29,stocktwits,RMAX,0,0,0,0,0,0,1,45557,10/2/16,01:09.1
30,stocktwits,RMAX,0,0,0,0,0,0,1,45557,10/1/16,00:48.0
31,stocktwits,RMAX,2.5,0,2.5,1,0,0,1,45557,9/30/16,00:46.8
32,stocktwits,RMAX,0,0,0,0,0,0,4,45557,9/28/16,00:43.3
33,stocktwits,RMAX,0,2.7,-2.7,0,1,0,2,45557,9/26/16,01:12.4
34,stocktwits,RMAX,1.7,0,1.7,2,0,0,2,45557,9/25/16,00:50.1
35,stocktwits,RMAX,2.85,1.67,1.18,1,1,1,2,45557,9/22/16,00:44.2
36,stocktwits,RMAX,2.5,0,2.5,1,0,0,1,45557,9/21/16,01:16.0
37,stocktwits,RMAX,0,0,0,0,0,0,1,45557,9/19/16,01:04.4
38,stocktwits,RMAX,0,0,0,0,0,0,1,45557,9/17/16,00:39.0
39,stocktwits,RMAX,0,0,0,0,0,0,1,45557,9/16/16,00:55.4
40,stocktwits,RMAX,0,0,0,0,0,0,2,45557,9/14/16,01:02.4
41,stocktwits,RMAX,1.5,0,1.5,1,0,0,1,45557,9/9/16,01:18.8
42,stocktwits,RMAX,0,2.7,-2.7,0,1,0,1,45557,9/7/16,01:11.5
43,stocktwits,RMAX,0,0,0,0,0,0,2,45557,9/5/16,01:10.3
44,stocktwits,RMAX,0,1.67,-1.67,0,1,0,1,45557,9/4/16,01:09.7
45,stocktwits,RMAX,0,0,0,0,0,0,1,45557,8/30/16,01:28.3
46,stocktwits,RMAX,0,0,0,0,0,0,1,45557,8/25/16,01:12.0
47,stocktwits,RMAX,0,0.7,-0.7,0,1,0,1,45557,8/24/16,01:12.7
48,stocktwits,RMAX,0,0,0,0,0,0,1,45557,8/23/16,01:13.5
49,stocktwits,RMAX,1.5,0,1.5,1,0,0,2,45557,8/20/16,01:18.5
50,stocktwits,RMAX,0,0,0,0,0,0,1,45557,8/16/16,01:29.1
51,stocktwits,RMAX,0,1.67,-1.67,0,1,0,3,45557,8/15/16,01:28.5
52,stocktwits,RMAX,0,0,0,0,0,0,1,45557,8/11/16,01:27.4
53,stocktwits,RMAX,0,0,0,0,0,0,1,45557,8/10/16,01:27.7
54,stocktwits,RMAX,0,0,0,0,0,0,1,45557,8/8/16,01:26.5
55,stocktwits,RMAX,0,0,0,0,0,0,9,45557,8/5/16,01:23.1
56,stocktwits,RMAX,1.835,0,1.835,2,0,0,10,45557,8/4/16,01:23.1
57,stocktwits,RMAX,0,0,0,0,0,0,2,45557,8/3/16,01:23.3
58,stocktwits,RMAX,0,1.67,-1.67,0,1,0,1,45557,8/2/16,01:23.6
59,stocktwits,RMAX,0,0,0,0,0,0,1,45557,8/1/16,01:22.6
60,stocktwits,RMAX,0,1.67,-1.67,0,1,0,2,45557,7/31/16,01:18.1
61,stocktwits,RMAX,2.11,0,2.11,1,0,0,2,45557,7/29/16,01:22.4
62,stocktwits,RMAX,0,0,0,0,0,0,1,45557,7/27/16,01:24.1
63,stocktwits,RMAX,0,1.67,-1.67,0,1,0,1,45557,7/25/16,01:22.6
64,stocktwits,RMAX,0,0,0,0,0,0,2,45557,7/21/16,01:29.1
65,stocktwits,RMAX,0,1.67,-1.67,0,1,0,1,45557,7/18/16,01:27.2
66,stocktwits,RMAX,0,0,0,0,0,0,1,45557,7/16/16,01:16.2
67,stocktwits,RMAX,1.03,0,1.03,2,0,0,2,45557,7/14/16,01:28.1
68,stocktwits,RMAX,1.3,0,1.3,1,0,0,2,45557,7/11/16,01:27.3
69,stocktwits,RMAX,0,0,0,0,0,0,3,45557,7/8/16,01:28.8
70,stocktwits,RMAX,0,0,0,0,0,0,1,45557,7/6/16,01:26.5
71,stocktwits,RMAX,0,0,0,0,0,0,1,45557,7/4/16,01:28.4
72,stocktwits,RMAX,0.5,0,0.5,1,0,0,2,45557,6/30/16,01:29.3
73,stocktwits,RMAX,2,0,2,1,0,0,1,45557,6/29/16,01:29.7
74,stocktwits,RMAX,1.97,0,1.97,2,0,0,3,45557,6/22/16,01:10.2
75,stocktwits,RMAX,0,0,0,0,0,0,1,45557,6/21/16,01:08.7
76,stocktwits,RMAX,0,2.71,-2.71,0,1,0,1,45557,6/16/16,01:11.0
77,stocktwits,RMAX,0,0,0,0,0,0,1,45557,6/15/16,01:06.3
78,stocktwits,RMAX,0,0,0,0,0,0,1,45557,6/12/16,01:10.3
79,stocktwits,RMAX,0,0,0,0,0,0,2,45557,6/9/16,01:09.3
80,stocktwits,RMAX,1.56,0,1.56,1,0,0,4,45557,6/6/16,01:10.1
81,stocktwits,RMAX,0,0,0,0,0,0,3,45557,6/2/16,01:10.1
82,stocktwits,RMAX,0,0,0,0,0,0,1,45557,5/31/16,01:01.3
83,stocktwits,RMAX,0,0.88,-0.88,0,1,0,2,45557,5/30/16,00:59.5
84,stocktwits,RMAX,0,0,0,0,0,0,2,45557,5/27/16,01:06.0
85,stocktwits,RMAX,1.82,0,1.82,1,0,0,2,45557,5/26/16,01:01.2
86,stocktwits,RMAX,2.38,0,2.38,1,0,0,2,45557,5/24/16,01:00.7
87,stocktwits,RMAX,1.5,0,1.5,1,0,0,1,45557,5/23/16,01:01.8
88,stocktwits,RMAX,0,0.72,-0.72,0,1,0,1,45557,5/19/16,00:59.9
89,stocktwits,RMAX,0,2.15,-2.15,0,1,0,1,45557,5/18/16,00:57.8
90,stocktwits,RMAX,0,0,0,0,0,0,4,45557,5/17/16,00:59.6
91,stocktwits,RMAX,0,0,0,0,0,0,5,45557,5/10/16,00:57.5
92,stocktwits,RMAX,1.9,0,1.9,1,0,0,3,45557,5/9/16,00:55.9
93,stocktwits,RMAX,0,0,0,0,0,0,1,45557,5/7/16,00:56.1
94,stocktwits,RMAX,0.89,0,0.89,1,0,0,10,45557,5/6/16,01:21.9
95,stocktwits,RMAX,3,0,3,1,0,0,6,45557,5/5/16,00:58.0
96,stocktwits,RMAX,0,0,0,0,0,0,2,45557,5/4/16,00:57.2
97,stocktwits,RMAX,0,0,0,0,0,0,1,45557,5/2/16,00:57.2
98,stocktwits,RMAX,0,0.1,-0.1,0,1,0,1,45557,4/28/16,00:57.2
99,stocktwits,RMAX,0,0,0,0,0,0,1,45557,4/26/16,00:57.5
100,stocktwits,RMAX,0,0,0,0,0,0,1,45557,4/22/16,00:55.9
101,stocktwits,RMAX,1.8,0,1.8,1,0,0,1,45557,4/19/16,00:57.6
102,stocktwits,RMAX,0,0,0,0,0,0,1,45557,4/18/16,00:56.1
103,stocktwits,RMAX,0,0,0,0,0,0,2,45557,4/14/16,00:55.9
104,stocktwits,RMAX,0,0,0,0,0,0,1,45557,4/13/16,00:57.9
105,stocktwits,RMAX,0,2.5,-2.5,0,1,0,3,45557,4/7/16,00:54.7
106,stocktwits,RMAX,0,0,0,0,0,0,4,45557,4/5/16,00:57.4
107,stocktwits,RMAX,0,0,0,0,0,0,1,45557,4/4/16,00:56.1
108,stocktwits,RMAX,0,0,0,0,0,0,1,45557,4/1/16,00:56.4
109,stocktwits,RMAX,0,0,0,0,0,0,5,45557,3/31/16,00:57.5
110,stocktwits,RMAX,1.2,0,1.2,1,0,0,1,45557,3/29/16,00:57.0
111,stocktwits,RMAX,0,0,0,0,0,0,4,45557,3/24/16,00:55.7
112,stocktwits,RMAX,2.6,0,2.6,1,0,0,1,45557,3/23/16,00:57.5
113,stocktwits,RMAX,0,0,0,0,0,0,1,45557,3/17/16,01:03.6
114,stocktwits,RMAX,0,0,0,0,0,0,1,45557,3/15/16,00:59.5
115,stocktwits,RMAX,2.23,0,2.23,1,0,0,1,45557,3/13/16,00:52.4
116,stocktwits,RMAX,0,0,0,0,0,0,1,45557,3/10/16,00:53.0
117,stocktwits,RMAX,0,0,0,0,0,0,1,45557,3/7/16,00:56.9
118,stocktwits,RMAX,0,0,0,0,0,0,1,45557,3/6/16,00:55.4
119,stocktwits,RMAX,0,0,0,0,0,0,1,45557,3/4/16,00:56.0
120,stocktwits,RMAX,0,0,0,0,0,0,1,45557,3/3/16 0:00,00:53.9
121,stocktwits,RMAX,0,0,0,0,0,0,1,45557,3/2/16 0:00,01:25.7
122,stocktwits,RMAX,1.5,0,1.5,1,0,0,1,45557,3/1/16 0:00,01:18.4
123,stocktwits,RMAX,0,2.86,-2.86,0,1,0,1,45557,2/29/16 0:00,00:56.0
124,stocktwits,RMAX,1.21,0,1.21,1,0,0,7,45557,2/26/16 0:00,00:56.9
125,stocktwits,RMAX,1.8225,0,1.8225,4,0,0,15,45557,2/25/16 0:00,00:55.8
126,stocktwits,RMAX,0,0,0,0,0,0,4,45557,2/24/16 0:00,00:54.9
127,stocktwits,RMAX,0,0,0,0,0,0,1,45557,2/22/16 0:00,00:47.3
128,stocktwits,RMAX,0,0,0,0,0,0,2,45557,2/21/16 0:00,00:45.5
129,stocktwits,RMAX,0,0,0,0,0,0,4,45557,2/19/16 0:00,06:19.7
130,stocktwits,RMAX,0,0,0,0,0,0,1,45557,2/17/16 0:00,00:48.7
131,stocktwits,RMAX,0,0,0,0,0,0,4,45557,2/16/16 0:00,00:47.7
132,stocktwits,RMAX,0,0,0,0,0,0,1,45557,2/12/16 0:00,00:47.8
133,stocktwits,RMAX,0,0,0,0,0,0,5,45557,2/11/16 0:00,00:46.2
134,stocktwits,RMAX,0,0,0,0,0,0,1,45557,2/9/16 0:00,00:44.3
135,stocktwits,RMAX,0,1.67,-1.67,0,1,0,1,45557,2/8/16 0:00,00:47.9
136,stocktwits,RMAX,0,0,0,0,0,0,2,45557,2/5/16 0:00,00:47.6
137,stocktwits,RMAX,0,0,0,0,0,0,3,45557,2/4/16 0:00,00:47.2
138,stocktwits,RMAX,0,0,0,0,0,0,3,45557,2/3/16 0:00,00:46.8
139,stocktwits,RMAX,1.84,0,1.84,1,0,0,1,45557,2/1/16 0:00,00:45.8
140,stocktwits,RMAX,0,0,0,0,0,0,1,45557,1/31/16 0:00,00:44.0
141,stocktwits,RMAX,0,0,0,0,0,0,1,45557,1/29/16 0:00,01:08.6
142,stocktwits,RMAX,0,0.7,-0.7,0,1,0,2,45557,1/28/16 0:00,01:00.5
143,stocktwits,RMAX,0,1.22,-1.22,0,2,0,8,45557,1/27/16 0:00,01:04.3
144,stocktwits,RMAX,0,0,0,0,0,0,3,45557,1/26/16 0:00,20:29.3
145,stocktwits,RMAX,0,0,0,0,0,0,1,45557,1/25/16 0:00,20:29.1
146,stocktwits,RMAX,0,0,0,0,0,0,2,45557,1/22/16 0:00,20:33.1
147,stocktwits,RMAX,0,0,0,0,0,0,4,45557,1/21/16 0:00,20:50.5
148,stocktwits,RMAX,0,0,0,0,0,0,2,45557,1/20/16 0:00,00:49.4
149,stocktwits,RMAX,0,0,0,0,0,0,2,45557,1/19/16 0:00,01:27.0
150,stocktwits,RMAX,0,0,0,0,0,0,1,45557,1/18/16 0:00,00:55.6
151,stocktwits,RMAX,0,0,0,0,0,0,1,45557,1/15/16 0:00,01:09.6
152,stocktwits,RMAX,0,0,0,0,0,0,2,45557,1/14/16 0:00,00:46.8
153,stocktwits,RMAX,0,0,0,0,0,0,3,45557,1/12/16 5:00,00:00.0
154,stocktwits,RMAX,0,0,0,0,0,0,3,45557,1/12/16 0:00,00:44.9
155,stocktwits,RMAX,0,0,0,0,0,0,1,45557,1/11/16 5:00,00:00.0
156,stocktwits,RMAX,0,0,0,0,0,0,1,45557,1/7/16 5:00,00:00.0
157,stocktwits,RMAX,0,0,0,0,0,0,3,45557,1/6/16 5:00,00:00.0
158,stocktwits,RMAX,0,0,0,0,0,0,2,45557,1/5/16 5:00,00:00.0
159,stocktwits,RMAX,0,0,0,0,0,0,1,45557,12/31/15 5:00,00:00.0
160,stocktwits,RMAX,0,0,0,0,0,0,1,45557,12/30/15 5:00,00:00.0
161,stocktwits,RMAX,0,0,0,0,0,0,1,45557,12/29/15 5:00,00:00.0
162,stocktwits,RMAX,0,0,0,0,0,0,2,45557,12/28/15 5:00,00:00.0
163,stocktwits,RMAX,0,0,0,0,0,0,1,45557,12/27/15 5:00,00:00.0
