Period,PE Ratio (TTM)
2016-11-30,36.5672
2016-11-29,37.4254
2016-11-28,36.4179
2016-11-25,36.6791
2016-11-23,36.2687
2016-11-22,36.1567
2016-11-21,35.9701
2016-11-18,35.3358
2016-11-17,35.1119
2016-11-16,34.6642
2016-11-15,35.0746
2016-11-14,36.7164
2016-11-11,36.6791
2016-11-10,36.5672
2016-11-09,36.1194
2016-11-08,34.6642
2016-11-07,35.2985
2016-11-04,33.5448
2016-11-03,31.7910
2016-11-02,31.6791
2016-11-01,31.6418
2016-10-31,32.4254
2016-10-28,31.9030
2016-10-27,31.9030
2016-10-26,31.9030
2016-10-25,32.9851
2016-10-24,33.8060
2016-10-21,32.7985
2016-10-20,32.6119
2016-10-19,32.5373
2016-10-18,32.2388
2016-10-17,31.5672
2016-10-14,31.5522
2016-10-13,31.7090
2016-10-12,31.6269
2016-10-11,31.0970
2016-10-10,32.1119
2016-10-07,31.4851
2016-10-06,32.2388
2016-10-05,32.8284
2016-10-04,33.0597
2016-10-03,32.5970
2016-09-30,32.6716
2016-09-29,32.3955
2016-09-28,32.9104
2016-09-27,32.3955
2016-09-26,32.3881
2016-09-23,32.8209
2016-09-22,33.0821
2016-09-21,31.7836
2016-09-20,31.3731
2016-09-19,31.6119
2016-09-16,31.1716
2016-09-15,31.2164
2016-09-14,30.6045
2016-09-13,31.0075
2016-09-12,31.6194
2016-09-09,30.9701
2016-09-08,32.2164
2016-09-07,32.6716
2016-09-06,32.2164
2016-09-02,31.8433
2016-09-01,31.2761
2016-08-31,31.0746
2016-08-30,31.2313
2016-08-29,30.9776
2016-08-26,30.9030
2016-08-25,31.2836
2016-08-24,30.9104
2016-08-23,31.3284
2016-08-22,30.9701
2016-08-19,30.4179
2016-08-18,30.6194
2016-08-17,30.7687
2016-08-16,30.8507
2016-08-15,31.5299
2016-08-12,31.4925
2016-08-11,31.4925
2016-08-10,31.6119
2016-08-09,32.1567
2016-08-08,32.3433
2016-08-05,32.2612
2016-08-04,31.9403
2016-08-03,31.8060
2016-08-02,31.6866
2016-08-01,32.3358
2016-07-29,32.3284
2016-07-28,32.4030
2016-07-27,32.7090
2016-07-26,32.5299
2016-07-25,32.4552
2016-07-22,32.4701
2016-07-21,32.2463
2016-07-20,31.7910
2016-07-19,31.8582
2016-07-18,31.8358
2016-07-15,31.6194
2016-07-14,31.4776
2016-07-13,31.5672
2016-07-12,31.2239
2016-07-11,30.5597
2016-07-08,30.5970
2016-07-07,29.5000
2016-07-06,29.5522
2016-07-05,29.4552
2016-07-01,29.6567
2016-06-30,30.0448
2016-06-29,29.0444
2016-06-28,28.8222
2016-06-27,28.2889
2016-06-24,29.3556
2016-06-23,31.1037
2016-06-22,30.9852
2016-06-21,31.2593
2016-06-20,30.5111
2016-06-17,30.1926
2016-06-16,30.2889
2016-06-15,30.5259
2016-06-14,30.5185
2016-06-13,30.4519
2016-06-10,31.0148
2016-06-09,31.2963
2016-06-08,31.1778
2016-06-07,30.7852
2016-06-06,30.5630
2016-06-03,30.1556
2016-06-02,30.2370
2016-06-01,30.1333
2016-05-31,29.9185
2016-05-27,29.8222
2016-05-26,29.7704
2016-05-25,29.5481
2016-05-24,29.2296
2016-05-23,28.7037
2016-05-20,28.7556
2016-05-19,28.3481
2016-05-18,28.6815
2016-05-17,28.7704
2016-05-16,28.9111
2016-05-13,28.5556
2016-05-12,28.4444
2016-05-11,28.2000
2016-05-10,28.5185
2016-05-09,28.3185
2016-05-06,27.7037
2016-05-05,27.1185
2016-05-04,27.2074
2016-05-03,27.0889
2016-05-02,27.3926
2016-04-29,27.2593
2016-04-28,27.2222
2016-04-27,27.1778
2016-04-26,27.2148
2016-04-25,26.4667
2016-04-22,26.5630
2016-04-21,26.6148
2016-04-20,26.7630
2016-04-19,27.0444
2016-04-18,26.8222
2016-04-15,26.7111
2016-04-14,26.5556
2016-04-13,26.6148
2016-04-12,26.0889
2016-04-11,25.9259
2016-04-08,25.7852
2016-04-07,25.5778
2016-04-06,25.6296
2016-04-05,25.6889
2016-04-04,25.7630
2016-04-01,25.7407
2016-03-31,25.4074
2016-03-30,27.2016
2016-03-29,26.7287
2016-03-28,26.3488
2016-03-24,26.3721
2016-03-23,26.2868
2016-03-22,26.5271
2016-03-21,26.5271
2016-03-18,26.5659
2016-03-17,27.1395
2016-03-16,26.4574
2016-03-15,26.3411
2016-03-14,26.6124
2016-03-11,26.7829
2016-03-10,26.1628
2016-03-09,26.2481
2016-03-08,25.9457
2016-03-07,26.1008
2016-03-04,26.1085
2016-03-03,26.7829
2016-03-02,26.1163
2016-03-01,25.6589
2016-02-29,24.8527
2016-02-26,25.5426
2016-02-25,26.6124
2016-02-24,25.8450
2016-02-23,25.7209
2016-02-22,26.0698
2016-02-19,25.9147
2016-02-18,25.3333
2016-02-17,25.8915
2016-02-16,24.6047
2016-02-12,23.9922
2016-02-11,23.7054
2016-02-10,23.8992
2016-02-09,23.6744
2016-02-08,23.7829
2016-02-05,24.7674
2016-02-04,24.8527
2016-02-03,24.8062
2016-02-02,26.3566
2016-02-01,26.9380
2016-01-29,26.9922
2016-01-28,26.1240
2016-01-27,26.6667
2016-01-26,25.4729
2016-01-25,25.4651
2016-01-22,25.0388
2016-01-21,25.1473
2016-01-20,26.0078
2016-01-19,27.1550
2016-01-15,26.4109
2016-01-14,26.7674
2016-01-13,25.9690
2016-01-12,26.1240
2016-01-11,25.9845
2016-01-08,26.9070
2016-01-07,27.6977
2016-01-06,28.1860
2016-01-05,28.3256
2016-01-04,28.3101
2015-12-31,28.9147
2015-12-30,31.1653
2015-12-29,31.3058
2015-12-28,30.8099
2015-12-24,31.1983
