Period,PEG Ratio (TTM)
2016-11-30,3.4036
2016-11-29,3.4834
2016-11-28,3.3897
2016-11-25,3.4140
2016-11-23,3.3758
2016-11-22,3.3654
2016-11-21,3.3480
2016-11-18,3.2889
2016-11-17,3.2681
2016-11-16,3.2264
2016-11-15,3.2646
2016-11-14,3.4175
2016-11-11,3.4140
2016-11-10,3.4036
2016-11-09,3.3619
2016-11-08,3.2264
2016-11-07,3.2855
2016-11-04,3.1222
2016-11-03,2.9590
2016-11-02,2.9486
2016-11-01,2.9451
2016-10-31,3.0181
2016-10-28,2.9694
2016-10-27,2.9694
2016-10-26,2.9694
2016-10-25,3.0701
2016-10-24,3.1466
2016-10-21,3.0528
2016-10-20,3.0354
2016-10-19,3.0285
2016-10-18,3.0007
2016-10-17,2.9382
2016-10-14,2.9368
2016-10-13,2.9514
2016-10-12,2.9437
2016-10-11,2.8944
2016-10-10,2.9889
2016-10-07,2.9305
2016-10-06,3.0007
2016-10-05,3.0556
2016-10-04,3.0771
2016-10-03,3.0340
2016-09-30,3.0410
2016-09-29,2.2296
2016-09-28,2.2650
2016-09-27,2.2296
2016-09-26,2.2291
2016-09-23,2.2588
2016-09-22,2.2768
2016-09-21,2.1875
2016-09-20,2.1592
2016-09-19,2.1756
2016-09-16,2.1453
2016-09-15,2.1484
2016-09-14,2.1063
2016-09-13,2.1340
2016-09-12,2.1762
2016-09-09,2.1315
2016-09-08,2.2172
2016-09-07,2.2486
2016-09-06,2.2172
2016-09-02,2.1916
2016-09-01,2.1525
2016-08-31,2.1387
2016-08-30,2.1495
2016-08-29,2.1320
2016-08-26,2.1269
2016-08-25,2.1530
2016-08-24,2.1274
2016-08-23,2.1561
2016-08-22,2.1315
2016-08-19,2.0935
2016-08-18,2.1073
2016-08-17,2.1176
2016-08-16,2.1233
2016-08-15,2.1700
2016-08-12,2.1674
2016-08-11,2.1674
2016-08-10,2.1756
2016-08-09,2.2131
2016-08-08,2.2260
2016-08-05,2.2203
2016-08-04,2.1982
2016-08-03,2.1890
2016-08-02,2.1808
2016-08-01,2.2255
2016-07-29,2.2250
2016-07-28,2.2301
2016-07-27,2.2511
2016-07-26,2.2388
2016-07-25,2.2337
2016-07-22,2.2347
2016-07-21,2.2193
2016-07-20,2.1880
2016-07-19,2.1926
2016-07-18,2.1911
2016-07-15,2.1762
2016-07-14,2.1664
2016-07-13,2.1726
2016-07-12,2.1489
2016-07-11,2.1032
2016-07-08,2.1058
2016-07-07,2.0303
2016-07-06,2.0339
2016-07-05,2.0272
2016-07-01,2.0411
2016-06-30,2.0678
2016-06-29,1.4918
2016-06-28,1.4804
2016-06-27,1.4530
2016-06-24,1.5078
2016-06-23,1.5976
2016-06-22,1.5915
2016-06-21,1.6056
2016-06-20,1.5672
2016-06-17,1.5508
2016-06-16,1.5557
2016-06-15,1.5679
2016-06-14,1.5675
2016-06-13,1.5641
2016-06-10,1.5930
2016-06-09,1.6075
2016-06-08,1.6014
2016-06-07,1.5812
2016-06-06,1.5698
2016-06-03,1.5489
2016-06-02,1.5531
2016-06-01,1.5478
2016-05-31,1.5367
2016-05-27,1.5318
2016-05-26,1.5291
2016-05-25,1.5177
2016-05-24,1.5013
2016-05-23,1.4743
2016-05-20,1.4770
2016-05-19,1.4561
2016-05-18,1.4732
2016-05-17,1.4778
2016-05-16,1.4850
2016-05-13,1.4667
2016-05-12,1.4610
2016-05-11,1.4485
2016-05-10,1.4648
2016-05-09,1.4545
2016-05-06,1.4230
2016-05-05,1.3929
2016-05-04,1.3975
2016-05-03,1.3914
2016-05-02,1.4070
2016-04-29,1.4001
2016-04-28,1.3982
2016-04-27,1.3959
2016-04-26,1.3979
2016-04-25,1.3594
2016-04-22,1.3644
2016-04-21,1.3670
2016-04-20,1.3746
2016-04-19,1.3891
2016-04-18,1.3777
2016-04-15,1.3720
2016-04-14,1.3640
2016-04-13,1.3670
2016-04-12,1.3400
2016-04-11,1.3316
2016-04-08,1.3244
2016-04-07,1.3138
2016-04-06,1.3164
2016-04-05,1.3195
2016-04-04,1.3233
2016-04-01,1.3221
2016-03-31,1.3050
2016-03-30,1.6774
2016-03-29,1.6483
2016-03-28,1.6248
2016-03-24,1.6263
2016-03-23,1.6210
2016-03-22,1.6358
2016-03-21,1.6358
2016-03-18,1.6382
2016-03-17,1.6736
2016-03-16,1.6315
2016-03-15,1.6244
2016-03-14,1.6411
2016-03-11,1.6516
2016-03-10,1.6134
2016-03-09,1.6186
2016-03-08,1.6000
2016-03-07,1.6095
2016-03-04,1.6100
2016-03-03,1.6516
2016-03-02,1.6105
2016-03-01,1.5823
2016-02-29,1.5326
2016-02-26,1.5751
2016-02-25,1.6411
2016-02-24,1.5938
2016-02-23,1.5861
2016-02-22,1.6076
2016-02-19,1.5981
2016-02-18,1.5622
2016-02-17,1.5966
2016-02-16,1.5173
2016-02-12,1.4795
2016-02-11,1.4618
2016-02-10,1.4738
2016-02-09,1.4599
2016-02-08,1.4666
2016-02-05,1.5273
2016-02-04,1.5326
2016-02-03,1.5297
2016-02-02,1.6253
2016-02-01,1.6612
2016-01-29,1.6645
2016-01-28,1.6110
2016-01-27,1.6444
2016-01-26,1.5708
2016-01-25,1.5703
2016-01-22,1.5441
2016-01-21,1.5507
2016-01-20,1.6038
2016-01-19,1.6746
