Period,Open,High,Low,Close,Volume
2016-11-30,50.200000,50.200000,48.350000,49.000000,250428
2016-11-29,49.000000,51.450000,49.000000,50.150000,180354
2016-11-28,49.150000,49.150000,48.700000,48.800000,194186
2016-11-25,48.700000,49.300000,48.700000,49.150000,31462
2016-11-23,48.200000,48.750000,47.375000,48.600000,109357
2016-11-22,48.550000,48.650000,47.950000,48.450000,117559
2016-11-21,47.450000,48.350000,47.450000,48.200000,88242
2016-11-18,47.050000,47.814200,47.000000,47.350000,81150
2016-11-17,46.700000,47.250000,46.350000,47.050000,134134
2016-11-16,47.000000,47.250000,46.300000,46.450000,157434
2016-11-15,48.800000,49.000000,47.000000,47.000000,112963
2016-11-14,49.750000,50.100000,48.850000,49.200000,112496
2016-11-11,49.150000,49.550000,47.950000,49.150000,139916
2016-11-10,49.050000,50.050000,47.900000,49.000000,119449
2016-11-09,45.850000,48.450000,45.750000,48.400000,85399
2016-11-08,47.250000,47.250000,46.200000,46.450000,75407
2016-11-07,45.600000,47.350000,45.175000,47.300000,126157
2016-11-04,42.650000,45.300000,42.650000,44.950000,185247
2016-11-03,42.550000,43.200000,42.350000,42.600000,54603
2016-11-02,42.200000,42.850000,42.175000,42.450000,33674
2016-11-01,43.500000,43.500000,42.100000,42.400000,51338
2016-10-31,42.950000,43.550000,42.500000,43.450000,49316
2016-10-28,42.750000,43.850000,42.550000,42.750000,46429
2016-10-27,43.050000,43.300000,42.700000,42.750000,39416
2016-10-26,43.850000,44.200000,42.750000,42.750000,40915
2016-10-25,45.300000,45.300000,44.000000,44.200000,90552
2016-10-24,44.400000,45.550000,44.275000,45.300000,136944
2016-10-21,43.200000,44.000000,42.750000,43.950000,45949
2016-10-20,43.400000,43.950000,43.150000,43.700000,47685
2016-10-19,43.350000,43.950000,42.400000,43.600000,64264
2016-10-18,42.900000,43.350000,42.400000,43.200000,40458
2016-10-17,42.100000,42.450000,41.700000,42.300000,49685
2016-10-14,42.640000,43.550000,42.070000,42.280000,114463
2016-10-13,41.990000,42.630000,41.550000,42.490000,94425
