Period,Price to Book Value
2016-11-30,1.8700
2016-11-29,1.9139
2016-11-28,1.8624
2016-11-25,1.8757
2016-11-23,1.8547
2016-11-22,1.8490
2016-11-21,1.8395
2016-11-18,1.8070
2016-11-17,1.7956
2016-11-16,1.7727
2016-11-15,1.7937
2016-11-14,1.8776
2016-11-11,1.8757
2016-11-10,1.8700
2016-11-09,1.8471
2016-11-08,1.7727
2016-11-07,1.8051
2016-11-04,1.7154
2016-11-03,1.6257
2016-11-02,1.6200
2016-11-01,1.6181
2016-10-31,1.6582
2016-10-28,1.6315
2016-10-27,1.6315
2016-10-26,1.6315
2016-10-25,1.6868
2016-10-24,1.7288
2016-10-21,1.6773
2016-10-20,1.6677
2016-10-19,1.6639
2016-10-18,1.6486
2016-10-17,1.6143
2016-10-14,1.6135
2016-10-13,1.6215
2016-10-12,1.6173
2016-10-11,1.5903
2016-10-10,1.6422
2016-10-07,1.6101
2016-10-06,1.6486
2016-10-05,1.6788
2016-10-04,1.6906
2016-10-03,1.6670
2016-09-30,1.6708
2016-09-29,1.6737
2016-09-28,1.7003
2016-09-27,1.6737
2016-09-26,1.6733
2016-09-23,1.6956
2016-09-22,1.7091
2016-09-21,1.6420
2016-09-20,1.6208
2016-09-19,1.6332
2016-09-16,1.6104
2016-09-15,1.6127
2016-09-14,1.5811
2016-09-13,1.6019
2016-09-12,1.6336
2016-09-09,1.6000
2016-09-08,1.6644
2016-09-07,1.6879
2016-09-06,1.6644
2016-09-02,1.6451
2016-09-01,1.6158
2016-08-31,1.6054
2016-08-30,1.6135
2016-08-29,1.6004
2016-08-26,1.5965
2016-08-25,1.6162
2016-08-24,1.5969
2016-08-23,1.6185
2016-08-22,1.6000
2016-08-19,1.5715
2016-08-18,1.5819
2016-08-17,1.5896
2016-08-16,1.5938
2016-08-15,1.6289
2016-08-12,1.6270
2016-08-11,1.6270
2016-08-10,1.6332
2016-08-09,1.6613
2016-08-08,1.6710
2016-08-05,1.6667
2016-08-04,1.6501
2016-08-03,1.6432
2016-08-02,1.6370
2016-08-01,1.6706
2016-07-29,1.6702
2016-07-28,1.6740
2016-07-27,1.6898
2016-07-26,1.6806
2016-07-25,1.6767
2016-07-22,1.6775
2016-07-21,1.6659
2016-07-20,1.6424
2016-07-19,1.6459
2016-07-18,1.6447
2016-07-15,1.6336
2016-07-14,1.6262
2016-07-13,1.6309
2016-07-12,1.6131
2016-07-11,1.5788
2016-07-08,1.5807
2016-07-07,1.5241
2016-07-06,1.5268
2016-07-05,1.5217
2016-07-01,1.5322
2016-06-30,1.5522
2016-06-29,1.5271
2016-06-28,1.5154
2016-06-27,1.4873
2016-06-24,1.5434
2016-06-23,1.6353
2016-06-22,1.6291
2016-06-21,1.6435
2016-06-20,1.6042
2016-06-17,1.5874
2016-06-16,1.5925
2016-06-15,1.6050
2016-06-14,1.6046
2016-06-13,1.6011
2016-06-10,1.6307
2016-06-09,1.6455
2016-06-08,1.6392
2016-06-07,1.6186
2016-06-06,1.6069
2016-06-03,1.5855
2016-06-02,1.5898
2016-06-01,1.5843
2016-05-31,1.5730
2016-05-27,1.5680
2016-05-26,1.5652
2016-05-25,1.5536
2016-05-24,1.5368
2016-05-23,1.5092
2016-05-20,1.5119
2016-05-19,1.4905
2016-05-18,1.5080
2016-05-17,1.5127
2016-05-16,1.5201
2016-05-13,1.5014
2016-05-12,1.4955
2016-05-11,1.4827
2016-05-10,1.4994
2016-05-09,1.4889
2016-05-06,1.4566
2016-05-05,1.4258
2016-05-04,1.4305
2016-05-03,1.4243
2016-05-02,1.4402
2016-04-29,1.4332
2016-04-28,1.4263
2016-04-27,1.4240
2016-04-26,1.4259
2016-04-25,1.3867
2016-04-22,1.3918
2016-04-21,1.3945
2016-04-20,1.4022
2016-04-19,1.4170
2016-04-18,1.4053
2016-04-15,1.3995
2016-04-14,1.3914
2016-04-13,1.3945
2016-04-12,1.3669
2016-04-11,1.3584
2016-04-08,1.3510
2016-04-07,1.3401
2016-04-06,1.3429
2016-04-05,1.3460
2016-04-04,1.3498
2016-04-01,1.3487
2016-03-31,1.3312
2016-03-30,1.3722
2016-03-29,1.3483
2016-03-28,1.3292
2016-03-24,1.3304
2016-03-23,1.3261
2016-03-22,1.3382
2016-03-21,1.3382
2016-03-18,1.3401
2016-03-17,1.3691
2016-03-16,1.3347
2016-03-15,1.3288
2016-03-14,1.3425
2016-03-11,1.3511
2016-03-10,1.3198
2016-03-09,1.3241
2016-03-08,1.3088
2016-03-07,1.3167
2016-03-04,1.3171
2016-03-03,1.3511
2016-03-02,1.3174
2016-03-01,1.2944
2016-02-29,1.2537
2016-02-26,1.2885
2016-02-25,1.3425
2016-02-24,1.3038
2016-02-23,1.2975
2016-02-22,1.3151
2016-02-19,1.3073
2016-02-18,1.2780
2016-02-17,1.3061
2016-02-16,1.2412
2016-02-12,1.2103
2016-02-11,1.1958
2016-02-10,1.2056
2016-02-09,1.1943
2016-02-08,1.1997
2016-02-05,1.2494
2016-02-04,1.2537
2016-02-03,1.2514
2016-02-02,1.3296
2016-02-01,1.3589
2016-01-29,1.3616
2016-01-28,1.3178
2016-01-27,1.3452
2016-01-26,1.2850
2016-01-25,1.2846
2016-01-22,1.2631
2016-01-21,1.2686
2016-01-20,1.3120
2016-01-19,1.3698
2016-01-15,1.3323
2016-01-14,1.3503
2016-01-13,1.3100
2016-01-12,1.3178
2016-01-11,1.3108
2016-01-08,1.3573
2016-01-07,1.3972
2016-01-06,1.4219
2016-01-05,1.4289
2016-01-04,1.4281
2015-12-31,1.4586
2015-12-30,1.8664
2015-12-29,1.8748
2015-12-28,1.8451
2015-12-24,1.8684
2015-12-23,1.8703
2015-12-22,1.8738
2015-12-21,1.8421
2015-12-18,1.8233
2015-12-17,1.8491
2015-12-16,1.8926
2015-12-15,1.8792
2015-12-14,1.8466
2015-12-11,1.9045
2015-12-10,1.9510
2015-12-09,1.9347
