,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
0,stocktwits,SSTK,0,1.67,-1.67,0,1,0,1,43494,11/30/16,00:54.7
1,stocktwits,SSTK,0.5,0,0.5,1,0,0,1,43494,11/29/16,00:48.3
2,stocktwits,SSTK,2.43,0,2.43,1,0,0,2,43494,11/28/16,00:53.5
3,stocktwits,SSTK,0,0,0,0,0,0,2,43494,11/27/16,00:50.8
4,stocktwits,SSTK,1.87,0,1.87,1,0,0,2,43494,11/24/16,00:54.3
5,stocktwits,SSTK,0,2.79,-2.79,0,1,0,1,43494,11/21/16,00:58.8
6,stocktwits,SSTK,0,0,0,0,0,0,1,43494,11/20/16,01:06.9
7,stocktwits,SSTK,0,0,0,0,0,0,1,43494,11/17/16,01:07.5
8,stocktwits,SSTK,2.14,0,2.14,1,0,0,1,43494,11/16/16,00:58.5
9,stocktwits,SSTK,1.6,0,1.6,1,0,0,2,43494,11/15/16,00:55.3
10,stocktwits,SSTK,0,0,0,0,0,0,2,43494,11/14/16,01:02.1
11,stocktwits,SSTK,0,0,0,0,0,0,1,43494,11/13/16,00:57.0
12,stocktwits,SSTK,0,0,0,0,0,0,1,43494,11/12/16,00:51.1
13,stocktwits,SSTK,0,0,0,0,0,0,1,43494,11/10/16,01:05.3
14,stocktwits,SSTK,0,0,0,0,0,0,1,43494,11/8/16,00:53.4
15,stocktwits,SSTK,0,0,0,0,0,0,4,43494,11/7/16,01:02.0
16,stocktwits,SSTK,1.65,0,1.65,1,0,0,1,43494,11/6/16,00:49.0
17,stocktwits,SSTK,1.5,0,1.5,2,0,0,6,43494,11/5/16,00:49.0
18,stocktwits,SSTK,3,2.5,0.5,1,1,1,23,43494,11/4/16,01:35.0
19,stocktwits,SSTK,0,0,0,0,0,0,11,43494,11/3/16,01:15.1
20,stocktwits,SSTK,0,0,0,0,0,0,1,43494,11/1/16,01:02.3
21,stocktwits,SSTK,0,1.94,-1.94,0,1,0,1,43494,10/31/16,00:54.0
22,stocktwits,SSTK,0.47,1.76,-1.29,1,1,1,4,43494,10/29/16,00:48.3
23,stocktwits,SSTK,1.145,0,1.145,2,0,0,3,43494,10/28/16,01:22.7
24,stocktwits,SSTK,0,2,-2,0,1,0,1,43494,10/27/16,01:29.0
25,stocktwits,SSTK,0,0,0,0,0,0,2,43494,10/26/16,00:47.7
26,stocktwits,SSTK,0,0,0,0,0,0,2,43494,10/25/16,00:53.9
27,stocktwits,SSTK,2.17,0,2.17,1,0,0,1,43494,10/24/16,01:07.2
28,stocktwits,SSTK,0,0,0,0,0,0,2,43494,10/23/16,00:50.9
29,stocktwits,SSTK,0,0,0,0,0,0,1,43494,10/22/16,00:53.0
30,stocktwits,SSTK,1.67,0,1.67,1,0,0,1,43494,10/21/16,01:11.6
31,stocktwits,SSTK,0,0,0,0,0,0,1,43494,10/20/16,01:16.0
32,stocktwits,SSTK,1.81,0,1.81,1,0,0,1,43494,10/19/16,01:25.5
33,stocktwits,SSTK,1.9,0,1.9,1,0,0,2,43494,10/18/16,01:16.8
34,stocktwits,SSTK,0,1.67,-1.67,0,1,0,1,43494,10/16/16,01:10.4
35,stocktwits,SSTK,0,0,0,0,0,0,1,43494,10/13/16,01:16.6
36,stocktwits,SSTK,2.5,0,2.5,1,0,0,2,43494,10/11/16,01:04.0
37,stocktwits,SSTK,0,0,0,0,0,0,2,43494,10/10/16,01:01.4
38,stocktwits,SSTK,0,0,0,0,0,0,1,43494,10/9/16,01:07.9
39,stocktwits,SSTK,0,0,0,0,0,0,2,43494,10/8/16,01:20.5
40,stocktwits,SSTK,1.81,0,1.81,1,0,0,1,43494,10/7/16,01:09.0
41,stocktwits,SSTK,2.16,0,2.16,2,0,0,2,43494,10/6/16,00:55.9
42,stocktwits,SSTK,0,1.67,-1.67,0,1,0,2,43494,10/4/16,01:03.0
43,stocktwits,SSTK,0,0,0,0,0,0,4,43494,10/2/16,01:09.1
44,stocktwits,SSTK,0,0,0,0,0,0,1,43494,10/1/16,00:48.0
45,stocktwits,SSTK,1.82,2.6,-0.78,1,1,1,3,43494,9/28/16,00:43.3
46,stocktwits,SSTK,0,0,0,0,0,0,1,43494,9/26/16,01:12.4
47,stocktwits,SSTK,2.155,0,2.155,2,0,0,2,43494,9/25/16,00:50.1
48,stocktwits,SSTK,1.085,0,1.085,2,0,0,4,43494,9/23/16,00:47.3
49,stocktwits,SSTK,2.22,1.67,0.55,2,1,2,4,43494,9/22/16,00:44.2
50,stocktwits,SSTK,2.45,0,2.45,2,0,0,4,43494,9/21/16,01:16.0
51,stocktwits,SSTK,2.88,0.21,2.67,1,1,1,5,43494,9/20/16,01:12.3
52,stocktwits,SSTK,2.5,0,2.5,1,0,0,4,43494,9/19/16,01:04.4
53,stocktwits,SSTK,1.9,0,1.9,1,0,0,3,43494,9/18/16,01:08.8
54,stocktwits,SSTK,0,0,0,0,0,0,3,43494,9/16/16,00:55.4
55,stocktwits,SSTK,0,0,0,0,0,0,1,43494,9/15/16,00:40.8
56,stocktwits,SSTK,0,0,0,0,0,0,2,43494,9/14/16,01:02.4
57,stocktwits,SSTK,0,0,0,0,0,0,1,43494,9/12/16,01:16.3
58,stocktwits,SSTK,2.38,0,2.38,1,0,0,5,43494,9/11/16,01:10.7
59,stocktwits,SSTK,0,0,0,0,0,0,1,43494,9/10/16,01:19.8
60,stocktwits,SSTK,1.81,0,1.81,1,0,0,4,43494,9/9/16,01:18.8
61,stocktwits,SSTK,2.38,0.755,1.625,1,2,0.5,6,43494,9/8/16,01:10.8
62,stocktwits,SSTK,0,1.5,-1.5,0,1,0,3,43494,9/7/16,01:11.5
63,stocktwits,SSTK,3.2,0,3.2,1,0,0,6,43494,9/6/16,01:28.2
64,stocktwits,SSTK,2.2,0,2.2,1,0,0,5,43494,9/5/16,01:10.3
65,stocktwits,SSTK,0,1.67,-1.67,0,1,0,4,43494,9/4/16,01:09.7
66,stocktwits,SSTK,0,1.5,-1.5,0,1,0,3,43494,9/3/16,01:16.5
67,stocktwits,SSTK,0,0,0,0,0,0,1,43494,9/2/16,01:21.9
68,stocktwits,SSTK,2.38,0,2.38,1,0,0,3,43494,9/1/16,01:12.3
69,stocktwits,SSTK,0,0,0,0,0,0,1,43494,8/31/16,01:13.0
70,stocktwits,SSTK,2.38,0,2.38,1,0,0,3,43494,8/30/16,01:28.3
71,stocktwits,SSTK,0,0,0,0,0,0,1,43494,8/28/16,01:13.6
72,stocktwits,SSTK,0,0,0,0,0,0,1,43494,8/26/16,01:13.1
73,stocktwits,SSTK,0,0,0,0,0,0,1,43494,8/25/16,01:12.0
74,stocktwits,SSTK,0,0,0,0,0,0,1,43494,8/23/16,01:13.5
75,stocktwits,SSTK,0,0,0,0,0,0,1,43494,8/22/16,01:28.5
76,stocktwits,SSTK,0,0,0,0,0,0,3,43494,8/21/16,01:17.9
77,stocktwits,SSTK,1.81,0,1.81,1,0,0,2,43494,8/20/16,01:18.5
78,stocktwits,SSTK,0,0,0,0,0,0,1,43494,8/19/16,01:14.6
79,stocktwits,SSTK,0,0,0,0,0,0,2,43494,8/18/16,01:32.3
80,stocktwits,SSTK,0,0,0,0,0,0,1,43494,8/17/16,01:15.4
81,stocktwits,SSTK,0,0,0,0,0,0,1,43494,8/16/16,01:29.1
82,stocktwits,SSTK,0,1.67,-1.67,0,1,0,5,43494,8/15/16,01:28.5
83,stocktwits,SSTK,0.3,0,0.3,1,0,0,3,43494,8/13/16,01:15.9
84,stocktwits,SSTK,0,2.2,-2.2,0,1,0,6,43494,8/12/16,01:28.7
85,stocktwits,SSTK,0,0,0,0,0,0,3,43494,8/10/16,01:27.7
86,stocktwits,SSTK,0,0,0,0,0,0,5,43494,8/9/16,01:27.2
87,stocktwits,SSTK,0,0,0,0,0,0,2,43494,8/8/16,01:26.5
88,stocktwits,SSTK,0,2.77,-2.77,0,1,0,3,43494,8/6/16,01:21.7
89,stocktwits,SSTK,0,0,0,0,0,0,5,43494,8/5/16,01:23.1
90,stocktwits,SSTK,1.4,1.29,0.11,2,2,1,23,43494,8/4/16,01:23.1
91,stocktwits,SSTK,2.11,0.04,2.07,1,1,1,5,43494,8/3/16,01:23.3
92,stocktwits,SSTK,2.11,0,2.11,1,0,0,1,43494,8/1/16,01:22.6
93,stocktwits,SSTK,0,1.67,-1.67,0,1,0,1,43494,7/31/16,01:18.1
94,stocktwits,SSTK,0,0,0,0,0,0,1,43494,7/29/16,01:22.4
95,stocktwits,SSTK,2.11,0,2.11,1,0,0,1,43494,7/28/16,01:22.2
96,stocktwits,SSTK,0,0,0,0,0,0,2,43494,7/27/16,01:24.1
97,stocktwits,SSTK,0,0,0,0,0,0,2,43494,7/26/16,01:24.3
98,stocktwits,SSTK,0,1.67,-1.67,0,1,0,1,43494,7/25/16,01:22.6
99,stocktwits,SSTK,0,0,0,0,0,0,2,43494,7/23/16,01:17.8
100,stocktwits,SSTK,1.06,1.67,-0.61,1,1,1,4,43494,7/18/16,01:27.2
101,stocktwits,SSTK,0,0,0,0,0,0,1,43494,7/17/16,01:03.9
