Period,PE Ratio (TTM)
2016-11-30,57.3902
2016-11-29,58.6220
2016-11-28,59.4390
2016-11-25,59.6220
2016-11-23,60.3537
2016-11-22,60.4390
2016-11-21,60.4756
2016-11-18,60.4878
2016-11-17,60.5366
2016-11-16,60.0610
2016-11-15,59.8780
2016-11-14,60.0122
2016-11-11,60.1220
2016-11-10,58.0366
2016-11-09,59.1585
2016-11-08,59.7439
2016-11-07,60.5854
2016-11-04,59.0244
2016-11-03,66.1829
2016-11-02,68.1220
2016-11-01,69.6463
2016-10-31,71.9390
2016-10-28,72.0610
2016-10-27,73.0854
2016-10-26,74.7805
2016-10-25,77.3049
2016-10-24,78.1829
2016-10-21,77.8902
2016-10-20,76.3659
2016-10-19,76.9268
2016-10-18,75.2927
2016-10-17,75.3415
2016-10-14,75.6951
2016-10-13,75.3415
2016-10-12,75.9878
2016-10-11,74.8293
2016-10-10,77.9390
2016-10-07,76.6341
2016-10-06,76.1585
2016-10-05,76.8780
2016-10-04,77.2927
2016-10-03,77.9390
2016-09-30,77.6829
2016-09-29,93.7164
2016-09-28,95.0896
2016-09-27,94.5224
2016-09-26,95.2090
2016-09-23,96.4925
2016-09-22,95.5075
2016-09-21,94.7015
2016-09-20,93.8955
2016-09-19,91.7313
2016-09-16,90.8209
2016-09-15,90.8060
2016-09-14,88.4030
2016-09-13,87.6866
2016-09-12,88.7612
2016-09-09,89.7761
2016-09-08,91.4328
2016-09-07,89.3134
2016-09-06,88.2985
2016-09-02,87.9403
2016-09-01,86.2388
2016-08-31,86.5373
2016-08-30,87.8657
2016-08-29,87.8955
2016-08-26,86.7463
2016-08-25,86.7463
2016-08-24,86.3881
2016-08-23,88.4776
2016-08-22,86.7463
2016-08-19,89.3134
2016-08-18,90.0149
2016-08-17,90.7910
2016-08-16,91.1940
2016-08-15,91.2836
2016-08-12,91.1940
2016-08-11,88.6119
2016-08-10,87.5522
2016-08-09,86.6119
2016-08-08,86.9851
2016-08-05,85.7015
2016-08-04,86.0448
2016-08-03,85.8358
2016-08-02,84.7612
2016-08-01,83.5224
2016-07-29,82.2239
2016-07-28,82.7164
2016-07-27,80.1642
2016-07-26,81.4478
2016-07-25,80.3731
2016-07-22,79.5075
2016-07-21,79.0746
2016-07-20,78.3433
2016-07-19,78.3582
2016-07-18,79.0896
2016-07-15,78.3134
2016-07-14,82.2388
2016-07-13,85.0000
2016-07-12,83.0000
2016-07-11,72.6866
2016-07-08,71.4776
2016-07-07,69.8358
2016-07-06,69.3433
2016-07-05,68.5075
2016-07-01,68.5075
2016-06-30,68.3582
2016-06-29,68.9355
2016-06-28,65.9839
2016-06-27,66.5645
2016-06-24,72.6613
2016-06-23,73.8387
2016-06-22,74.2258
2016-06-21,72.4032
2016-06-20,72.8548
2016-06-17,71.6774
2016-06-16,71.6935
2016-06-15,70.2903
2016-06-14,68.8710
2016-06-13,67.5484
2016-06-10,68.3226
2016-06-09,70.0484
2016-06-08,69.9677
2016-06-07,70.4839
2016-06-06,70.0968
2016-06-03,68.9839
2016-06-02,68.9032
2016-06-01,68.7742
2016-05-31,67.6774
2016-05-27,67.6613
2016-05-26,67.4677
2016-05-25,68.1935
2016-05-24,67.1129
2016-05-23,64.6935
2016-05-20,64.6129
2016-05-19,63.9194
2016-05-18,63.3387
2016-05-17,64.0323
2016-05-16,64.6290
2016-05-13,64.5161
2016-05-12,63.8710
2016-05-11,65.1774
2016-05-10,65.7742
2016-05-09,65.0806
2016-05-06,65.8387
2016-05-05,65.7097
2016-05-04,64.8065
2016-05-03,65.0161
2016-05-02,67.3387
2016-04-29,66.1613
2016-04-28,67.0323
2016-04-27,67.1129
2016-04-26,67.6613
2016-04-25,68.0645
2016-04-22,66.4677
2016-04-21,66.1290
2016-04-20,66.1774
2016-04-19,64.9355
2016-04-18,64.3548
2016-04-15,62.5323
2016-04-14,61.3226
2016-04-13,62.2097
2016-04-12,59.2097
2016-04-11,59.4032
2016-04-08,64.1613
2016-04-07,63.7903
2016-04-06,62.3871
2016-04-05,60.2581
2016-04-04,61.6774
2016-04-01,60.4355
2016-03-31,59.2419
2016-03-30,68.7778
2016-03-29,67.6111
2016-03-28,65.8889
2016-03-24,64.0370
2016-03-23,62.2963
2016-03-22,66.1111
2016-03-21,66.1667
2016-03-18,66.1296
2016-03-17,66.1296
2016-03-16,65.5741
2016-03-15,63.7037
2016-03-14,69.2778
2016-03-11,68.3519
2016-03-10,65.8704
2016-03-09,66.2963
2016-03-08,65.7593
2016-03-07,69.2593
2016-03-04,67.8704
2016-03-03,66.8148
2016-03-02,65.0000
2016-03-01,64.3704
2016-02-29,64.6296
2016-02-26,64.2222
2016-02-25,65.8519
2016-02-24,64.4630
2016-02-23,56.9815
2016-02-22,57.0370
2016-02-19,56.4074
2016-02-18,57.7037
2016-02-17,58.7407
