Period,PEG Ratio (TTM)
2016-11-30,1.1068
2016-11-29,1.1306
2016-11-28,1.1463
2016-11-25,1.1499
2016-11-23,1.1640
2016-11-22,1.1656
2016-11-21,1.1663
2016-11-18,1.1666
2016-11-17,1.1675
2016-11-16,1.1583
2016-11-15,1.1548
2016-11-14,1.1574
2016-11-11,1.1595
2016-11-10,1.1193
2016-11-09,1.1409
2016-11-08,1.1522
2016-11-07,1.1684
2016-11-04,1.1383
2016-11-03,1.2764
2016-11-02,1.3138
2016-11-01,1.3432
2016-10-31,1.3874
2016-10-28,1.3897
2016-10-27,1.4095
2016-10-26,1.4422
2016-10-25,1.4909
2016-10-24,1.5078
2016-10-21,1.5022
2016-10-20,1.4728
2016-10-19,1.4836
2016-10-18,1.4521
2016-10-17,1.4530
2016-10-14,1.4598
2016-10-13,1.4530
2016-10-12,1.4655
2016-10-11,1.4431
2016-10-10,1.5031
2016-10-07,1.4779
2016-10-06,1.4688
2016-10-05,1.4826
2016-10-04,1.4906
2016-10-03,1.5031
2016-09-30,1.4982
2016-09-29,6.0395
2016-09-28,6.1280
2016-09-27,6.0914
2016-09-26,6.1357
2016-09-23,6.2184
2016-09-22,6.1549
2016-09-21,6.1030
2016-09-20,6.0510
2016-09-19,5.9116
2016-09-16,5.8529
2016-09-15,5.8519
2016-09-14,5.6971
2016-09-13,5.6509
2016-09-12,5.7202
2016-09-09,5.7856
2016-09-08,5.8923
2016-09-07,5.7558
2016-09-06,5.6903
2016-09-02,5.6673
2016-09-01,5.5576
2016-08-31,5.5768
2016-08-30,5.6625
2016-08-29,5.6644
2016-08-26,5.5903
2016-08-25,5.5903
2016-08-24,5.5672
2016-08-23,5.7019
2016-08-22,5.5903
2016-08-19,5.7558
2016-08-18,5.8010
2016-08-17,5.8510
2016-08-16,5.8769
2016-08-15,5.8827
2016-08-12,5.8769
2016-08-11,5.7105
2016-08-10,5.6423
2016-08-09,5.5817
2016-08-08,5.6057
2016-08-05,5.5230
2016-08-04,5.5451
2016-08-03,5.5316
2016-08-02,5.4624
2016-08-01,5.3826
2016-07-29,5.2989
2016-07-28,5.3306
2016-07-27,5.1661
2016-07-26,5.2489
2016-07-25,5.1796
2016-07-22,5.1238
2016-07-21,5.0959
2016-07-20,5.0488
2016-07-19,5.0498
2016-07-18,5.0969
2016-07-15,5.0469
2016-07-14,5.2998
2016-07-13,5.4778
2016-07-12,5.3489
2016-07-11,4.6842
2016-07-08,4.6063
2016-07-07,4.5005
2016-07-06,4.4688
2016-07-05,4.4149
2016-07-01,4.4149
2016-06-30,4.4053
2016-06-29,7.8586
2016-06-28,7.5222
2016-06-27,7.5884
2016-06-24,8.2834
2016-06-23,8.4176
2016-06-22,8.4617
2016-06-21,8.2540
2016-06-20,8.3055
2016-06-17,8.1712
2016-06-16,8.1731
2016-06-15,8.0131
2016-06-14,7.8513
2016-06-13,7.7005
2016-06-10,7.7888
2016-06-09,7.9855
2016-06-08,7.9763
2016-06-07,8.0352
2016-06-06,7.9910
2016-06-03,7.8642
2016-06-02,7.8550
2016-06-01,7.8403
2016-05-31,7.7152
2016-05-27,7.7134
2016-05-26,7.6913
2016-05-25,7.7741
2016-05-24,7.6509
2016-05-23,7.3751
2016-05-20,7.3659
2016-05-19,7.2868
2016-05-18,7.2206
2016-05-17,7.2997
2016-05-16,7.3677
2016-05-13,7.3548
