Period,Open,High,Low,Close,Volume
2016-11-30,48.020000,48.260000,46.660000,47.060000,419972
2016-11-29,48.900000,48.930000,47.740000,48.070000,294752
2016-11-28,48.720000,49.250000,48.435000,48.740000,230402
2016-11-25,49.660000,49.660000,48.694000,48.890000,97101
2016-11-23,49.300000,49.710000,48.810000,49.490000,192819
2016-11-22,49.720000,49.910000,49.360000,49.560000,238917
2016-11-21,49.580000,50.120000,49.380000,49.590000,286686
2016-11-18,49.700000,49.960000,48.720000,49.600000,226023
2016-11-17,49.230000,50.160000,49.230000,49.640000,262081
2016-11-16,48.750000,49.700000,48.400000,49.250000,217413
2016-11-15,49.390000,49.950000,48.730000,49.100000,252181
2016-11-14,49.220000,49.730000,48.600000,49.210000,719594
2016-11-11,47.500000,49.300000,47.140000,49.300000,346085
2016-11-10,48.800000,49.470000,47.000000,47.590000,703712
2016-11-09,47.740000,49.182500,47.470000,48.510000,430399
2016-11-08,49.410000,49.690000,48.445000,48.990000,577826
2016-11-07,47.710000,49.930000,47.710000,49.680000,880278
2016-11-04,47.900000,51.330000,47.670000,48.400000,1319310
2016-11-03,55.750000,56.640000,53.930000,54.270000,611534
2016-11-02,57.190000,57.567500,55.275000,55.860000,442437
2016-11-01,58.950000,59.440000,56.720000,57.110000,328851
2016-10-31,59.330000,59.859900,58.380000,58.990000,272252
2016-10-28,59.650000,60.850000,58.690000,59.090000,279600
2016-10-27,61.570000,62.660000,59.570000,59.930000,257563
2016-10-26,62.890000,63.770000,61.310000,61.320000,231460
2016-10-25,64.240000,64.600000,63.320000,63.390000,189492
2016-10-24,64.460000,64.510000,63.460000,64.110000,177121
2016-10-21,62.180000,64.160000,61.760000,63.870000,143529
2016-10-20,63.040000,63.040000,61.950100,62.620000,156361
2016-10-19,62.040000,63.590000,61.210000,63.080000,153391
2016-10-18,62.590000,62.690000,61.340000,61.740000,130528
2016-10-17,61.950000,62.525000,60.630000,61.780000,128833
2016-10-14,62.110000,62.985000,61.310000,62.070000,261938
2016-10-13,61.750000,62.030000,60.659000,61.780000,327041
2016-10-12,61.470000,63.210000,61.030000,62.310000,168031
2016-10-11,63.750000,64.010000,61.230000,61.360000,286877
2016-10-10,62.860000,64.247800,62.740000,63.910000,162956
2016-10-07,62.720000,64.509900,62.500000,62.840000,279510
2016-10-06,62.620000,62.990000,61.670000,62.450000,188413
2016-10-05,63.500000,63.660000,62.710000,63.040000,336531
2016-10-04,64.000000,64.630000,63.030000,63.380000,175876
2016-10-03,63.790000,64.810000,63.120000,63.910000,264666
2016-09-30,63.200000,64.280000,62.750000,63.700000,211398
2016-09-29,63.580000,63.950000,62.670000,62.790000,222620
2016-09-28,63.370000,64.100000,62.500000,63.710000,168180
2016-09-27,63.780000,64.520000,63.180000,63.330000,344603
2016-09-26,64.070000,64.265000,62.360000,63.790000,304131
2016-09-23,63.340000,65.160000,63.200000,64.650000,314209
2016-09-22,63.890000,64.870000,63.714000,63.990000,263685
2016-09-21,63.140000,63.520000,62.480000,63.450000,225682
2016-09-20,62.000000,63.530000,61.400000,62.910000,405017
2016-09-19,61.100000,62.499900,61.020000,61.460000,324477
2016-09-16,60.950000,61.160000,59.520000,60.850000,368154
2016-09-15,59.310000,61.080000,59.280000,60.840000,322889
2016-09-14,58.950000,59.490000,58.690000,59.230000,153322
2016-09-13,59.250000,59.350000,57.980000,58.750000,136820
2016-09-12,59.300000,59.970000,58.340000,59.470000,232501
2016-09-09,60.950000,61.080000,59.325000,60.150000,400675
2016-09-08,60.010000,62.820000,59.770000,61.260000,743135
2016-09-07,58.980000,59.890000,58.230000,59.840000,160759
2016-09-06,58.980000,59.560000,58.900000,59.160000,207995
2016-09-02,58.120000,58.920000,57.460000,58.920000,248804
2016-09-01,58.230000,59.430000,57.130000,57.780000,502900
2016-08-31,58.890000,59.020000,57.730000,57.980000,289475
2016-08-30,59.040000,60.030000,58.350000,58.870000,286547
2016-08-29,57.980000,59.450000,57.620000,58.890000,168862
2016-08-26,58.110000,58.692500,57.480000,58.120000,218480
2016-08-25,57.570000,58.470000,57.570000,58.120000,347540
2016-08-24,59.200000,59.650000,57.840000,57.880000,227623
2016-08-23,58.340000,60.220000,58.340000,59.280000,341204
2016-08-22,59.670000,60.475000,57.640000,58.120000,559477
2016-08-19,60.090000,60.530000,59.360000,59.840000,388372
2016-08-18,60.740000,61.320000,60.160300,60.310000,303625
2016-08-17,60.900000,61.330000,59.890000,60.830000,271288
2016-08-16,61.150000,61.510000,60.245000,61.100000,356795
2016-08-15,61.200000,61.995000,60.210000,61.160000,359585
2016-08-12,59.170000,61.190000,58.600000,61.100000,484624
2016-08-11,58.780000,59.610000,58.240000,59.370000,185390
2016-08-10,58.440000,58.880000,57.880000,58.660000,281300
2016-08-09,58.280000,59.000000,57.510000,58.030000,360474
2016-08-08,58.530000,58.590000,57.280000,58.280000,385094
2016-08-05,58.700000,58.999000,57.340000,57.420000,532234
2016-08-04,57.520000,58.990000,54.760000,57.650000,733701
2016-08-03,56.790000,57.930000,56.330000,57.510000,586438
2016-08-02,55.900000,56.850000,55.630000,56.790000,398436
