Period,Price to Book Value
2016-11-30,5.6175
2016-11-29,5.7381
2016-11-28,5.8180
2016-11-25,5.8360
2016-11-23,5.9076
2016-11-22,5.9159
2016-11-21,5.9195
2016-11-18,5.9207
2016-11-17,5.9255
2016-11-16,5.8789
2016-11-15,5.8610
2016-11-14,5.8741
2016-11-11,5.8849
2016-11-10,5.6808
2016-11-09,5.7906
2016-11-08,5.8479
2016-11-07,5.9303
2016-11-04,5.7775
2016-11-03,6.4782
2016-11-02,6.6680
2016-11-01,6.8172
2016-10-31,7.0416
2016-10-28,7.0535
2016-10-27,7.1538
2016-10-26,7.3197
2016-10-25,7.5668
2016-10-24,7.6527
2016-10-21,7.6241
2016-10-20,7.4749
2016-10-19,7.5298
2016-10-18,7.3698
2016-10-17,7.3746
2016-10-14,7.4092
2016-10-13,7.3746
2016-10-12,7.4379
2016-10-11,7.3245
2016-10-10,7.6289
2016-10-07,7.5011
2016-10-06,7.4546
2016-10-05,7.5250
2016-10-04,7.5656
2016-10-03,7.6289
2016-09-30,7.6038
2016-09-29,8.0205
2016-09-28,8.1380
2016-09-27,8.0894
2016-09-26,8.1482
2016-09-23,8.2580
2016-09-22,8.1737
2016-09-21,8.1048
2016-09-20,8.0358
2016-09-19,7.8506
2016-09-16,7.7727
2016-09-15,7.7714
2016-09-14,7.5657
2016-09-13,7.5044
2016-09-12,7.5964
2016-09-09,7.6832
2016-09-08,7.8250
2016-09-07,7.6436
2016-09-06,7.5568
2016-09-02,7.5261
2016-09-01,7.3805
2016-08-31,7.4061
2016-08-30,7.5197
2016-08-29,7.5223
2016-08-26,7.4239
2016-08-25,7.4239
2016-08-24,7.3933
2016-08-23,7.5721
2016-08-22,7.4239
2016-08-19,7.6436
2016-08-18,7.7037
2016-08-17,7.7701
2016-08-16,7.8046
2016-08-15,7.8123
2016-08-12,7.8046
2016-08-11,7.5836
2016-08-10,7.4929
2016-08-09,7.4124
2016-08-08,7.4444
2016-08-05,7.3345
2016-08-04,7.3639
2016-08-03,7.3460
2016-08-02,7.2541
2016-08-01,7.1480
2016-07-29,7.0369
2016-07-28,7.0574
2016-07-27,6.8396
2016-07-26,6.9491
2016-07-25,6.8574
2016-07-22,6.7836
2016-07-21,6.7466
2016-07-20,6.6842
2016-07-19,6.6855
2016-07-18,6.7479
2016-07-15,6.6817
2016-07-14,7.0166
2016-07-13,7.2522
2016-07-12,7.0816
2016-07-11,6.2016
2016-07-08,6.0985
2016-07-07,5.9584
2016-07-06,5.9164
2016-07-05,5.8451
2016-07-01,5.8451
2016-06-30,5.8323
2016-06-29,5.3968
2016-06-28,5.1657
2016-06-27,5.2111
2016-06-24,5.6884
2016-06-23,5.7806
2016-06-22,5.8109
2016-06-21,5.6682
2016-06-20,5.7036
2016-06-17,5.6114
2016-06-16,5.6127
2016-06-15,5.5028
2016-06-14,5.3917
2016-06-13,5.2882
2016-06-10,5.3488
2016-06-09,5.4839
2016-06-08,5.4776
2016-06-07,5.5180
2016-06-06,5.4877
2016-06-03,5.4005
2016-06-02,5.3942
2016-06-01,5.3841
2016-05-31,5.2983
2016-05-27,5.2970
2016-05-26,5.2818
2016-05-25,5.3387
2016-05-24,5.2541
2016-05-23,5.0647
2016-05-20,5.0584
2016-05-19,5.0041
2016-05-18,4.9586
2016-05-17,5.0129
2016-05-16,5.0596
2016-05-13,5.0508
2016-05-12,5.0003
2016-05-11,5.1025
2016-05-10,5.1493
2016-05-09,5.0950
2016-05-06,5.1543
2016-05-05,5.1442
2016-05-04,5.0735
2016-05-03,5.0899
2016-05-02,5.2717
2016-04-29,5.1796
2016-04-28,5.2653
2016-04-27,5.2717
2016-04-26,5.3147
2016-04-25,5.3464
2016-04-22,5.2210
2016-04-21,5.1944
2016-04-20,5.1982
2016-04-19,5.1006
2016-04-18,5.0550
2016-04-15,4.9119
2016-04-14,4.8168
2016-04-13,4.8865
2016-04-12,4.6509
2016-04-11,4.6661
2016-04-08,5.0398
2016-04-07,5.0107
2016-04-06,4.9005
2016-04-05,4.7332
2016-04-04,4.8447
2016-04-01,4.7472
2016-03-31,4.6534
2016-03-30,4.5412
2016-03-29,4.4641
2016-03-28,4.3504
2016-03-24,4.2281
2016-03-23,4.1132
2016-03-22,4.3651
2016-03-21,4.3688
2016-03-18,4.3663
2016-03-17,4.3663
2016-03-16,4.3296
2016-03-15,4.2061
2016-03-14,4.5742
2016-03-11,4.5130
2016-03-10,4.3492
2016-03-09,4.3773
2016-03-08,4.3419
2016-03-07,4.5729
2016-03-04,4.4812
2016-03-03,4.4115
2016-03-02,4.2917
2016-03-01,4.2501
2016-02-29,4.2673
2016-02-26,4.2404
2016-02-25,4.3480
2016-02-24,4.2563
2016-02-23,3.7623
2016-02-22,3.7660
2016-02-19,3.7244
2016-02-18,3.8535
2016-02-17,3.9227
2016-02-16,3.7459
2016-02-12,3.4454
2016-02-11,3.3229
2016-02-10,3.2487
2016-02-09,3.2277
2016-02-08,3.4590
2016-02-05,3.5455
2016-02-04,3.7706
2016-02-03,3.5690
2016-02-02,3.5740
2016-02-01,3.7014
2016-01-29,3.5727
2016-01-28,3.4924
2016-01-27,3.5208
2016-01-26,3.5826
2016-01-25,3.4627
2016-01-22,3.6123
2016-01-21,3.6915
2016-01-20,3.5282
2016-01-19,3.7286
2016-01-15,3.7224
2016-01-14,3.8213
2016-01-13,3.7051
2016-01-12,4.0204
2016-01-11,4.0056
2016-01-08,4.0093
2016-01-07,3.9734
2016-01-06,4.0130
2016-01-05,4.0365
2016-01-04,4.0266
2015-12-31,3.9994
2015-12-30,3.9421
2015-12-29,4.0210
2015-12-28,3.9618
2015-12-24,4.0099
2015-12-23,4.0099
2015-12-22,3.9409
2015-12-21,3.8633
2015-12-18,3.8768
2015-12-17,3.8288
2015-12-16,3.8620
2015-12-15,3.8744
2015-12-14,3.8571
2015-12-11,3.8904
2015-12-10,4.1232
2015-12-09,4.2427
2015-12-08,4.2094
2015-12-07,4.1922
