,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
0,stocktwits,XLB,0.13,0,0.13,1,0,0,5,19654,11/13/16,00:57.0
1,stocktwits,XLB,0,0,0,0,0,0,3,19654,11/12/16,00:51.1
2,stocktwits,XLB,0,2.6,-2.6,0,2,0,12,19654,11/11/16,00:50.8
3,stocktwits,XLB,2.89,0.74,2.15,2,1,2,9,19654,11/10/16,01:05.3
4,stocktwits,XLB,2.5,0,2.5,1,0,0,10,19654,11/9/16,00:50.9
5,stocktwits,XLB,0,0,0,0,0,0,7,19654,11/8/16,00:53.4
6,stocktwits,XLB,1.585,0,1.585,2,0,0,11,19654,11/7/16,01:02.0
7,stocktwits,XLB,0,2.7,-2.7,0,2,0,3,19654,11/6/16,00:49.0
8,stocktwits,XLB,2.54,2.7,-0.16,1,1,1,4,19654,11/5/16,00:49.0
9,stocktwits,XLB,0,0,0,0,0,0,4,19654,11/4/16,01:35.0
10,stocktwits,XLB,0,2.2,-2.2,0,1,0,4,19654,11/3/16,01:15.1
11,stocktwits,XLB,0,2.5,-2.5,0,1,0,7,19654,11/2/16,00:51.1
12,stocktwits,XLB,2.173333,0,2.173333,3,0,0,12,19654,11/1/16,01:02.3
13,stocktwits,XLB,2,0,2,2,0,0,12,19654,10/31/16,00:54.0
14,stocktwits,XLB,0,0,0,0,0,0,7,19654,10/30/16,00:53.6
15,stocktwits,XLB,0,0,0,0,0,0,1,19654,10/29/16,00:48.3
16,stocktwits,XLB,2.28,2.11,0.17,2,1,2,11,19654,10/28/16,01:22.7
17,stocktwits,XLB,0,0,0,0,0,0,3,19654,10/27/16,01:29.0
18,stocktwits,XLB,0.72,1.48,-0.76,1,2,0.5,11,19654,10/26/16,00:47.7
19,stocktwits,XLB,2.54,0,2.54,1,0,0,13,19654,10/25/16,00:53.9
20,stocktwits,XLB,2.54,2.88,-0.34,1,1,1,11,19654,10/24/16,01:07.2
21,stocktwits,XLB,1.8,0,1.8,2,0,0,9,19654,10/23/16,00:50.9
22,stocktwits,XLB,0,0,0,0,0,0,4,19654,10/22/16,00:53.0
23,stocktwits,XLB,1.44,0,1.44,3,0,0,9,19654,10/21/16,01:11.6
24,stocktwits,XLB,0,2.206667,-2.206667,0,3,0,9,19654,10/20/16,01:16.0
25,stocktwits,XLB,1.555,2.055,-0.5,2,2,1,11,19654,10/19/16,01:25.5
26,stocktwits,XLB,1.78,0.6,1.18,1,1,1,8,19654,10/18/16,01:16.8
27,stocktwits,XLB,1.535,0,1.535,4,0,0,13,19654,10/17/16,00:53.8
28,stocktwits,XLB,0,0,0,0,0,0,4,19654,10/16/16,01:10.4
29,stocktwits,XLB,0,0,0,0,0,0,1,19654,10/15/16,01:05.5
30,stocktwits,XLB,0,1.78,-1.78,0,1,0,7,19654,10/14/16,01:00.7
31,stocktwits,XLB,2.13,0,2.13,2,0,0,10,19654,10/13/16,01:16.6
32,stocktwits,XLB,1.53,0.74,0.79,1,1,1,6,19654,10/12/16,01:38.8
33,stocktwits,XLB,2.17,1.93,0.24,1,3,0.3333,8,19654,10/11/16,01:04.0
34,stocktwits,XLB,1.98,1.816667,0.163333,3,3,1,9,19654,10/10/16,01:01.4
35,stocktwits,XLB,1.95,0,1.95,2,0,0,6,19654,10/9/16,01:07.9
36,stocktwits,XLB,0,0,0,0,0,0,2,19654,10/8/16,01:20.5
37,stocktwits,XLB,2.196667,1.835,0.361667,3,4,0.75,15,19654,10/7/16,01:09.0
38,stocktwits,XLB,0,2.1,-2.1,0,1,0,5,19654,10/6/16,00:55.9
39,stocktwits,XLB,0.26,2.33,-2.07,1,1,1,6,19654,10/5/16,00:48.0
40,stocktwits,XLB,2.25,0,2.25,1,0,0,4,19654,10/4/16,01:03.0
41,stocktwits,XLB,2.12,0,2.12,2,0,0,8,19654,10/3/16,00:53.6
42,stocktwits,XLB,0,0,0,0,0,0,3,19654,10/2/16,01:09.1
43,stocktwits,XLB,0,0,0,0,0,0,4,19654,10/1/16,00:48.0
44,stocktwits,XLB,2.65,2,0.65,1,1,1,5,19654,9/30/16,00:46.8
45,stocktwits,XLB,0.8,0,0.8,1,0,0,4,19654,9/29/16,00:49.9
46,stocktwits,XLB,2.014,0.74,1.274,5,1,5,10,19654,9/28/16,00:43.3
47,stocktwits,XLB,2.01,0,2.01,1,0,0,3,19654,9/27/16,01:00.1
48,stocktwits,XLB,2.435,0,2.435,2,0,0,5,19654,9/26/16,01:12.4
49,stocktwits,XLB,0,0,0,0,0,0,6,19654,9/25/16,00:50.1
50,stocktwits,XLB,0,0,0,0,0,0,1,19654,9/24/16,00:41.7
51,stocktwits,XLB,2.25,3.11,-0.86,2,1,2,7,19654,9/23/16,00:47.3
52,stocktwits,XLB,1.8175,3.11,-1.2925,4,2,2,9,19654,9/22/16,00:44.2
53,stocktwits,XLB,1.4,1.15,0.25,1,2,0.5,11,19654,9/21/16,01:16.0
54,stocktwits,XLB,1.815,0,1.815,2,0,0,6,19654,9/20/16,01:12.3
55,stocktwits,XLB,1.7,2,-0.3,1,1,1,5,19654,9/19/16,01:04.4
56,stocktwits,XLB,0.56,0,0.56,1,0,0,4,19654,9/18/16,01:08.8
57,stocktwits,XLB,0,0,0,0,0,0,3,19654,9/17/16,00:39.0
58,stocktwits,XLB,1.51,0,1.51,2,0,0,8,19654,9/16/16,00:55.4
59,stocktwits,XLB,0,2.446667,-2.446667,0,3,0,8,19654,9/15/16,00:40.8
60,stocktwits,XLB,0,1.99,-1.99,0,2,0,9,19654,9/14/16,01:02.4
61,stocktwits,XLB,1.556667,1.78,-0.223333,3,1,3,8,19654,9/13/16,00:49.7
