,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
0,stocktwits,XLE,2.75,2.05,0.7,2,1,2,11,19655,11/13/16,00:57.0
1,stocktwits,XLE,2.54,0,2.54,1,0,0,9,19655,11/12/16,00:51.1
2,stocktwits,XLE,1.65,1.3,0.35,6,2,3,33,19655,11/11/16,00:50.8
3,stocktwits,XLE,1.033333,1.315,-0.281667,3,4,0.75,23,19655,11/10/16,01:05.3
4,stocktwits,XLE,2.151538,0.49,1.661538,13,2,6.5,36,19655,11/9/16,00:50.9
5,stocktwits,XLE,2.11,0,2.11,1,0,0,13,19655,11/8/16,00:53.4
6,stocktwits,XLE,2.4,2,0.4,3,2,1.5,23,19655,11/7/16,01:02.0
7,stocktwits,XLE,0,1.14,-1.14,0,1,0,6,19655,11/6/16,00:49.0
8,stocktwits,XLE,1.31,3.22,-1.91,1,1,1,7,19655,11/5/16,00:49.0
9,stocktwits,XLE,1.596667,1.396,0.200667,6,5,1.2,33,19655,11/4/16,01:35.0
10,stocktwits,XLE,2.296667,2.426667,-0.13,6,6,1,30,19655,11/3/16,01:15.1
11,stocktwits,XLE,1.509091,2.314286,-0.805195,11,7,1.5714,39,19655,11/2/16,00:51.1
12,stocktwits,XLE,1.955556,1.925,0.030556,9,2,4.5,30,19655,11/1/16,01:02.3
13,stocktwits,XLE,1.854,2.007143,-0.153143,10,7,1.4286,44,19655,10/31/16,00:54.0
14,stocktwits,XLE,0,0,0,0,0,0,8,19655,10/30/16,00:53.6
15,stocktwits,XLE,1.75,0,1.75,1,0,0,5,19655,10/29/16,00:48.3
16,stocktwits,XLE,1.857692,2.13,-0.272308,13,2,6.5,44,19655,10/28/16,01:22.7
17,stocktwits,XLE,2.016667,2.015,0.001667,3,2,1.5,22,19655,10/27/16,01:29.0
18,stocktwits,XLE,2.3725,1.376667,0.995833,8,6,1.3333,45,19655,10/26/16,00:47.7
19,stocktwits,XLE,2.08,2.10375,-0.02375,5,8,0.625,36,19655,10/25/16,00:53.9
20,stocktwits,XLE,1.525,2.037143,-0.512143,6,7,0.8571,40,19655,10/24/16,01:07.2
21,stocktwits,XLE,2.05,2.1,-0.05,3,1,3,13,19655,10/23/16,00:50.9
22,stocktwits,XLE,0,0,0,0,0,0,11,19655,10/22/16,00:53.0
23,stocktwits,XLE,1.7775,1.905,-0.1275,4,6,0.6667,26,19655,10/21/16,01:11.6
24,stocktwits,XLE,1.958333,2.046667,-0.088333,6,6,1,42,19655,10/20/16,01:16.0
25,stocktwits,XLE,1.7236,1.586667,0.136933,25,9,2.7778,82,19655,10/19/16,01:25.5
26,stocktwits,XLE,2.268571,1.48,0.788571,7,4,1.75,38,19655,10/18/16,01:16.8
27,stocktwits,XLE,1.63,1.933333,-0.303333,10,6,1.6667,42,19655,10/17/16,00:53.8
28,stocktwits,XLE,2.56,0,2.56,1,0,0,11,19655,10/16/16,01:10.4
29,stocktwits,XLE,2.89,3.22,-0.33,1,1,1,9,19655,10/15/16,01:05.5
30,stocktwits,XLE,1.6,1.71,-0.11,4,5,0.8,39,19655,10/14/16,01:00.7
31,stocktwits,XLE,1.628,1.734,-0.106,10,5,2,42,19655,10/13/16,01:16.6
32,stocktwits,XLE,1.1875,1.57,-0.3825,8,5,1.6,37,19655,10/12/16,01:38.8
33,stocktwits,XLE,1.566667,2.412,-0.845333,9,5,1.8,37,19655,10/11/16,01:04.0
34,stocktwits,XLE,1.808333,1.52,0.288333,18,8,2.25,60,19655,10/10/16,01:01.4
35,stocktwits,XLE,1.98,2.78,-0.8,6,1,6,18,19655,10/9/16,01:07.9
36,stocktwits,XLE,1.376667,0,1.376667,3,0,0,12,19655,10/8/16,01:20.5
37,stocktwits,XLE,1.744545,2.101667,-0.357121,11,6,1.8333,42,19655,10/7/16,01:09.0
38,stocktwits,XLE,2.064545,1.284286,0.78026,11,7,1.5714,47,19655,10/6/16,00:55.9
39,stocktwits,XLE,2.047273,2.66,-0.612727,22,3,7.3333,76,19655,10/5/16,00:48.0
40,stocktwits,XLE,1.79,0.8,0.99,15,1,15,49,19655,10/4/16,01:03.0
41,stocktwits,XLE,2.156667,1.306667,0.85,6,6,1,58,19655,10/3/16,00:53.6
42,stocktwits,XLE,1.9,0,1.9,3,0,0,22,19655,10/2/16,01:09.1
43,stocktwits,XLE,1.63,0,1.63,3,0,0,12,19655,10/1/16,00:48.0
44,stocktwits,XLE,1.03375,1.562222,-0.528472,8,9,0.8889,51,19655,9/30/16,00:46.8
45,stocktwits,XLE,1.710909,1.130833,0.580076,33,12,2.75,114,19655,9/29/16,00:49.9
46,stocktwits,XLE,1.888611,1.554,0.334611,36,15,2.4,135,19655,9/28/16,00:43.3
47,stocktwits,XLE,1.671,2.14,-0.469,10,2,5,41,19655,9/27/16,01:00.1
48,stocktwits,XLE,1.856364,1.88,-0.023636,11,4,2.75,54,19655,9/26/16,01:12.4
49,stocktwits,XLE,1.605,0,1.605,2,0,0,16,19655,9/25/16,00:50.1
50,stocktwits,XLE,2.07,2.5,-0.43,3,1,3,8,19655,9/24/16,00:41.7
51,stocktwits,XLE,1.611875,2.05,-0.438125,16,2,8,52,19655,9/23/16,00:47.3
52,stocktwits,XLE,1.846,1.06,0.786,10,6,1.6667,36,19655,9/22/16,00:44.2
53,stocktwits,XLE,1.712941,1.585,0.127941,17,4,4.25,43,19655,9/21/16,01:16.0
54,stocktwits,XLE,1.423333,1.663333,-0.24,3,3,1,40,19655,9/20/16,01:12.3
55,stocktwits,XLE,1.466,1.831667,-0.365667,5,6,0.8333,36,19655,9/19/16,01:04.4
56,stocktwits,XLE,1.08,2.446667,-1.366667,2,3,0.6667,32,19655,9/18/16,01:08.8
57,stocktwits,XLE,1.466667,2.67,-1.203333,3,1,3,16,19655,9/17/16,00:39.0
58,stocktwits,XLE,2.035,1.766,0.269,8,5,1.6,38,19655,9/16/16,00:55.4
59,stocktwits,XLE,1.802727,1.937143,-0.134416,11,7,1.5714,47,19655,9/15/16,00:40.8
60,stocktwits,XLE,1.8225,1.923333,-0.100833,12,9,1.3333,53,19655,9/14/16,01:02.4
61,stocktwits,XLE,2.052,1.593333,0.458667,10,3,3.3333,48,19655,9/13/16,00:49.7
62,stocktwits,XLE,2.154,1.15,1.004,5,1,5,28,19655,9/12/16,01:16.3
63,stocktwits,XLE,1.81,0,1.81,3,0,0,13,19655,9/11/16,01:10.7
64,stocktwits,XLE,2,0.39,1.61,1,1,1,12,19655,9/10/16,01:19.8
65,stocktwits,XLE,1.632727,1.966667,-0.333939,11,6,1.8333,54,19655,9/9/16,01:18.8
66,stocktwits,XLE,1.721053,1.78,-0.058947,19,6,3.1667,77,19655,9/8/16,01:10.8
67,stocktwits,XLE,2.3125,1.75,0.5625,8,2,4,27,19655,9/7/16,01:11.5
68,stocktwits,XLE,1.636667,2.08,-0.443333,15,3,5,60,19655,9/6/16,01:28.2
69,stocktwits,XLE,2.56,0,2.56,3,0,0,14,19655,9/5/16,01:10.3
70,stocktwits,XLE,0,0,0,0,0,0,5,19655,9/4/16,01:09.7
71,stocktwits,XLE,2.555,0,2.555,2,0,0,12,19655,9/3/16,01:16.5
72,stocktwits,XLE,1.388333,1.503333,-0.115,6,3,2,28,19655,9/2/16,01:21.9
73,stocktwits,XLE,1.415,2.25,-0.835,12,2,6,59,19655,9/1/16,01:12.3
74,stocktwits,XLE,1.783333,2.065,-0.281667,12,6,2,44,19655,8/31/16,01:13.0
75,stocktwits,XLE,1.672857,1.3275,0.345357,7,4,1.75,34,19655,8/30/16,01:28.3
76,stocktwits,XLE,1.996667,1.73,0.266667,12,3,4,47,19655,8/29/16,01:22.0
77,stocktwits,XLE,1.5,2.1,-0.6,4,1,4,17,19655,8/28/16,01:13.6
78,stocktwits,XLE,1.98,0,1.98,3,0,0,14,19655,8/27/16,01:17.7
79,stocktwits,XLE,2.112308,1.7,0.412308,13,4,3.25,43,19655,8/26/16,01:13.1
80,stocktwits,XLE,2.143333,1.22,0.923333,9,2,4.5,34,19655,8/25/16,01:12.0
81,stocktwits,XLE,1.983333,2.586667,-0.603333,3,3,1,32,19655,8/24/16,01:12.7
82,stocktwits,XLE,1.757368,1.693333,0.064035,19,3,6.3333,64,19655,8/23/16,01:13.5
83,stocktwits,XLE,1.843889,2.10125,-0.257361,18,8,2.25,61,19655,8/22/16,01:28.5
84,stocktwits,XLE,1.854286,1.82,0.034286,7,1,7,24,19655,8/21/16,01:17.9
85,stocktwits,XLE,1.8025,0,1.8025,8,0,0,31,19655,8/20/16,01:18.5
86,stocktwits,XLE,2.086667,2.473333,-0.386667,6,3,2,25,19655,8/19/16,01:14.6
87,stocktwits,XLE,1.690286,1.658333,0.031952,35,6,5.8333,110,19655,8/18/16,01:32.3
88,stocktwits,XLE,2.141667,0.88,1.261667,6,1,6,37,19655,8/17/16,01:15.4
89,stocktwits,XLE,2.018,1.6375,0.3805,15,4,3.75,57,19655,8/16/16,01:29.1
90,stocktwits,XLE,2.28375,1.33,0.95375,8,5,1.6,43,19655,8/15/16,01:28.5
91,stocktwits,XLE,1.29,0,1.29,2,0,0,13,19655,8/14/16,01:12.9
92,stocktwits,XLE,1.52,0,1.52,2,0,0,9,19655,8/13/16,01:15.9
93,stocktwits,XLE,2.03875,1.606667,0.432083,8,3,2.6667,37,19655,8/12/16,01:28.7
94,stocktwits,XLE,1.395385,1.47875,-0.083365,13,8,1.625,57,19655,8/11/16,01:27.4
95,stocktwits,XLE,1.632727,2.260833,-0.628106,11,12,0.9167,47,19655,8/10/16,01:27.7
96,stocktwits,XLE,1.43,1.92,-0.49,4,2,2,29,19655,8/9/16,01:27.2
97,stocktwits,XLE,1.718333,1.446667,0.271667,6,3,2,52,19655,8/8/16,01:26.5
98,stocktwits,XLE,1.8,0,1.8,1,0,0,8,19655,8/7/16,01:17.0
99,stocktwits,XLE,1.81125,2.02,-0.20875,8,1,8,12,19655,8/6/16,01:21.7
100,stocktwits,XLE,1.90625,1.638,0.26825,8,5,1.6,33,19655,8/5/16,01:23.1
101,stocktwits,XLE,2.47,2.112,0.358,7,5,1.4,37,19655,8/4/16,01:23.1
102,stocktwits,XLE,1.6876,1.48,0.2076,25,10,2.5,82,19655,8/3/16,01:23.3
103,stocktwits,XLE,1.649333,2.443333,-0.794,15,6,2.5,59,19655,8/2/16,01:23.6
104,stocktwits,XLE,1.862143,1.8675,-0.005357,14,12,1.1667,84,19655,8/1/16,01:22.6
105,stocktwits,XLE,0.951111,0,0.951111,9,0,0,17,19655,7/31/16,01:18.1
106,stocktwits,XLE,0.8075,0,0.8075,4,0,0,12,19655,7/30/16,01:22.8
107,stocktwits,XLE,1.590833,2.157143,-0.56631,12,7,1.7143,51,19655,7/29/16,01:22.4
108,stocktwits,XLE,1.983077,2.2325,-0.249423,13,12,1.0833,59,19655,7/28/16,01:22.2
109,stocktwits,XLE,2.032,1.966,0.066,5,15,0.3333,61,19655,7/27/16,01:24.1
110,stocktwits,XLE,1.694286,2.626,-0.931714,7,5,1.4,30,19655,7/26/16,01:24.3
111,stocktwits,XLE,1.4075,1.843636,-0.436136,4,11,0.3636,45,19655,7/25/16,01:22.6
112,stocktwits,XLE,0,1.44,-1.44,0,2,0,8,19655,7/24/16,01:18.0
113,stocktwits,XLE,2.2,0,2.2,1,0,0,7,19655,7/23/16,01:17.8
114,stocktwits,XLE,1.636,1.823333,-0.187333,5,6,0.8333,30,19655,7/22/16,01:28.3
115,stocktwits,XLE,1.62,2.02,-0.4,6,2,3,28,19655,7/21/16,01:29.1
116,stocktwits,XLE,1.168571,1.64,-0.471429,7,4,1.75,31,19655,7/20/16,01:27.3
117,stocktwits,XLE,1.11,2.16,-1.05,1,1,1,20,19655,7/19/16,01:26.6
118,stocktwits,XLE,1.72875,2.15,-0.42125,8,2,4,27,19655,7/18/16,01:27.2
119,stocktwits,XLE,0,0,0,0,0,0,8,19655,7/17/16,01:03.9
120,stocktwits,XLE,0.935,2.3,-1.365,2,1,2,12,19655,7/16/16,01:16.2
121,stocktwits,XLE,1.804615,2.25,-0.445385,13,2,6.5,38,19655,7/15/16,01:29.5
122,stocktwits,XLE,2.132222,2.095,0.037222,9,2,4.5,30,19655,7/14/16,01:28.1
123,stocktwits,XLE,1.747692,1.863,-0.115308,13,10,1.3,52,19655,7/13/16,01:25.8
124,stocktwits,XLE,2.217368,0.935,1.282368,19,2,9.5,62,19655,7/12/16,01:30.0
125,stocktwits,XLE,1.822857,1.945,-0.122143,7,6,1.1667,50,19655,7/11/16,01:27.3
126,stocktwits,XLE,0,0,0,0,0,0,10,19655,7/10/16,01:28.4
127,stocktwits,XLE,2.375,2.11,0.265,2,1,2,14,19655,7/9/16,01:27.5
128,stocktwits,XLE,1.5725,2.26,-0.6875,8,5,1.6,34,19655,7/8/16,01:28.8
129,stocktwits,XLE,1.67,2.098,-0.428,8,5,1.6,44,19655,7/7/16,01:29.6
130,stocktwits,XLE,1.955556,1.212,0.743556,9,5,1.8,37,19655,7/6/16,01:26.5
131,stocktwits,XLE,1.612308,2.835,-1.222692,13,2,6.5,74,19655,7/5/16,01:29.5
132,stocktwits,XLE,1.9925,2.23,-0.2375,4,1,4,15,19655,7/4/16,01:28.4
133,stocktwits,XLE,2.1,0,2.1,1,0,0,12,19655,7/3/16,01:27.8
134,stocktwits,XLE,0.89,2.22,-1.33,1,1,1,14,19655,7/2/16,01:30.1
135,stocktwits,XLE,2.06,1.5,0.56,5,2,2.5,28,19655,7/1/16,01:29.6
136,stocktwits,XLE,1.796667,0,1.796667,3,0,0,27,19655,6/30/16,01:29.3
137,stocktwits,XLE,1.94,1.87,0.07,8,3,2.6667,32,19655,6/29/16,01:29.7
138,stocktwits,XLE,2.2875,0,2.2875,4,0,0,23,19655,6/28/16,01:26.4
139,stocktwits,XLE,1.7,1.833,-0.133,6,10,0.6,32,19655,6/27/16,01:30.6
140,stocktwits,XLE,0.815,3.22,-2.405,2,1,2,11,19655,6/26/16,01:25.8
