,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
0,stocktwits,XLF,2.018333,1.44,0.578333,6,3,2,41,19656,11/13/16,00:57.0
1,stocktwits,XLF,1.81875,0,1.81875,8,0,0,28,19656,11/12/16,00:51.1
2,stocktwits,XLF,2.148,1.871818,0.276182,15,11,1.3636,98,19656,11/11/16,00:50.8
3,stocktwits,XLF,1.9136,2.089286,-0.175686,50,14,3.5714,163,19656,11/10/16,01:05.3
4,stocktwits,XLF,1.842903,2.328571,-0.485668,31,7,4.4286,110,19656,11/9/16,00:50.9
5,stocktwits,XLF,2.171111,0.705,1.466111,9,2,4.5,36,19656,11/8/16,00:53.4
6,stocktwits,XLF,2.561,0,2.561,10,0,0,30,19656,11/7/16,01:02.0
7,stocktwits,XLF,2.256667,2.656667,-0.4,3,3,1,14,19656,11/6/16,00:49.0
8,stocktwits,XLF,0,2.405,-2.405,0,2,0,7,19656,11/5/16,00:49.0
9,stocktwits,XLF,1.528333,1.595,-0.066667,6,2,3,19,19656,11/4/16,01:35.0
10,stocktwits,XLF,1.872,2.1,-0.228,5,4,1.25,24,19656,11/3/16,01:15.1
11,stocktwits,XLF,1.265,2.256667,-0.991667,4,3,1.3333,28,19656,11/2/16,00:51.1
12,stocktwits,XLF,1.935,2.59,-0.655,6,1,6,16,19656,11/1/16,01:02.3
13,stocktwits,XLF,0,1.735,-1.735,0,2,0,20,19656,10/31/16,00:54.0
14,stocktwits,XLF,1.1,2.35,-1.25,2,1,2,11,19656,10/30/16,00:53.6
15,stocktwits,XLF,2.066667,0,2.066667,3,0,0,11,19656,10/29/16,00:48.3
16,stocktwits,XLF,1.186667,1.19,-0.003333,3,2,1.5,27,19656,10/28/16,01:22.7
17,stocktwits,XLF,1.952857,0.3,1.652857,14,1,14,39,19656,10/27/16,01:29.0
18,stocktwits,XLF,1.905,1.23,0.675,4,4,1,36,19656,10/26/16,00:47.7
19,stocktwits,XLF,2.065,2.67,-0.605,4,1,4,32,19656,10/25/16,00:53.9
