,source,symbol,bullish_intensity,bearish_intensity,bull_minus_bear,bull_scored_messages,bear_scored_messages,bull_bear_msg_ratio,total_scanned_messages,sid,asof_date,timestamp
0,stocktwits,XLI,1.78,0,1.78,1,0,0,6,19657,11/13/16,00:57.0
1,stocktwits,XLI,2.35,0,2.35,3,0,0,9,19657,11/12/16,00:51.1
2,stocktwits,XLI,2.5475,0,2.5475,4,0,0,18,19657,11/11/16,00:50.8
3,stocktwits,XLI,2.261429,0.74,1.521429,7,1,7,31,19657,11/10/16,01:05.3
4,stocktwits,XLI,2.336667,0,2.336667,6,0,0,22,19657,11/9/16,00:50.9
5,stocktwits,XLI,3.24,0,3.24,1,0,0,13,19657,11/8/16,00:53.4
6,stocktwits,XLI,2.185,0,2.185,2,0,0,15,19657,11/7/16,01:02.0
7,stocktwits,XLI,0,2.7,-2.7,0,2,0,4,19657,11/6/16,00:49.0
8,stocktwits,XLI,0,2.7,-2.7,0,1,0,7,19657,11/5/16,00:49.0
9,stocktwits,XLI,0,0,0,0,0,0,3,19657,11/4/16,01:35.0
10,stocktwits,XLI,0,2.2,-2.2,0,1,0,3,19657,11/3/16,01:15.1
11,stocktwits,XLI,3.22,2.5,0.72,1,1,1,8,19657,11/2/16,00:51.1
12,stocktwits,XLI,1.974,0,1.974,5,0,0,14,19657,11/1/16,01:02.3
13,stocktwits,XLI,1.565,1.205,0.36,2,2,1,10,19657,10/31/16,00:54.0
14,stocktwits,XLI,0,0,0,0,0,0,5,19657,10/30/16,00:53.6
15,stocktwits,XLI,0,0,0,0,0,0,1,19657,10/29/16,00:48.3
16,stocktwits,XLI,0,0.5,-0.5,0,1,0,12,19657,10/28/16,01:22.7
17,stocktwits,XLI,0,1.63,-1.63,0,1,0,5,19657,10/27/16,01:29.0
18,stocktwits,XLI,0,0.74,-0.74,0,1,0,13,19657,10/26/16,00:47.7
19,stocktwits,XLI,0,0,0,0,0,0,4,19657,10/25/16,00:53.9
20,stocktwits,XLI,0,0,0,0,0,0,9,19657,10/24/16,01:07.2
21,stocktwits,XLI,0,0,0,0,0,0,4,19657,10/23/16,00:50.9
22,stocktwits,XLI,0,0,0,0,0,0,1,19657,10/22/16,00:53.0
23,stocktwits,XLI,0,0,0,0,0,0,4,19657,10/21/16,01:11.6
24,stocktwits,XLI,0,2.14,-2.14,0,1,0,11,19657,10/20/16,01:16.0
25,stocktwits,XLI,1.555,2,-0.445,2,1,2,8,19657,10/19/16,01:25.5
26,stocktwits,XLI,0,0.6,-0.6,0,1,0,8,19657,10/18/16,01:16.8
27,stocktwits,XLI,2.2,0,2.2,1,0,0,7,19657,10/17/16,00:53.8
28,stocktwits,XLI,0,0,0,0,0,0,3,19657,10/16/16,01:10.4
29,stocktwits,XLI,0,0,0,0,0,0,1,19657,10/15/16,01:05.5
30,stocktwits,XLI,0.7,0,0.7,1,0,0,6,19657,10/14/16,01:00.7
31,stocktwits,XLI,2.2,2.46,-0.26,1,1,1,11,19657,10/13/16,01:16.6
32,stocktwits,XLI,0,1.375,-1.375,0,2,0,7,19657,10/12/16,01:38.8
33,stocktwits,XLI,2.38,0,2.38,1,0,0,7,19657,10/11/16,01:04.0
34,stocktwits,XLI,1.6,2,-0.4,1,1,1,9,19657,10/10/16,01:01.4
35,stocktwits,XLI,2.105,0,2.105,2,0,0,3,19657,10/9/16,01:07.9
36,stocktwits,XLI,0,0,0,0,0,0,1,19657,10/8/16,01:20.5
37,stocktwits,XLI,2.05,1.545,0.505,2,2,1,12,19657,10/7/16,01:09.0
38,stocktwits,XLI,0,0,0,0,0,0,2,19657,10/6/16,00:55.9
39,stocktwits,XLI,1.798,2.89,-1.092,5,1,5,13,19657,10/5/16,00:48.0
40,stocktwits,XLI,2.25,2.89,-0.64,1,1,1,10,19657,10/4/16,01:03.0
41,stocktwits,XLI,2.54,0.01,2.53,1,1,1,10,19657,10/3/16,00:53.6
42,stocktwits,XLI,1.75,0,1.75,1,0,0,4,19657,10/2/16,01:09.1
43,stocktwits,XLI,2.34,0,2.34,2,0,0,9,19657,10/1/16,00:48.0
44,stocktwits,XLI,2.07,2,0.07,2,2,1,9,19657,9/30/16,00:46.8
45,stocktwits,XLI,1.2,0.2,1,1,1,1,8,19657,9/29/16,00:49.9
46,stocktwits,XLI,2.115,0.74,1.375,2,1,2,8,19657,9/28/16,00:43.3
47,stocktwits,XLI,2.125,0.22,1.905,2,1,2,7,19657,9/27/16,01:00.1
48,stocktwits,XLI,2.25,0,2.25,1,0,0,4,19657,9/26/16,01:12.4
49,stocktwits,XLI,0,2.89,-2.89,0,1,0,6,19657,9/25/16,00:50.1
50,stocktwits,XLI,0,0,0,0,0,0,1,19657,9/24/16,00:41.7
51,stocktwits,XLI,2.25,0,2.25,2,0,0,9,19657,9/23/16,00:47.3
52,stocktwits,XLI,1.556667,1.215,0.341667,3,2,1.5,14,19657,9/22/16,00:44.2
53,stocktwits,XLI,3.24,2,1.24,1,1,1,8,19657,9/21/16,01:16.0
54,stocktwits,XLI,2.2,0,2.2,1,0,0,8,19657,9/20/16,01:12.3
55,stocktwits,XLI,0,0,0,0,0,0,5,19657,9/19/16,01:04.4
56,stocktwits,XLI,0,0,0,0,0,0,2,19657,9/18/16,01:08.8
57,stocktwits,XLI,0,0,0,0,0,0,2,19657,9/17/16,00:39.0
58,stocktwits,XLI,2.25,0,2.25,1,0,0,7,19657,9/16/16,00:55.4
59,stocktwits,XLI,2.33,2.446667,-0.116667,1,3,0.3333,7,19657,9/15/16,00:40.8
60,stocktwits,XLI,0,2.67,-2.67,0,1,0,7,19657,9/14/16,01:02.4
61,stocktwits,XLI,2.25,0,2.25,1,0,0,6,19657,9/13/16,00:49.7
62,stocktwits,XLI,0.1,2.68,-2.58,1,3,0.3333,9,19657,9/12/16,01:16.3
63,stocktwits,XLI,0,0,0,0,0,0,4,19657,9/11/16,01:10.7
64,stocktwits,XLI,0,0,0,0,0,0,2,19657,9/10/16,01:19.8
65,stocktwits,XLI,2.255,0.87,1.385,2,1,2,8,19657,9/9/16,01:18.8
66,stocktwits,XLI,1.916667,1.78,0.136667,3,1,3,8,19657,9/8/16,01:10.8
67,stocktwits,XLI,0,0,0,0,0,0,4,19657,9/7/16,01:11.5
68,stocktwits,XLI,0,0,0,0,0,0,8,19657,9/6/16,01:28.2
69,stocktwits,XLI,1.51,2,-0.49,1,1,1,4,19657,9/5/16,01:10.3
